Sheet	Figure	Panel	Description	Usage	Dataset	File
	1	b	White vs beige GSEA	using GO, Hallmark, WikiPathways and Reactome sets	Triplicate bulk RNA-seq of cultured mature adipocytes from six subjects (GSEXXX)	output/bulk/bulk_day15_GSEA.tsv
	1	c	Beige DGE of each subject vs all other subjects	Subject vs all subject p-values	Triplicate bulk RNA-seq of cultured mature adipocytes from six subjects (GSEXXX)	output/bulk/beige_DGE_between_subjects.tsv
	1	d	White vs beige GSEA using MitoCarta MitoPathways gene sets 		Triplicate bulk RNA-seq of cultured mature adipocytes from six subjects (GSEXXX)	output/bulk/mitopathways_GSEA.tsv
Un_progenitor_cluster_prop	2	c	Proportion of cells from each subject in unintegrated progenitor clusters (u0-u8)		scRNA-seq in progenitors (hASCs) from six subjects. 	output/progenitors/initial/cluster_composition.txt
Un_progenitor_marker_genes	S1	a	"Marker genes in unintegrated progenitor clusters (u0-u8; FDR adjusted p < 0.01 & log2FC > 0.5; Wilcoxon test). "		scRNA-seq in progenitors (hASCs) from six subjects. 	output/progenitors/initial/marker_genes.txt
Un_progenitor_marker_GO	2	e	"GO enrichment in unintegrated progenitor clusters (u0-u8; Fishers exact with FDR adjustment)"		scRNA-seq in progenitors (hASCs) from six subjects. 	output/progenitors/initial/ORA_marker_genes.txt
Progenitor_subject_DGE	2	f	"DGE between subjects in progenitors (S1-S6; FDR adjusted p < 0.01 & log2FC > 0.5; Wilcoxon test). "	underlying 2f	scRNA-seq in progenitors (hASCs) from six subjects. 	output/progenitors/initial/donor_marker_genes.txt
Progenitor_subject_DGE_GO	2	f	"GO enrichment in progenitor cells between subjects (S1-S6; Fishers exact with FDR adjustment)"		scRNA-seq in progenitors (hASCs) from six subjects. 	output/progenitors/initial/ORA_donor_marker_genes.txt
Progenitor_marker_genes	3	b	"Marker genes in integrated progenitor clusters (p0-p8; FDR adjusted p < 0.01 & log2FC > 0.5; Wilcoxon test). "		scRNA-seq in progenitors (hASCs) from six subjects. 	output/progenitors/rpca/marker_genes.txt
Progenitor_marker_GO	3	c	"GO enrichment in integrated progenitor clusters (p0-p8; Fishers exact with FDR adjustment)"		scRNA-seq in progenitors (hASCs) from six subjects. 	output/progenitors/rpca/ORA_marker_genes.txt
Progenitor_cluster_prop	3	d	Proportion of cells from each subject in integrated progenitor clusters (u0-u8)		scRNA-seq in progenitors (hASCs) from six subjects. 	output/progenitors/rpca/cluster_composition.txt
Adipogenesis_cluster_prop	4	c	Proportion of cells from each time point in adipogenesis clusters (a0-a11)		scRNAseq in early adipogenesis (day0 (progenitors), day1 and day3 after white adipogenic induction). 	output/adipogenesis/white_only_downsample/cluster_composition.txt
Adipogenesis_marker_genes	S4	b	"Marker genes in adipogenesis clusters (a0-a11; FDR adjusted p < 0.01 & log2FC > 0.5; Wilcoxon test). "		scRNAseq in early adipogenesis (day0 (progenitors), day1 and day3 after white adipogenic induction). 	output/adipogenesis/white_only_downsample/marker_genes.txt
Adipogenesis_marker_GO	4	d	"GO enrichment in adipogenesis clusters (a0-a11; Fishers exact with FDR adjustment)"	S4, 4d,e	scRNAseq in early adipogenesis (day0 (progenitors), day1 and day3 after white adipogenic induction). 	output/adipogenesis/white_only_downsample/ORA_marker_genes_2024.txt
