"Cluster"	"cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"abbrev_ID"
"0"	"0"	"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	"58/586"	"200/17939"	7.29549287385272e-39	4.80554115600679e-35	4.08163627626602e-35	"DKK1/TNC/POSTN/WNT5A/TFPI2/FBLN5/SERPINE2/ELN/FAP/ITGA5/GAS1/ITGAV/FSTL3/PTX3/BMP1/TNFAIP3/NID2/FOXC2/COMP/LOX/COL11A1/GADD45B/SNAI2/GPX7/TGFB1/COL16A1/ABI3BP/ID2/SLC6A8/PLOD3/SPOCK1/P3H1/QSOX1/LOXL2/CRLF1/LUM/EFEMP2/TGFBI/MFAP5/COL5A2/COL5A1/THY1/CD59/FBN1/COL1A1/FBLN2/SAT1/DCN/COL3A1/FSTL1/CALD1/TIMP1/NNMT/FN1/COL1A2/SPARC/APLP1/BDNF"	58	"hallmarkepithelialmesenchymaltransition."
"0"	"0"	"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION"	"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION"	"50/586"	"327/17939"	5.2564630823197e-20	1.73121611616199e-16	1.47042638329101e-16	"POSTN/FBLN5/CRISPLD2/ELN/FAP/SH3PXD2B/ADAMTS1/COL8A1/RGCC/DPP4/VTN/PTX3/HMCN1/BMP1/ANTXR1/NID2/HAS1/FOXC2/COMP/LOX/COL11A1/MMP23B/SULF2/P3H4/SULF1/KAZALD1/TGFB1/COL16A1/ABI3BP/PLOD3/ENG/PHLDB1/QSOX1/ADAMTS2/LOXL2/LUM/EFEMP2/TGFBI/COL5A2/COL5A1/LAMB1/COL1A1/COL3A1/COL1A2/ADAMTS5/MMP17/ADAMTS7/HAS2/APLP1/FOXF2"	50	"gobpexternalencapsulatingstructurorgnztn."
"0"	"0"	"GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX"	"GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX"	"54/586"	"428/17939"	1.16302824578549e-17	2.553622351663e-14	2.16894565836837e-14	"TNC/POSTN/WNT5A/FBLN5/SERPINE2/NAV2/ELN/ADAMTS1/COL8A1/ANGPTL1/VTN/THBS3/HMCN1/LTBP1/NID2/PODN/COMP/LOX/COL11A1/MMP23B/SULF1/CTSC/KAZALD1/TGFB1/ANGPT1/COL16A1/ABI3BP/ERBIN/PLOD3/SERPINA3/P3H1/ADAMTS2/IGFBP7/LOXL2/LUM/EFEMP2/TGFBI/MFAP5/COL5A2/COL5A1/FBN1/LAMB1/COL1A1/FBLN2/DCN/COL3A1/TIMP1/FN1/COL1A2/SPARC/PLSCR1/ADAMTS5/OGN/APLP1"	54	"gocccollagencontainingextracellularmatrx."
"0"	"0"	"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT"	"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT"	"33/586"	"166/17939"	4.59004587876174e-17	7.5586580508509e-14	6.42002469621544e-14	"TNC/POSTN/TFPI2/FBLN5/ELN/COL8A1/VTN/THBS3/HMCN1/LTBP1/NID2/PODN/COMP/COL11A1/COL16A1/ABI3BP/IGFBP7/LUM/EFEMP2/TGFBI/MFAP5/COL5A2/COL5A1/FBN1/LAMB1/COL1A1/FBLN2/DCN/COL3A1/FN1/COL1A2/SPARC/OGN"	33	"gomfextracellularmatrixstructuralcnsttnt."
"0"	"0"	"GOBP_CONNECTIVE_TISSUE_DEVELOPMENT"	"GOBP_CONNECTIVE_TISSUE_DEVELOPMENT"	"40/586"	"285/17939"	6.27666951191265e-15	8.26888441499372e-12	7.02326283280331e-12	"HAND2/WNT5A/SPTLC2/SH3PXD2B/THBS3/BMP1/FOSL2/OSR2/ZBTB16/FOXC2/COMP/LOX/COL11A1/ERRFI1/MBOAT2/SULF2/SULF1/SIX2/SNAI2/TGFB1/NCOA1/SMAD7/RASAL2/ZEB1/FGFR1/SHOX2/LOXL2/TGFBI/COL5A1/COL1A1/COL3A1/TIMP1/PKD1/RUNX2/ADAMTS7/OGN/ZNF516/OSR1/TRPM4/SNAI1"	40	"gobp connective tissue development"
"0"	"0"	"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION"	"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION"	"40/586"	"300/17939"	3.59534094185719e-14	3.94708513066888e-11	3.35249773788964e-11	"TNC/FBLN5/ELN/ITGA5/P4HA3/ADAMTS1/COL8A1/ITGAV/VTN/BMP1/LTBP1/NID2/COMP/LOX/COL11A1/TGFB1/COL16A1/P4HA2/PLOD3/ITGA6/P3H1/ADAMTS2/LOXL2/LUM/EFEMP2/MFAP5/COL5A2/COL5A1/FBN1/LAMB1/COL1A1/FBLN2/DCN/COL3A1/TIMP1/FN1/COL1A2/SPARC/ADAMTS5/MMP17"	40	"reactomeextracellularmatrixorganization."
"0"	"0"	"GOCC_ENDOPLASMIC_RETICULUM_LUMEN"	"GOCC_ENDOPLASMIC_RETICULUM_LUMEN"	"40/586"	"311/17939"	1.20084903305039e-13	1.12999894010041e-10	9.59776332430496e-11	"TNC/WNT5A/STC2/P4HA3/COL8A1/FSTL3/VTN/LTBP1/COL11A1/PENK/DNAJC10/POGLUT2/GPX7/CTSC/COL16A1/P4HA2/PLOD3/FUCA2/P3H1/QSOX1/IGFBP7/COL5A2/RCN2/COL5A1/CKAP4/FBN1/LAMB1/COL1A1/COL3A1/FSTL1/TIMP1/FN1/COL1A2/TMEM132A/ADAMTS5/ADAMTS7/ARSD/BDNF/EOGT/APOL1"	40	"gocc endoplasmic reticulum lumen"
"0"	"0"	"GOBP_CARTILAGE_DEVELOPMENT"	"GOBP_CARTILAGE_DEVELOPMENT"	"31/586"	"205/17939"	1.0031866081361e-12	8.25998773474059e-10	7.01570634505704e-10	"HAND2/WNT5A/THBS3/BMP1/FOSL2/OSR2/ZBTB16/COMP/COL11A1/ERRFI1/MBOAT2/SULF2/SULF1/SIX2/SNAI2/TGFB1/SMAD7/ZEB1/FGFR1/SHOX2/LOXL2/TGFBI/COL1A1/COL3A1/TIMP1/PKD1/RUNX2/ADAMTS7/OGN/OSR1/SNAI1"	31	"gobp cartilage development"
"0"	"0"	"HALLMARK_HYPOXIA"	"HALLMARK_HYPOXIA"	"30/586"	"200/17939"	2.90012319235732e-12	2.1225679408953e-09	1.80282511899172e-09	"IRS2/STC2/FOXO3/TIPARP/FOSL2/TNFAIP3/HAS1/LOX/SAP30/ERRFI1/TES/RORA/CCNG2/P4HA2/UGP2/PGF/AKAP12/NR3C1/TGFBI/DDIT4/COL5A1/DUSP1/PNRC1/DCN/MT1E/MT2A/LDHA/CHST3/SLC2A3/PGM2"	30	"hallmark hypoxia"
"0"	"0"	"GOBP_COLLAGEN_FIBRIL_ORGANIZATION"	"GOBP_COLLAGEN_FIBRIL_ORGANIZATION"	"17/586"	"66/17939"	2.48219221595614e-11	1.63502001265031e-08	1.38872122397967e-08	"BMP1/FOXC2/COMP/LOX/COL11A1/P3H4/PLOD3/ADAMTS2/LOXL2/LUM/EFEMP2/COL5A2/COL5A1/COL1A1/COL3A1/COL1A2/ADAMTS7"	17	"gobp collagen fibril organization"
