"orig.ident"	"seurat_clusters"	"n_cells"
"white_day1_rep2"	"0"	7288
"asc_day0"	"4"	6891
"beige_day3"	"1"	4922
"white_day3"	"1"	4161
"beige_day3"	"3"	3924
"white_day3"	"3"	3398
"white_day1_rep2"	"2"	3386
"beige_day1_rep2"	"0"	3241
"white_day1"	"2"	2856
"beige_day3"	"5"	2432
"white_day3"	"5"	1939
"beige_day3"	"6"	1897
"white_day1"	"0"	1782
"white_day3"	"6"	1405
"beige_day1"	"2"	1299
"beige_day1_rep2"	"2"	1168
"white_day1_rep2"	"7"	966
"beige_day1"	"0"	715
"white_day1"	"7"	634
"white_day1"	"8"	484
"beige_day1_rep2"	"7"	435
"asc_day0"	"11"	369
"white_day1_rep2"	"8"	358
"white_day1_rep2"	"9"	306
"beige_day1"	"7"	215
"beige_day1"	"8"	194
"beige_day1_rep2"	"9"	146
"white_day1_rep2"	"10"	141
"beige_day1_rep2"	"8"	116
"beige_day3"	"10"	112
"white_day3"	"10"	91
"white_day1"	"9"	84
"beige_day3"	"2"	76
"white_day1"	"1"	68
"white_day1"	"10"	61
"white_day3"	"2"	45
"white_day1_rep2"	"1"	41
"beige_day1_rep2"	"10"	34
"beige_day1"	"10"	22
"white_day1"	"6"	19
"beige_day1"	"9"	19
"beige_day3"	"0"	17
"beige_day1_rep2"	"1"	14
"white_day3"	"0"	13
"beige_day1"	"1"	13
"white_day1_rep2"	"3"	11
"white_day3"	"7"	10
"white_day3"	"8"	8
"white_day1"	"3"	8
"beige_day3"	"8"	8
"white_day3"	"9"	7
"white_day1_rep2"	"6"	7
"beige_day3"	"7"	7
"asc_day0"	"7"	5
"beige_day3"	"9"	4
"white_day1_rep2"	"4"	3
"beige_day1_rep2"	"3"	3
"white_day1_rep2"	"5"	1
"beige_day1"	"3"	1
"beige_day1"	"6"	1
"beige_day1_rep2"	"6"	1
