"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
0	1.90660814265502	0.807	0.202	0	"0"	"MTRNR2L12"
0	3.10927675619227	0.875	0.314	0	"0"	"DKK1"
0	2.37196534577907	0.856	0.3	0	"0"	"STXBP6"
0	3.57311889337287	0.646	0.095	0	"0"	"ALOX15B"
0	3.30702386000258	0.665	0.129	0	"0"	"SORBS2"
0	2.29745387074549	0.815	0.317	0	"0"	"NEDD4"
0	2.14410960930999	0.713	0.221	0	"0"	"ARHGEF19"
0	2.72405840166635	0.698	0.208	0	"0"	"KCNMA1"
0	1.85481527940531	0.868	0.396	0	"0"	"SCRG1"
0	2.0180411987139	0.835	0.366	0	"0"	"IRS2"
0	2.30100490887806	0.691	0.228	0	"0"	"LRRC17"
0	3.39374485217475	0.682	0.228	0	"0"	"SOCS1"
0	2.39316700753554	0.582	0.135	0	"0"	"AL138963.4"
0	2.18542238816864	0.799	0.353	0	"0"	"HAND2"
0	1.84981900633891	0.73	0.292	0	"0"	"HIP1"
0	1.9848620199538	0.936	0.502	0	"0"	"ITGBL1"
0	2.20802993143079	0.656	0.225	0	"0"	"RGS2"
0	1.13851051093018	0.8	0.373	0	"0"	"TNC"
0	2.4323409244691	0.553	0.129	0	"0"	"CARMIL1"
0	1.59264949618127	0.688	0.265	0	"0"	"PDE7B"
0	1.31553523943656	0.923	0.501	0	"0"	"POSTN"
0	1.82836184986609	0.844	0.429	0	"0"	"TCEAL1"
0	1.79863060431635	0.695	0.283	0	"0"	"WNT5A"
0	1.23958148805482	0.79	0.383	0	"0"	"TFPI2"
0	1.32643065309358	0.784	0.381	0	"0"	"PID1"
0	1.63623345494352	0.679	0.276	0	"0"	"PRRG1"
0	1.66618787471601	0.97	0.571	0	"0"	"FBLN5"
0	1.69826845573935	0.776	0.383	0	"0"	"ALCAM"
0	1.59243481345187	0.617	0.225	0	"0"	"AL133415.1"
0	1.44186810170637	0.954	0.562	0	"0"	"GASK1B"
0	1.3693077785747	0.773	0.384	0	"0"	"STC2"
0	1.49836387674631	0.987	0.602	0	"0"	"CRISPLD2"
0	1.5379145555186	0.944	0.571	0	"0"	"SERPINE2"
0	1.58480618664474	0.629	0.261	0	"0"	"NAV2"
0	1.56146806247639	0.675	0.308	0	"0"	"PCGF5"
0	1.58541141654353	0.894	0.53	0	"0"	"SLC25A37"
0	1.29982667596823	0.879	0.517	0	"0"	"ELN"
0	1.18512253720832	0.876	0.518	0	"0"	"ZFHX3"
0	1.5756651986608	0.918	0.561	0	"0"	"TMEM64"
0	1.71752786252351	0.886	0.532	0	"0"	"IMPA2"
0	0.563056838191017	0.848	0.495	0	"0"	"FAP"
0	1.07712184128504	0.758	0.405	0	"0"	"MTHFD1L"
0	1.32061396291649	0.761	0.414	0	"0"	"SPTLC2"
0	1.34783168705081	0.744	0.397	0	"0"	"B3GALNT2"
0	1.44593911414595	0.909	0.563	0	"0"	"FOXO3"
0	1.17756822970468	0.807	0.461	0	"0"	"RBMS3"
0	1.19589257520469	0.97	0.625	0	"0"	"ITGA5"
0	2.19352444853199	0.455	0.111	0	"0"	"IFI44L"
0	1.1109463740996	0.797	0.453	0	"0"	"ANKRD28"
0	1.45909993715083	0.95	0.609	0	"0"	"SH3PXD2B"
0	1.42203019383664	0.622	0.282	0	"0"	"ARL4A"
0	1.3005582823915	0.57	0.23	0	"0"	"PI16"
0	1.41483443107739	0.557	0.218	0	"0"	"UQCRHL"
0	1.40954486437563	0.585	0.248	0	"0"	"NPR3"
0	1.17020240627204	0.782	0.446	0	"0"	"CD55"
0	0.951042320106432	0.863	0.531	0	"0"	"TRNP1"
0	2.14983800880111	0.943	0.611	0	"0"	"ST3GAL1"
0	1.17784016831007	0.684	0.354	0	"0"	"PITPNC1"
0	1.45913392299305	0.61	0.28	0	"0"	"JAK2"
0	1.28507317665471	0.692	0.363	0	"0"	"FBXO32"
0	1.09481882160879	0.787	0.459	0	"0"	"SESN1"
0	1.66861852051944	0.501	0.173	0	"0"	"P4HA3"
0	1.31786777915323	0.833	0.505	0	"0"	"CHMP1B"
0	1.2698317282204	0.63	0.303	0	"0"	"FAM171B"
0	1.48861437449561	0.675	0.349	0	"0"	"CPM"
0	1.51438657045811	0.932	0.607	0	"0"	"ADAMTS1"
0	1.3917253116577	0.601	0.276	0	"0"	"MIOS"
0	2.22335924441887	0.897	0.575	0	"0"	"TMX4"
0	1.71695596246083	0.527	0.21	0	"0"	"ATAD2"
0	1.35557303989431	0.846	0.53	0	"0"	"AKAP13"
0	1.14000619601052	0.681	0.368	0	"0"	"COL8A1"
0	1.57617377305929	0.477	0.164	0	"0"	"DIRAS3"
0	1.28536869124529	0.607	0.295	0	"0"	"FMNL2"
0	2.3684823375962	0.438	0.126	0	"0"	"SEC14L2"
0	1.31465198281027	0.701	0.39	0	"0"	"DCBLD1"
0	0.971107138196361	0.674	0.365	0	"0"	"SLC7A11"
0	2.32720870683078	0.39	0.081	0	"0"	"CDH20"
0	1.43880452932463	0.976	0.667	0	"0"	"AOX1"
0	0.942513978714131	0.931	0.623	0	"0"	"CUTC"
0	1.06648132848938	0.748	0.44	0	"0"	"ROBO1"
0	2.32929451814658	0.479	0.171	0	"0"	"KCNG1"
0	2.61269802279185	0.433	0.126	0	"0"	"RGCC"
0	1.00274876143723	0.85	0.543	0	"0"	"GAS1"
0	2.33880239660036	0.451	0.145	0	"0"	"NEFL"
0	1.491557871372	0.895	0.591	0	"0"	"TIPARP"
0	0.729940733502831	0.668	0.365	0	"0"	"GLT8D2"
0	0.81261375002908	0.858	0.557	0	"0"	"VASN"
0	1.00639246178437	0.866	0.566	0	"0"	"RNF115"
0	1.11048615598415	0.644	0.344	0	"0"	"PITX2"
0	1.06082797112569	0.587	0.287	0	"0"	"YPEL2"
0	0.696715966895048	0.979	0.679	0	"0"	"ISLR"
0	1.18689682803471	0.933	0.634	0	"0"	"ITGAV"
0	1.40652448527879	0.629	0.331	0	"0"	"GULP1"
0	1.27997675895197	0.588	0.29	0	"0"	"CACNA2D1"
0	1.8628846341098	0.47	0.172	0	"0"	"PTGER2"
0	1.38806920959639	0.529	0.232	0	"0"	"UNC5B"
0	0.858956673843433	0.683	0.388	0	"0"	"JADE1"
0	1.05994742448266	0.587	0.294	0	"0"	"DNMBP"
0	0.783660730584568	0.872	0.58	0	"0"	"ANGPTL1"
0	1.26146211709383	0.512	0.22	0	"0"	"MOCOS"
0	1.30867922615789	0.636	0.345	0	"0"	"KCNE4"
0	1.47193152778515	0.923	0.632	0	"0"	"RASSF4"
0	1.35328842857987	0.478	0.187	0	"0"	"GATA6"
0	1.12811982548498	0.962	0.671	0	"0"	"C1orf21"
0	0.588149654654012	0.712	0.423	0	"0"	"HEG1"
0	0.775266212374246	0.541	0.253	0	"0"	"DPP4"
0	0.813903466869251	0.876	0.588	0	"0"	"ALDH1L2"
0	1.31863292544293	0.606	0.318	0	"0"	"DLG5"
0	1.34557356123218	0.588	0.3	0	"0"	"CHST7"
0	0.871757770532511	0.689	0.401	0	"0"	"FSTL3"
0	0.897284883396326	0.92	0.634	0	"0"	"ZNF503"
0	1.40179379199448	0.514	0.228	0	"0"	"AMMECR1"
0	1.22421555520201	0.864	0.579	0	"0"	"MOXD1"
0	1.43794618695997	0.497	0.212	0	"0"	"UBASH3B"
0	2.00200541359946	0.419	0.134	0	"0"	"VTN"
0	2.02242362674658	0.396	0.114	0	"0"	"GREB1L"
0	1.83974846152976	0.419	0.137	0	"0"	"AC090197.1"
0	1.5407575557246	0.442	0.163	0	"0"	"SAMD11"
0	0.848863209382947	0.539	0.26	0	"0"	"LINC01133"
0	1.25747675993365	0.961	0.682	0	"0"	"PTX3"
0	1.2795841633601	0.478	0.2	0	"0"	"THBS3"
0	0.547926401490344	0.587	0.309	0	"0"	"HMCN1"
0	0.601936687300458	0.869	0.592	0	"0"	"PSAT1"
0	1.70113191424148	0.424	0.147	0	"0"	"SMAD9"
0	0.944289759609499	0.506	0.229	0	"0"	"PODNL1"
0	0.977955214491855	0.582	0.305	0	"0"	"BAIAP2"
0	2.0154742130901	0.372	0.096	0	"0"	"GPR1"
0	1.59162065315385	0.424	0.148	0	"0"	"MROH1"
0	0.822956978605181	0.705	0.429	0	"0"	"RPS6KA2"
0	1.06338027669647	0.526	0.251	0	"0"	"SLC7A8"
0	0.937537982232651	0.776	0.502	0	"0"	"APOL2"
0	0.856818778469156	0.618	0.345	0	"0"	"SEMA5A"
0	0.741778225520193	0.871	0.598	0	"0"	"BMP1"
0	0.770074821906773	0.779	0.506	0	"0"	"BEST1"
0	1.37582827519404	0.835	0.562	0	"0"	"TMEM87A"
0	0.72073109492092	0.922	0.65	0	"0"	"HIPK2"
0	1.07240691135978	0.933	0.661	0	"0"	"EMP1"
0	1.25877745289413	0.944	0.672	0	"0"	"TCEAL3"
0	0.86519935931424	0.841	0.57	0	"0"	"ANTXR1"
0	0.783400591680385	0.76	0.492	0	"0"	"FOSL2"
0	0.957400982435692	0.675	0.409	0	"0"	"OSR2"
0	0.699892570436597	0.692	0.426	0	"0"	"GALNS"
0	0.883673392207645	0.62	0.355	0	"0"	"AC093849.2"
0	1.13256932307081	0.52	0.255	0	"0"	"TNFAIP3"
0	1.06089910795252	0.575	0.31	0	"0"	"CLGN"
0	0.573462443452576	0.654	0.39	0	"0"	"LMCD1"
0	0.781574121159684	0.739	0.478	0	"0"	"SRGN"
0	0.955521123401362	0.641	0.381	0	"0"	"MAP9"
0	0.956753285432399	0.802	0.543	0	"0"	"VGLL4"
0	1.4830709251643	0.424	0.165	0	"0"	"HAND2-AS1"
0	0.770549673724479	0.764	0.505	0	"0"	"SPATS2"
0	0.724900658864574	0.699	0.44	0	"0"	"STIM1"
0	0.963001590969971	0.72	0.461	0	"0"	"ARL4D"
0	0.729099773568732	0.922	0.664	0	"0"	"MTHFD2"
0	0.749008241451959	0.692	0.434	0	"0"	"PXN"
0	0.986306260964152	0.54	0.284	0	"0"	"RYBP"
0	0.743124592239829	0.672	0.416	0	"0"	"S1PR3"
0	0.781325257907673	0.625	0.369	0	"0"	"PMS2"
0	1.19551517080952	0.462	0.206	0	"0"	"TMEM91"
0	0.916616063967606	0.648	0.392	0	"0"	"IRAK1"
0	0.67190323631798	0.639	0.384	0	"0"	"LTBP1"
0	1.0809620652982	0.65	0.395	0	"0"	"USP53"
0	0.54947562287105	0.808	0.553	0	"0"	"PTK7"
0	0.837051645521286	0.731	0.476	0	"0"	"NID2"
0	1.12140004996478	0.965	0.71	0	"0"	"JDP2"
0	0.696096605429301	0.734	0.479	0	"0"	"TGIF1"
0	0.69635472968837	0.754	0.499	0	"0"	"GALNT1"
0	0.735260107044076	0.793	0.539	0	"0"	"TACC1"
0	1.80809107580771	0.372	0.119	0	"0"	"TMEM164"
0	0.797266908324315	0.824	0.572	0	"0"	"SH3BP5"
0	0.684499052962458	0.794	0.542	0	"0"	"PON2"
0	0.657858339304248	0.882	0.63	0	"0"	"KLF9"
0	0.932060099255263	0.555	0.304	0	"0"	"FBXO42"
0	1.23826395139944	0.573	0.322	0	"0"	"RHOU"
0	0.981871581917127	0.591	0.34	0	"0"	"AC015871.1"
0	0.989288080493617	0.529	0.279	0	"0"	"C8orf88"
0	0.653774461308106	0.807	0.558	0	"0"	"TFPI"
0	1.52224610608825	0.432	0.183	0	"0"	"FAM43A"
0	0.669286543856678	0.832	0.583	0	"0"	"MICA"
0	0.644672334926582	0.947	0.7	0	"0"	"ZBTB16"
0	1.38762928117508	0.407	0.16	0	"0"	"GALM"
0	0.716001069756804	0.57	0.324	0	"0"	"MEIS3"
0	0.873323563668753	0.465	0.22	0	"0"	"HAS1"
0	0.92653093122158	0.517	0.273	0	"0"	"NCS1"
0	0.671156053364986	0.579	0.335	0	"0"	"PODN"
0	1.39010648036204	0.438	0.195	0	"0"	"FOXC2"
0	0.867472813417303	0.739	0.496	0	"0"	"COMP"
0	0.81185373298449	0.51	0.268	0	"0"	"GALNT15"
0	1.25066426071349	0.993	0.751	0	"0"	"LOX"
0	0.595294902471293	0.724	0.482	0	"0"	"TMEM80"
0	0.727835180948222	0.616	0.374	0	"0"	"TSPYL2"
0	0.650180692741246	0.663	0.422	0	"0"	"NFYB"
0	0.554795040713874	0.758	0.518	0	"0"	"SAP30"
0	0.747320656511962	0.624	0.384	0	"0"	"PTPN12"
0	0.664770877276074	0.643	0.403	0	"0"	"ZDHHC12"
0	0.636184212686328	0.854	0.614	0	"0"	"PRRX2"
0	1.45079386633972	0.432	0.193	0	"0"	"ATOH8"
0	1.31682420857318	0.958	0.719	0	"0"	"LGMN"
0	1.64335920780562	0.358	0.119	0	"0"	"EVA1C"
0	0.718397533786652	0.574	0.335	0	"0"	"MAN2B2"
0	1.14560566895391	0.461	0.223	0	"0"	"AFF1"
0	2.11865190798588	0.348	0.11	0	"0"	"COL11A1"
0	0.566838631561994	0.797	0.56	0	"0"	"PERP"
