"Cluster"	"cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"abbrev_ID"
"0"	"0"	"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	"32/505"	"200/17939"	1.37007641304731e-15	8.63148140219804e-12	7.56859054281292e-12	"WNT5A/TFPI2/GAS1/FSTL3/ELN/DKK1/ITGA5/SNAI2/LAMA2/TGFB1/CRLF1/ANPEP/SAT1/FBN1/DCN/FSTL1/COL6A3/NNMT/IGFBP4/SPOCK1/RHOB/FBLN1/FBLN5/TGFBR3/COMP/ABI3BP/ITGAV/SLC6A8/FOXC2/IGFBP2/ID2/TNFAIP3"	32	"hallmarkepithelialmesenchymaltransition."
"0"	"0"	"HALLMARK_UV_RESPONSE_DN"	"HALLMARK_UV_RESPONSE_DN"	"20/505"	"144/17939"	4.01830510693969e-09	1.265766108686e-05	1.10989816848524e-05	"TFPI/ID1/SNAI2/PIK3R3/LPAR1/TGFBR2/DUSP1/MT1E/MIOS/FYN/PTEN/FBLN5/MYC/KCNMA1/TGFBR3/LTBP1/ATP2B4/SLC22A18/AMPH/PRKCE"	20	"hallmark uv response dn"
"0"	"0"	"HALLMARK_HYPOXIA"	"HALLMARK_HYPOXIA"	"23/505"	"200/17939"	1.13632490603698e-08	2.38628230267765e-05	2.09243266908142e-05	"HAS1/IRS2/FOXO3/TIPARP/TMEM45A/NFIL3/P4HA2/AKAP12/DUSP1/BTG1/MT1E/PNRC1/DCN/MT2A/SAP30/DDIT4/ERRFI1/GLRX/RORA/FOSL2/CHST3/TNFAIP3/PGM2"	23	"hallmark hypoxia"
"0"	"0"	"HALLMARK_P53_PATHWAY"	"HALLMARK_P53_PATHWAY"	"22/505"	"196/17939"	3.68724975222803e-08	5.65369728652155e-05	4.95749429568339e-05	"ZBTB16/ALOX15B/SESN1/PITPNC1/FOXO3/SOCS1/IP6K2/TGFB1/SAT1/BTG1/ZFP36L1/DCXR/SLC19A2/DDIT4/SLC7A11/MXD4/BAIAP2/GM2A/TSPYL2/HEXIM1/PVT1/SLC35D1"	22	"hallmark p53 pathway"
"0"	"0"	"GOBP_FAT_CELL_DIFFERENTIATION"	"GOBP_FAT_CELL_DIFFERENTIATION"	"24/505"	"234/17939"	5.11642428662955e-08	5.65369728652155e-05	4.95749429568339e-05	"ZBTB16/LMO3/TMEM64/PID1/RGS2/WNT5A/FOXO1/SOCS1/SNAI2/JDP2/TGFB1/ZFP36L1/CEBPD/FBXO9/ARL4A/RORA/NAPEPLD/RARRES2/FOSL2/ZFP36L2/ID2/ZNF516/DUSP10/SMAD6"	24	"gobp fat cell differentiation"
"0"	"0"	"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION"	"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION"	"29/505"	"327/17939"	5.384473606211e-08	5.65369728652155e-05	4.95749429568339e-05	"CRISPLD2/HAS1/SH3PXD2B/ELN/COL18A1/ADAMTS1/RGCC/LAMA2/TGFB1/NID1/LAMB1/SULF2/PHLDB1/ADAMTS2/FBLN1/FBLN5/TGFBR3/WASHC1/COMP/ANTXR1/ABI3BP/MMP17/FOXC2/ADAMTS15/ADAMTS5/MMP23B/FOXF2/VTN/ADAMTS4"	29	"gobpexternalencapsulatingstructurorgnztn."
"0"	"0"	"REACTOME_METALLOTHIONEINS_BIND_METALS"	"REACTOME_METALLOTHIONEINS_BIND_METALS"	"6/505"	"11/17939"	1.97991940877247e-07	0.000178192746789522	0.000156249880559969	"MT1M/MT1G/MT1X/MT1E/MT2A/MT1F"	6	"reactome metallothioneins bind metals"
"0"	"0"	"GOBP_MESENCHYMAL_CELL_PROLIFERATION"	"GOBP_MESENCHYMAL_CELL_PROLIFERATION"	"10/505"	"45/17939"	3.76409796499448e-07	0.000296422714743315	0.000259920870003829	"WNT5A/IRS2/SIX2/HAND2/ZEB1/TGFBR2/MYC/OSR1/SHOX2/TBX2"	10	"gobp mesenchymal cell proliferation"
"0"	"0"	"GOBP_RENAL_SYSTEM_DEVELOPMENT"	"GOBP_RENAL_SYSTEM_DEVELOPMENT"	"27/505"	"328/17939"	6.87115202746666e-07	0.000480980641922666	0.000421752115089415	"ZBTB16/EDNRB/WNT5A/SIX2/TIPARP/OSR2/ADAMTS1/TGFB1/CRLF1/NID1/FBN1/SULF2/ID3/DLG5/GREB1L/KLF15/MYC/TMEM59L/OSR1/ANGPT1/MMP17/FOXC2/IRX2/TBX18/HOXA11/HS3ST3B1/SMAD6"	27	"gobp renal system development"
"0"	"0"	"GOCC_ENDOPLASMIC_RETICULUM_LUMEN"	"GOCC_ENDOPLASMIC_RETICULUM_LUMEN"	"26/505"	"311/17939"	8.25020633165397e-07	0.000486523786426915	0.000426612670203584	"WNT5A/FSTL3/CTSC/COL18A1/P4HA2/FKBP7/RCN2/LAMB1/FBN1/FSTL1/COL6A3/IGFBP4/P4HA3/TMEM132A/LTBP1/ARSK/UGGT2/POGLUT2/MINPP1/IGFBP7/POGLUT1/ADAMTS5/H6PD/VTN/APOL1/PENK"	26	"gocc endoplasmic reticulum lumen"
