"orig.ident"	"seurat_clusters"	"n_cells"	"cells_per_sample"	"time"	"cells_per_cluster"
"asc_day0"	"1"	3923	0.539986235375086	"day0"	0.999745158002039
"white_day3"	"2"	2914	0.401101169993118	"day3"	0.992506811989101
"asc_day0"	"3"	2897	0.398761183757743	"day0"	1
"white_day1_rep2"	"0"	2896	0.797356828193833	"day1"	0.510128589043509
"white_day1"	"0"	2720	0.748898678414097	"day1"	0.479126299101638
"white_day3"	"4"	2490	0.34273916035788	"day3"	0.969626168224299
"white_day3"	"5"	869	0.119614590502409	"day3"	1
"white_day3"	"6"	819	0.112732278045423	"day3"	0.982014388489209
"white_day1_rep2"	"7"	394	0.108480176211454	"day1"	0.536784741144414
"asc_day0"	"8"	348	0.0479008947006194	"day0"	0.716049382716049
"white_day1"	"7"	337	0.0927863436123348	"day1"	0.459128065395095
"white_day1"	"10"	280	0.0770925110132159	"day1"	0.736842105263158
"white_day1"	"9"	162	0.0446035242290749	"day1"	0.413265306122449
"white_day1_rep2"	"9"	128	0.0352422907488987	"day1"	0.326530612244898
"white_day3"	"9"	102	0.0140399174122505	"day3"	0.260204081632653
"asc_day0"	"11"	97	0.013351686166552	"day0"	1
"white_day1_rep2"	"10"	97	0.0267070484581498	"day1"	0.255263157894737
"white_day1_rep2"	"8"	81	0.0223017621145374	"day1"	0.166666666666667
"white_day3"	"0"	61	0.00839642119752237	"day3"	0.0107451118548529
"white_day1"	"4"	55	0.0151431718061674	"day1"	0.021417445482866
"white_day1"	"8"	53	0.0145925110132159	"day1"	0.109053497942387
"white_day1_rep2"	"4"	23	0.00633259911894273	"day1"	0.00895638629283489
"white_day1"	"6"	13	0.00357929515418502	"day1"	0.0155875299760192
"white_day1"	"2"	12	0.00330396475770925	"day1"	0.00408719346049046
"white_day1_rep2"	"2"	10	0.00275330396475771	"day1"	0.00340599455040872
"white_day3"	"8"	4	0.000550584996558844	"day3"	0.00823045267489712
"white_day3"	"7"	3	0.000412938747419133	"day3"	0.00408719346049046
"white_day3"	"10"	3	0.000412938747419133	"day3"	0.00789473684210526
"white_day1_rep2"	"6"	2	0.000550660792951542	"day1"	0.00239808153477218
"white_day1_rep2"	"1"	1	0.000275330396475771	"day1"	0.000254841997961264
