"Cluster"	"cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"abbrev_ID"
"0"	"0"	"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	"31/533"	"200/17939"	4.09675596782296e-14	2.63831084327798e-10	2.29849571668383e-10	"WNT5A/TFPI2/FSTL3/GAS1/DKK1/ELN/ITGA5/SNAI2/LAMA2/TGFB1/CRLF1/ANPEP/SAT1/FBN1/DCN/FSTL1/NNMT/IGFBP4/TIMP1/SPOCK1/FBLN1/FBLN5/RHOB/COMP/TGFBR3/SLC6A8/ITGAV/ABI3BP/FOXC2/ID2/IGFBP2"	31	"hallmarkepithelialmesenchymaltransition."
"0"	"0"	"HALLMARK_UV_RESPONSE_DN"	"HALLMARK_UV_RESPONSE_DN"	"21/533"	"144/17939"	1.73190506699193e-09	5.57673431571402e-06	4.85844947740368e-06	"TFPI/ID1/SNAI2/PIK3R3/LPAR1/TGFBR2/DUSP1/MT1E/FYN/MIOS/FBLN5/PTEN/MYC/LTBP1/TGFBR3/KCNMA1/ATP2B4/SLC22A18/AMPH/PTGFR/PRKCE"	21	"hallmark uv response dn"
"0"	"0"	"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION"	"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION"	"30/533"	"327/17939"	4.89447717569107e-08	9.40344591790565e-05	8.1922796244585e-05	"CRISPLD2/HAS1/SH3PXD2B/ELN/SULF2/COL18A1/ADAMTS1/RGCC/LAMA2/TGFB1/NID1/LAMB1/ADAMTS2/PHLDB1/FBLN1/FBLN5/WASHC1/COMP/ANTXR1/TGFBR3/ADAMTS5/MMP17/ADAMTS15/ABI3BP/FOXC2/SLC2A10/FOXF2/VTN/MMP23B/ADAMTS4"	30	"gobpexternalencapsulatingstructurorgnztn."
"0"	"0"	"GOBP_MESENCHYMAL_CELL_PROLIFERATION"	"GOBP_MESENCHYMAL_CELL_PROLIFERATION"	"11/533"	"45/17939"	5.84064963845071e-08	9.40344591790565e-05	8.1922796244585e-05	"WNT5A/IRS2/HAND2/SIX2/ZEB1/TGFBR2/MYC/OSR1/PHF14/TBX2/SHOX2"	11	"gobp mesenchymal cell proliferation"
"0"	"0"	"HALLMARK_P53_PATHWAY"	"HALLMARK_P53_PATHWAY"	"22/533"	"196/17939"	9.50056691964392e-08	0.000122367301925014	0.000106606361435162	"ZBTB16/ALOX15B/SESN1/PITPNC1/FOXO3/SOCS1/IP6K2/TGFB1/DCXR/SAT1/BTG1/ZFP36L1/SLC19A2/SLC7A11/DDIT4/MXD4/GM2A/BAIAP2/HEXIM1/PVT1/TSPYL2/SLC35D1"	22	"hallmark p53 pathway"
"0"	"0"	"GOBP_DETOXIFICATION_OF_INORGANIC_COMPOUND"	"GOBP_DETOXIFICATION_OF_INORGANIC_COMPOUND"	"8/533"	"22/17939"	1.27642812772186e-07	0.000125218809267989	0.000109090593886626	"MT1M/MT1F/MT1G/MT1X/MT1E/MT2A/TXN/ABCB6"	8	"gobpdetoxificationofinorganiccompound."
"0"	"0"	"HALLMARK_HYPOXIA"	"HALLMARK_HYPOXIA"	"22/533"	"200/17939"	1.36107401378249e-07	0.000125218809267989	0.000109090593886626	"HAS1/IRS2/FOXO3/TIPARP/TMEM45A/NFIL3/P4HA2/AKAP12/DUSP1/BTG1/PNRC1/MT1E/DCN/MT2A/SAP30/DDIT4/ERRFI1/GLRX/RORA/FOSL2/CHST3/PGM2"	22	"hallmark hypoxia"
"0"	"0"	"WP_NUCLEAR_RECEPTORS_METAPATHWAY"	"WP_NUCLEAR_RECEPTORS_METAPATHWAY"	"28/533"	"313/17939"	2.32053652506447e-07	0.00018680319026769	0.000162742890507811	"FKBP5/TSC22D3/RGS2/IRS2/FOXO1/GSR/AKAP13/SNAI2/TGFB1/PTGR1/TGFBR2/TXNRD1/NFE2L2/TXN/FTH1/GCLM/SLC19A2/SLC7A11/MYC/GSTA4/TGFBR3/SRGN/SLC2A13/SLC6A8/SRXN1/SLC2A10/NCOA1/MAFG"	28	"wp nuclear receptors metapathway"
"0"	"0"	"REACTOME_METALLOTHIONEINS_BIND_METALS"	"REACTOME_METALLOTHIONEINS_BIND_METALS"	"6/533"	"11/17939"	2.72252563392041e-07	0.000194811834249416	0.000169720019050243	"MT1M/MT1F/MT1G/MT1X/MT1E/MT2A"	6	"reactome metallothioneins bind metals"
"0"	"0"	"GOBP_ROOF_OF_MOUTH_DEVELOPMENT"	"GOBP_ROOF_OF_MOUTH_DEVELOPMENT"	"14/533"	"91/17939"	4.61186280215325e-07	0.000279437887366604	0.000243446214394246	"WNT5A/HAND2/OSR2/TIPARP/SNAI2/TGFBR2/PKDCC/TGFBR3/NPRL3/FRAS1/OSR1/TBX2/FOXF2/SNAI1"	14	"gobp roof of mouth development"
"0"	"0"	"GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION"	"GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION"	"33/533"	"423/17939"	4.77300739290782e-07	0.000279437887366604	0.000243446214394246	"EDNRB/WNT5A/HAS1/IRS2/HAND2/PTPRG/ID1/RGCC/SNAI2/PIK3R3/PDLIM1/TGFB1/AKAP12/GLUL/TGFBR2/NFE2L2/DCN/FSTL1/NR2F2/TIMP1/ROBO1/PTEN/RHOB/ANGPT1/TGFBR3/ZFAND5/ATOH8/ATP2B4/FOXC2/DUSP10/MAP3K3/PRKCE/SNAI1"	33	"gobp ameboidal type cell migration"
"0"	"0"	"GOBP_FAT_CELL_DIFFERENTIATION"	"GOBP_FAT_CELL_DIFFERENTIATION"	"23/533"	"234/17939"	5.43369929774368e-07	0.000291608528978911	0.000254049274183981	"ZBTB16/LMO3/TMEM64/PID1/WNT5A/RGS2/FOXO1/SOCS1/SNAI2/JDP2/TGFB1/ZFP36L1/CEBPD/FBXO9/ARL4A/RORA/RARRES2/NAPEPLD/FOSL2/ZFP36L2/ID2/DUSP10/SMAD6"	23	"gobp fat cell differentiation"
"0"	"0"	"GOBP_RENAL_SYSTEM_DEVELOPMENT"	"GOBP_RENAL_SYSTEM_DEVELOPMENT"	"28/533"	"328/17939"	6.02603546278609e-07	0.000298520526002634	0.0002600710041834	"ZBTB16/EDNRB/WNT5A/SIX2/OSR2/TIPARP/SULF2/ADAMTS1/TGFB1/CRLF1/ID3/NID1/FBN1/DLG5/MYC/GREB1L/KLF15/ANGPT1/TMEM59L/FRAS1/OSR1/MMP17/IRX2/FOXC2/HOXA11/TBX18/HS3ST3B1/SMAD6"	28	"gobp renal system development"
"0"	"0"	"REACTOME_NFE2L2_REGULATING_ANTI_OXIDANT_DETOXIFICATION_ENZYMES"	"REACTOME_NFE2L2_REGULATING_ANTI_OXIDANT_DETOXIFICATION_ENZYMES"	"7/533"	"19/17939"	7.25993969149524e-07	0.000333957225808781	0.00029094344778699	"GSR/TXNRD1/NFE2L2/TXN/GCLM/SLC7A11/SRXN1"	7	"reactomnfe2l2rgltngantoxdntdtxfctnenzyms."
