"orig.ident"	"seurat_clusters"	"n_cells"	"cells_per_sample"	"time"	"cells_per_cluster"
"asc_day0"	"1"	3620	0.498279421885754	"day0"	0.99972383319525
"asc_day0"	"2"	3215	0.442532690984171	"day0"	1
"white_day1_rep2"	"0"	3172	0.873348017621145	"day1"	0.520511978995734
"white_day1"	"0"	2882	0.793502202643172	"day1"	0.472924187725632
"white_day3"	"3"	2542	0.349896765313145	"day3"	0.965072133637054
"white_day3"	"4"	2157	0.296902959394357	"day3"	0.991724137931035
"white_day3"	"5"	1693	0.233035099793531	"day3"	1
"white_day3"	"6"	820	0.112869924294563	"day3"	0.982035928143713
"white_day1"	"7"	350	0.0963656387665198	"day1"	0.596252129471891
"asc_day0"	"8"	332	0.045698554714384	"day0"	0.704883227176221
"white_day1"	"9"	272	0.0748898678414097	"day1"	0.733153638814016
"white_day1_rep2"	"7"	231	0.0636013215859031	"day1"	0.393526405451448
"asc_day0"	"10"	98	0.0134893324156917	"day0"	1
"white_day1_rep2"	"9"	96	0.026431718061674	"day1"	0.258760107816712
"white_day1_rep2"	"8"	81	0.0223017621145374	"day1"	0.171974522292994
"white_day1"	"8"	54	0.0148678414096916	"day1"	0.114649681528662
"white_day1"	"3"	51	0.0140418502202643	"day1"	0.0193621867881549
"white_day1_rep2"	"3"	41	0.0112885462555066	"day1"	0.0155656795747912
"white_day3"	"0"	40	0.00550584996558844	"day3"	0.00656383327863472
"white_day1"	"6"	14	0.00385462555066079	"day1"	0.0167664670658683
"white_day1"	"4"	9	0.00247797356828194	"day1"	0.00413793103448276
"white_day1_rep2"	"4"	9	0.00247797356828194	"day1"	0.00413793103448276
"white_day3"	"7"	6	0.000825877494838266	"day3"	0.010221465076661
"white_day3"	"8"	4	0.000550584996558844	"day3"	0.00849256900212314
"white_day3"	"9"	3	0.000412938747419133	"day3"	0.00808625336927224
"white_day1_rep2"	"1"	1	0.000275330396475771	"day1"	0.000276166804750069
"white_day1_rep2"	"6"	1	0.000275330396475771	"day1"	0.00119760479041916
