"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
0	1.55262639772793	0.94	0.418	0	"0"	"ZBTB16"
0	2.03153057772511	0.944	0.448	0	"0"	"AOX1"
0	2.61011946367202	0.746	0.254	0	"0"	"STXBP6"
0	2.45527757528157	0.645	0.17	0	"0"	"PDE7B"
0	2.92075606500773	0.626	0.157	0	"0"	"ARHGEF19"
0	3.87386168555615	0.537	0.078	0	"0"	"MTRNR2L12"
0	2.26698409745902	0.974	0.518	0	"0"	"CRISPLD2"
0	1.14004828317661	0.976	0.531	0	"0"	"FKBP5"
0	1.64740026070059	0.941	0.498	0	"0"	"HSD11B1"
0	1.05082970633329	0.772	0.33	0	"0"	"LMO3"
0	2.00267298414642	0.872	0.432	0	"0"	"TMEM64"
0	4.81380693408298	0.472	0.032	0	"0"	"ALOX15B"
0	1.98276932392295	0.871	0.436	0	"0"	"RASSF4"
0	1.43883473011533	0.872	0.437	0	"0"	"EDNRB"
0	1.50866586108716	0.912	0.481	0	"0"	"HIPK2"
0	1.73408749773295	0.869	0.438	0	"0"	"ANGPTL1"
0	2.2203010226755	0.756	0.341	0	"0"	"TCEAL1"
0	2.29217153761009	0.621	0.207	0	"0"	"CLGN"
0	1.62153051345252	0.712	0.303	0	"0"	"PID1"
0	1.75578217319768	0.775	0.388	0	"0"	"APOL2"
0	1.61365168058313	0.904	0.526	0	"0"	"GASK1B"
0	1.47949854422979	0.81	0.436	0	"0"	"ZFHX3"
0	1.93694643835396	0.838	0.467	0	"0"	"IMPA2"
0	1.98653227104343	0.795	0.425	0	"0"	"CHMP1B"
0	1.9772491360696	0.662	0.294	0	"0"	"FBXO32"
0	0.896984337045404	0.81	0.446	0	"0"	"CCDC69"
0	3.10767677107212	0.475	0.111	0	"0"	"SORBS2"
0	1.31817531379051	0.889	0.525	0	"0"	"CUTC"
0	1.33265781256848	0.953	0.591	0	"0"	"TSC22D3"
0	2.01273366846159	0.603	0.242	0	"0"	"LRRC17"
0	1.91834191033344	0.614	0.257	0	"0"	"WNT5A"
0	1.36413535375838	0.926	0.57	0	"0"	"MT1M"
0	1.46195871633318	0.733	0.377	0	"0"	"SESN1"
0	1.54869232965331	0.935	0.581	0	"0"	"C1orf21"
0	1.90630870271598	0.524	0.17	0	"0"	"GALNT15"
0	1.7951928142706	0.552	0.199	0	"0"	"PRRG1"
0	2.56830404276902	0.485	0.136	0	"0"	"HAS1"
0	0.930091441286952	0.704	0.357	0	"0"	"TFPI2"
0	2.30097190540125	0.521	0.175	0	"0"	"RGS2"
0	1.78741028456041	0.623	0.277	0	"0"	"PITPNC1"
0	1.54787299804901	0.68	0.336	0	"0"	"SMOX"
0	1.08412456855793	0.633	0.295	0	"0"	"PER1"
0	2.1017081433353	0.532	0.194	0	"0"	"CHST7"
0	1.66173245977284	0.618	0.283	0	"0"	"HIP1"
0	1.67628472813145	0.633	0.299	0	"0"	"IRS2"
0	1.41168347906018	0.969	0.635	0	"0"	"SAMHD1"
0	1.75137341761259	0.494	0.164	0	"0"	"SLC7A8"
0	1.24663273080424	0.646	0.321	0	"0"	"FSTL3"
0	1.436467513001	0.651	0.328	0	"0"	"B3GALNT2"
0	1.32924038146236	0.755	0.432	0	"0"	"ANKRD28"
0	1.38746396710399	0.581	0.258	0	"0"	"PDE4D"
0	3.57001203050175	0.4	0.078	0	"0"	"NEFL"
0	1.18662916078317	0.599	0.277	0	"0"	"FOXO1"
0	2.66965448539804	0.43	0.112	0	"0"	"DIRAS3"
0	1.79654151663749	0.647	0.333	0	"0"	"NEDD4"
0	1.4270862383407	0.888	0.576	0	"0"	"SH3PXD2B"
0	1.81480990620224	0.648	0.336	0	"0"	"HAND2"
0	2.23053940007019	0.471	0.159	0	"0"	"SIX2"
0	1.42828379257164	0.816	0.505	0	"0"	"GAS1"
0	1.4758040914251	0.84	0.53	0	"0"	"FOXO3"
0	1.15734145327562	0.874	0.567	0	"0"	"KLF9"
0	1.68017109799855	0.506	0.199	0	"0"	"NAV2"
0	1.2440128574804	0.749	0.443	0	"0"	"SCRG1"
0	0.928342282745839	0.854	0.55	0	"0"	"GSR"
0	2.11160214019289	0.445	0.146	0	"0"	"UBASH3B"
0	0.95688437697658	0.872	0.574	0	"0"	"PTPRG"
0	2.37283347191353	0.67	0.376	0	"0"	"DKK1"
0	1.01864027889519	0.873	0.579	0	"0"	"CUL4B"
0	1.59913947137642	0.599	0.305	0	"0"	"CPM"
0	3.58191847574826	0.361	0.067	0	"0"	"AL138963.4"
0	1.06863362092858	0.839	0.545	0	"0"	"ELN"
0	1.40264354887239	0.644	0.353	0	"0"	"OSR2"
0	0.903716960385086	0.784	0.494	0	"0"	"TFPI"
0	1.46164208539927	0.783	0.497	0	"0"	"TIPARP"
0	1.00959794119088	0.64	0.354	0	"0"	"STIM1"
0	1.7240964783626	0.805	0.52	0	"0"	"CTSC"
0	0.91005453031091	0.812	0.527	0	"0"	"GABPB1-AS1"
0	0.956354303077419	0.691	0.407	0	"0"	"POMGNT2"
0	1.50119187594404	0.472	0.188	0	"0"	"SCD5"
0	1.08107447776602	0.611	0.327	0	"0"	"S1PR3"
0	0.977278124447019	0.786	0.507	0	"0"	"TNFRSF21"
0	0.785445132973253	0.938	0.66	0	"0"	"ITGA5"
0	1.33731699592502	0.802	0.528	0	"0"	"SLC25A37"
0	1.63656518869936	0.515	0.247	0	"0"	"SULF2"
0	1.1311063082882	0.842	0.575	0	"0"	"COL18A1"
0	0.887165580478311	0.765	0.502	0	"0"	"MICA"
0	1.52739636920496	0.503	0.241	0	"0"	"NPR3"
0	1.6236040938141	0.898	0.636	0	"0"	"ID1"
0	1.33074969716674	0.86	0.598	0	"0"	"ADAMTS1"
0	1.26500228041273	0.898	0.638	0	"0"	"TMEM45A"
0	1.01661188940949	0.88	0.621	0	"0"	"PHC2"
0	0.978480847329976	0.777	0.518	0	"0"	"MAPKAPK2"
0	2.16947434359487	0.335	0.082	0	"0"	"IFI44L"
0	1.55105442752186	0.428	0.178	0	"0"	"P4HA3"
0	1.60397365441057	0.413	0.164	0	"0"	"MT1F"
0	2.35559997388385	0.313	0.065	0	"0"	"IL18R1"
0	2.82778117875614	0.479	0.231	0	"0"	"SOCS1"
0	1.80416103265662	0.815	0.568	0	"0"	"ST3GAL1"
