Gene	alignment_similarity_percentage	opt_alignment_cost	l2fc	color	abs_l2fc
LINC00887	0.4286	37.8959030040234	-0.7083806572826574	red	0.7083806572826574
GADD45G	0.4286	35.234648423964714	0.023186291059754338	red	0.023186291059754338
HIST1H2BF	0.4828	43.11407969439365	0.1372243762070224	red	0.1372243762070224
AL355607.2	0.5	29.833896692555417	0.5187599433807724	red	0.5187599433807724
MB21D2	0.5	28.837860095610523	-0.445042785986999	red	0.445042785986999
LINC02432	0.5	30.24338685806561	-0.3419258414454287	red	0.3419258414454287
KLHDC7B	0.5	31.44180769787852	-0.3178284491820191	red	0.3178284491820191
IRF4	0.5	32.35715071479252	-0.2338787058911391	red	0.2338787058911391
RASIP1	0.5	33.60706508738704	-0.08512977334691925	red	0.08512977334691925
HIST1H4B	0.5	35.42339918049142	0.07543509069405542	red	0.07543509069405542
AL021396.1	0.5	30.837929983786427	0.01666645003349343	red	0.01666645003349343
ADRA1B	0.56	37.4596988120582	-0.6268661704163873	green	0.6268661704163873
CDH15	0.56	37.63541818957905	0.04565386256621371	green	0.04565386256621371
ITGA3	0.56	38.78682795855453	0.040840437362779536	green	0.040840437362779536
KIF4A	0.5789	21.178300277127757	-0.5326632547199953	green	0.5326632547199953
GDF5	0.5789	22.375378629127013	-0.39362930900559784	green	0.39362930900559784
ROR2	0.5789	22.861454148418417	-0.3935124758547955	green	0.3935124758547955
S1PR1	0.5789	24.342266401473672	-0.30992896533255826	green	0.30992896533255826
KIF15	0.5789	21.329634827435623	-0.30030193198931654	green	0.30030193198931654
CST2	0.5789	29.7458084540835	-0.27106652834523104	green	0.27106652834523104
SYBU	0.5789	25.80714962790736	-0.25197052801231296	green	0.25197052801231296
PGF	0.5789	23.585939398670455	-0.2502416761164073	green	0.2502416761164073
SNAP25	0.5789	30.59255875107725	-0.24133026105298166	green	0.24133026105298166
CLCF1	0.5789	22.449464523852804	-0.19212910946628314	green	0.19212910946628314
ADGRG6	0.5789	22.015150138997406	-0.14824924308663406	green	0.14824924308663406
PNMA2	0.5789	21.98045010182733	-0.09365347753660046	green	0.09365347753660046
HIST1H4D	0.5789	27.82733423030718	-0.07747506549722034	green	0.07747506549722034
PPP1R1B	0.5789	26.608899998711085	0.03499479929044458	green	0.03499479929044458
SHC3	0.5789	21.631667516794124	0.03428419750103244	green	0.03428419750103244
CLSPN	0.5789	21.818828076874183	-0.032272793828282645	green	0.032272793828282645
OLAH	0.5789	25.97408399518683	-0.015555631546973052	green	0.015555631546973052
TMEM150C	0.5909	38.09781163249237	-0.4929045609542544	green	0.4929045609542544
MGARP	0.6087	34.19594981029665	-0.39980781350328787	green	0.39980781350328787
CAMK1G	0.619	34.09532388252396	-0.7904963928739939	green	0.7904963928739939
HIST1H2BO	0.625	28.73294953091852	-1.3623534326870748	green	1.3623534326870748
TSHR	0.625	28.768439323299404	-0.6993598481667977	green	0.6993598481667977
EYA4	0.625	28.58698738328566	-0.5479686169948971	green	0.5479686169948971
RAI2	0.625	28.462622028031863	-0.5096142250316651	green	0.5096142250316651
TMOD1	0.6364	38.37966186276276	0.39922603399390144	green	0.39922603399390144
LINC01220	0.65	25.59727195962186	0.3218831761020867	green	0.3218831761020867
TRIM59	0.65	28.983046894605863	-0.23235741274691887	green	0.23235741274691887
CDCA2	0.65	26.806415085425325	-0.22475498736194466	green	0.22475498736194466
EFHD1	0.65	26.08815783190576	0.04563169344288748	green	0.04563169344288748
HGF	0.65	26.508154193737013	0.03946988984962591	green	0.03946988984962591
MELK	0.6522	32.82715758612684	-0.37399483543131656	green	0.37399483543131656
TRIP13	0.6522	32.6169981872684	-0.19274275267461685	green	0.19274275267461685
TDRD1	0.6667000000000001	24.58727441447005	-0.42549731298152055	green	0.42549731298152055
MATN3	0.6667000000000001	21.908063389603605	-0.31996713303025587	green	0.31996713303025587
ESCO2	0.6667000000000001	20.353482924210844	0.14069502380376647	green	0.14069502380376647
HIST1H2BH	0.6667000000000001	29.924043907944068	-0.0016322902522757118	green	0.0016322902522757118
FO681492.1	0.6842	23.61254341734517	-0.5140523982547613	green	0.5140523982547613
SYTL2	0.7	29.195565652722028	-0.24985529802121392	green	0.24985529802121392
LRRK2	0.7	27.330461122006362	-0.23883655939964094	green	0.23883655939964094
HIST1H3B	0.7	26.28074011319795	-0.1520378340770391	green	0.1520378340770391
DENND2A	0.7	24.234711509939597	0.12793145687686136	green	0.12793145687686136
PPP1R3C	0.7	21.206725484186546	-0.11573914827046955	green	0.11573914827046955
ADM2	0.7	22.570906900811025	-0.11332601421575353	green	0.11332601421575353
AKAP5	0.7	22.828157078502283	-0.09367184376838672	green	0.09367184376838672
HHIP-AS1	0.7	26.226789093126865	0.004770835139804712	green	0.004770835139804712
HTR2B	0.7143	25.649295615092726	-0.8169423926674777	green	0.8169423926674777
AIF1L	0.7143	25.60845901735152	-0.7230018294861685	green	0.7230018294861685
SKA3	0.7143	22.0159132628993	-0.25587849696719217	green	0.25587849696719217
ACVR1C	0.7143	31.558428259400866	-0.18043004192971343	green	0.18043004192971343
BUB1	0.7143	22.211978289488457	0.13607966560390866	green	0.13607966560390866
NNAT	0.7143	24.727969222860462	0.048120689469677236	green	0.048120689469677236
LRRN3	0.72	35.94211065340254	-0.6737071969375443	green	0.6737071969375443
MYBL1	0.7273000000000001	38.21161846963989	0.03903110046954192	green	0.03903110046954192
SLC2A12	0.7368000000000001	22.352792656770475	-0.41417282422936763	green	0.41417282422936763
