"Cluster"	"cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"0"	"0"	"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	"63/608"	"200/17939"	1.20002387017664e-43	7.98735887989574e-40	6.70118592767062e-40	"PPIB/LOXL2/CALD1/PCOLCE/GADD45B/CDH11/SAT1/COL6A3/DPYSL3/CTHRC1/PLAUR/PTX3/COL5A2/FN1/NNMT/P3H1/PLOD3/CRLF1/FBLN2/GPX7/LOX/LUM/TIMP1/COL16A1/FSTL3/SPARC/EFEMP2/HTRA1/FBN1/ID2/BMP1/BGN/QSOX1/SPOCK1/ITGAV/COL1A2/TNC/TNFAIP3/TFPI2/DCN/ITGA5/COL3A1/SERPINE2/FAP/COL5A1/FOXC2/GAS1/COMP/TGFBI/TGFB1/FBLN5/SFRP4/COL1A1/SNAI2/ELN/POSTN/COL11A1/WNT5A/DKK1/ABI3BP/SLC6A8/IL32/APLP1"	63
"0"	"0"	"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION"	"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION"	"60/608"	"327/17939"	2.59732847368011e-27	8.6439091604074e-24	7.25201450151209e-24	"LOXL2/P4HA1/P3H4/APP/PDGFRA/SULF1/PTX3/COL5A2/ENG/LAMB1/COL8A1/B4GALT1/PLOD3/ADAMTS2/COL14A1/LOX/LUM/MFAP4/COL16A1/AEBP1/EFEMP2/BMP1/BCL3/ANTXR1/QSOX1/DPP4/COL1A2/HMCN1/COL3A1/FAP/COL5A1/FOXC2/COMP/TGFBI/ADAMTS1/TGFB1/COL15A1/FBLN5/COL1A1/SH3PXD2B/ELN/VTN/POSTN/COL11A1/HAS1/SULF2/CRISPLD2/RGCC/MMP23B/ABI3BP/KAZALD1/DPT/MMP17/FOXF2/OLFML2B/PHLDB1/ADAMTS5/ADAMTS7/APLP1/HAS2"	60
"0"	"0"	"GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX"	"GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX"	"67/608"	"428/17939"	3.28485670052699e-26	7.28800206623588e-23	6.11444378817393e-23	"LOXL2/PCOLCE/COL6A3/CTHRC1/SULF1/COL5A2/FN1/LAMB1/COL8A1/MFAP2/LTBP3/P3H1/LTBP2/LTBP1/PLOD3/FBLN2/ADAMTS2/COL14A1/LOX/LUM/TIMP1/MFAP4/COL16A1/AEBP1/SPARC/EFEMP2/HTRA1/FBN1/BGN/PLSCR1/ANGPT1/COL1A2/TNC/HMCN1/ANGPTL1/DCN/COL3A1/SERPINE2/COL5A1/IGFBP7/COMP/SERPINA3/TGFBI/ADAMTS1/TGFB1/COL15A1/FBLN5/CTSC/NAV2/THBS3/COL1A1/ELN/VTN/RARRES2/POSTN/COL11A1/WNT5A/MMP23B/CTSF/ABI3BP/OGN/KAZALD1/DPT/ERBIN/ADAMTS5/EGFL7/APLP1"	67
"0"	"0"	"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT"	"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT"	"41/608"	"166/17939"	3.99106185015977e-24	6.64112691866587e-21	5.5717323987099e-21	"PCOLCE/COL6A3/CTHRC1/COL5A2/FN1/LAMB1/COL8A1/MFAP2/LTBP2/LTBP1/FBLN2/COL14A1/LUM/MFAP4/COL16A1/AEBP1/SPARC/EFEMP2/FBN1/BGN/COL1A2/TNC/TFPI2/HMCN1/DCN/COL3A1/COL5A1/IGFBP7/COMP/TGFBI/COL15A1/FBLN5/THBS3/COL1A1/ELN/VTN/POSTN/COL11A1/ABI3BP/OGN/DPT"	41
"0"	"0"	"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION"	"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION"	"50/608"	"300/17939"	5.47697731566497e-21	7.29095220261321e-18	6.11691887570583e-18	"PPIB/LOXL2/PCOLCE/P4HA1/COL6A3/APP/COL5A2/FN1/LAMB1/COL8A1/MFAP2/LTBP3/P3H1/LTBP2/LTBP1/PLOD3/FBLN2/ADAMTS2/COL14A1/LOX/LUM/TIMP1/MFAP4/COL16A1/SPARC/EFEMP2/HTRA1/FBN1/BMP1/BGN/ITGAV/COL1A2/TNC/DCN/ITGA5/COL3A1/COL5A1/COMP/P4HA2/ADAMTS1/TGFB1/COL15A1/FBLN5/COL1A1/ELN/VTN/COL11A1/P4HA3/MMP17/ADAMTS5"	50
"0"	"0"	"HALLMARK_HYPOXIA"	"HALLMARK_HYPOXIA"	"37/608"	"200/17939"	2.30033662574121e-17	2.55184009682225e-14	2.14092733325564e-14	"P4HA1/NFIL3/GAA/TPBG/DDIT4/MT2A/PLAUR/SAP30/CA12/DUSP1/CCNG2/LOX/FOSL2/STC2/TMEM45A/BGN/RORA/TNFAIP3/PNRC1/DCN/AKAP12/MT1E/COL5A1/TIPARP/P4HA2/TGFBI/FOXO3/HAS1/IRS2/PGF/NR3C1/UGP2/CCN5/TES/PGM2/SLC2A3/CDKN1C"	37
"0"	"0"	"GOCC_ENDOPLASMIC_RETICULUM_LUMEN"	"GOCC_ENDOPLASMIC_RETICULUM_LUMEN"	"45/608"	"311/17939"	1.467613706661e-16	1.2437958402356e-13	1.04351229321385e-13	"PPIB/LRPAP1/FKBP7/P4HA1/COL6A3/RCN2/FUCA2/APP/PLAUR/COL5A2/FN1/LAMB1/COL8A1/P3H1/LTBP1/PLOD3/COL14A1/GPX7/POGLUT2/TIMP1/COL16A1/FSTL3/STC2/FBN1/QSOX1/COL1A2/TNC/TMEM132A/COL3A1/COL5A1/IGFBP7/P4HA2/COL15A1/PENK/CTSC/COL1A1/VTN/COL11A1/WNT5A/P4HA3/APOL1/FAM20C/ADAMTS5/ARSD/ADAMTS7"	45
"0"	"0"	"GOBP_CONNECTIVE_TISSUE_DEVELOPMENT"	"GOBP_CONNECTIVE_TISSUE_DEVELOPMENT"	"43/608"	"285/17939"	1.49494692336009e-16	1.2437958402356e-13	1.04351229321385e-13	"LOXL2/TGFBR2/SULF1/ZBTB16/LTBP3/ZEB1/LOX/TIMP1/FOSL2/BMP1/BGN/OSR2/COL3A1/SPTLC2/COL5A1/FOXC2/COMP/TGFBI/TGFB1/SIX2/THBS3/COL1A1/SH3PXD2B/SNAI2/COL11A1/RUNX2/SULF2/HAND2/WNT5A/NCOA1/OGN/FGFR1/MBOAT2/SHOX2/PKD1/CHST11/SMAD7/OSR1/ZNF516/RASAL2/IFT80/ADAMTS7/SNAI1"	43
"0"	"0"	"GOBP_COLLAGEN_FIBRIL_ORGANIZATION"	"GOBP_COLLAGEN_FIBRIL_ORGANIZATION"	"21/608"	"66/17939"	2.06359138977199e-15	1.50745467399582e-12	1.26471518306361e-12	"LOXL2/P4HA1/P3H4/COL5A2/PLOD3/ADAMTS2/COL14A1/LOX/LUM/AEBP1/EFEMP2/BMP1/COL1A2/COL3A1/COL5A1/FOXC2/COMP/COL1A1/COL11A1/DPT/ADAMTS7"	21
"0"	"0"	"GOBP_CARTILAGE_DEVELOPMENT"	"GOBP_CARTILAGE_DEVELOPMENT"	"35/608"	"205/17939"	2.26480570011392e-15	1.50745467399582e-12	1.26471518306361e-12	"LOXL2/TGFBR2/SULF1/ZBTB16/LTBP3/ZEB1/TIMP1/FOSL2/BMP1/BGN/OSR2/COL3A1/COMP/TGFBI/TGFB1/SIX2/THBS3/COL1A1/SNAI2/COL11A1/RUNX2/SULF2/HAND2/WNT5A/OGN/FGFR1/MBOAT2/SHOX2/PKD1/CHST11/SMAD7/OSR1/IFT80/ADAMTS7/SNAI1"	35
"0"	"0"	"REACTOME_ELASTIC_FIBRE_FORMATION"	"REACTOME_ELASTIC_FIBRE_FORMATION"	"17/608"	"44/17939"	2.41454995768498e-14	1.46102222894102e-11	1.22575957181999e-11	"LOXL2/FN1/MFAP2/LTBP3/LTBP2/LTBP1/FBLN2/LOX/MFAP4/EFEMP2/FBN1/ITGAV/ITGA5/TGFB1/FBLN5/ELN/VTN"	17
