cond.time	fastmnn_clusters	time	condition	n_cells
asc.day0	2	day0	asc	5210
beige.day1	0	day1	beige	4977
white.day1	0	day1	white	4773
white.day3	1	day3	white	3710
beige.day3	1	day3	beige	3536
white.day3	3	day3	white	3085
beige.day3	3	day3	beige	3027
beige.day3	4	day3	beige	1578
white.day3	4	day3	white	1529
beige.day3	5	day3	beige	1526
asc.day0	0	day0	asc	1315
white.day3	5	day3	white	1300
white.day3	6	day3	white	1224
beige.day3	6	day3	beige	1203
white.day1	4	day1	white	1163
beige.day1	4	day1	beige	1086
white.day1	2	day1	white	1044
beige.day1	2	day1	beige	979
asc.day0	4	day0	asc	415
white.day1	5	day1	white	382
beige.day1	5	day1	beige	319
asc.day0	7	day0	asc	226
white.day3	0	day3	white	142
beige.day1	7	day1	beige	138
white.day1	7	day1	white	131
beige.day3	0	day3	beige	129
white.day1	1	day1	white	110
beige.day1	1	day1	beige	102
white.day3	2	day3	white	82
asc.day0	8	day0	asc	79
beige.day3	2	day3	beige	77
beige.day1	8	day1	beige	31
white.day1	8	day1	white	28
asc.day0	9	day0	asc	17
white.day3	7	day3	white	5
white.day1	9	day1	white	4
asc.day0	5	day0	asc	3
beige.day1	9	day1	beige	3
white.day1	3	day1	white	2
beige.day1	3	day1	beige	2
beige.day3	7	day3	beige	1
