orig.ident	nCount_RNA	nFeature_RNA	sample	condition	time	rep	percent.mt	RNA_snn_res.0.5	seurat_clusters	cond.time	time.rep	initial_clusters	fastmnn_clusters	progen_clusters	if_progen_cluster	time.progen_clusters	raw_pseudotime	monocle_pseudotime	pscondition	sample_or_progen_cluster
asc_day0	33853	5322	asc_day0	asc	day0	rep1	0.800519894839453	3	2	asc.day0	day0.rep1	3	2	0	p0	p0	39.8741027430386	0.101387876798385	white	p0
asc_day0	46014	6656	asc_day0	asc	day0	rep1	0.682401008388751	3	2	asc.day0	day0.rep1	3	2	1	p1	p1	35.9142291103678	0.190628516909983	white	p1
asc_day0	33328	5355	asc_day0	asc	day0	rep1	0.366058569371099	3	2	asc.day0	day0.rep1	3	2	0	p0	p0	42.6561436146985	0.0386911517930195	white	p0
asc_day0	25327	4802	asc_day0	asc	day0	rep1	0.758084257906582	3	2	asc.day0	day0.rep1	3	2	0	p0	p0	35.4219977443381	0.201721558320466	white	p0
asc_day0	31012	5750	asc_day0	asc	day0	rep1	1.779956146008	3	4	asc.day0	day0.rep1	3	4	2	p2	p2	23.4080266155155	0.472471226939378	white	p2
asc_day0	35590	6193	asc_day0	asc	day0	rep1	0.387749367799944	3	0	asc.day0	day0.rep1	3	0	2	p2	p2	29.9597549935416	0.324819940931541	white	p2
asc_day0	12294	3518	asc_day0	asc	day0	rep1	1.84642915243208	3	2	asc.day0	day0.rep1	3	2	0	p0	p0	43.836785932126	0.0120839198650136	white	p0
asc_day0	24662	4890	asc_day0	asc	day0	rep1	0.137863920201119	3	2	asc.day0	day0.rep1	3	2	2	p2	p2	36.1020677529773	0.186395341243501	white	p2
asc_day0	31218	5537	asc_day0	asc	day0	rep1	0.528541226215645	3	2	asc.day0	day0.rep1	3	2	0	p0	p0	36.053331006504	0.187493683982611	white	p0
asc_day0	67188	7979	asc_day0	asc	day0	rep1	0.681669345716497	8	2	asc.day0	day0.rep1	8	2	5	p5	p5	42.5114456443218	0.0419520991608164	white	p5
asc_day0	24637	4808	asc_day0	asc	day0	rep1	0.807728213662378	3	0	asc.day0	day0.rep1	3	0	1	p1	p1	32.7791385156533	0.261281653205011	white	p1
asc_day0	21886	2482	asc_day0	asc	day0	rep1	0.22388741661336	3	0	asc.day0	day0.rep1	3	0	1	p1	p1	30.4502463873301	0.313766111943218	white	p1
asc_day0	25445	4500	asc_day0	asc	day0	rep1	0.396934564747495	3	2	asc.day0	day0.rep1	3	2	0	p0	p0	39.9823003345577	0.0989495105217356	white	p0
asc_day0	30348	4802	asc_day0	asc	day0	rep1	0.827072624225649	3	2	asc.day0	day0.rep1	3	2	2	p2	p2	34.5547548150418	0.221265948197993	white	p2
asc_day0	24615	4632	asc_day0	asc	day0	rep1	1.3609587649807	3	2	asc.day0	day0.rep1	3	2	0	p0	p0	35.7191909985076	0.195023941502567	white	p0
asc_day0	28359	4743	asc_day0	asc	day0	rep1	0.342043090376953	3	0	asc.day0	day0.rep1	3	0	1	p1	p1	33.1055604420433	0.253925332180733	white	p1
