Gene	alignment_similarity_percentage	opt_alignment_cost	l2fc	color	abs_l2fc
SLC7A10	0.5	30.65065397561363	-0.050534271250460866	red	0.050534271250460866
AL356218.2	0.5	30.7303155823005	-0.005996464939326355	red	0.005996464939326355
ENPP5	0.5789	25.263991127774283	-0.5013675123800743	green	0.5013675123800743
ITPKA	0.5789	22.123284204935818	-0.30501022313440773	green	0.30501022313440773
FPR2	0.5789	25.3429530448534	-0.26065064855388553	green	0.26065064855388553
CDC25C	0.5789	24.98430234885848	0.13577496725658356	green	0.13577496725658356
E2F8	0.5789	21.230949455955535	0.12096587697514462	green	0.12096587697514462
MT1H	0.5789	24.824956369776714	-0.10062559349708691	green	0.10062559349708691
KCNB1	0.5789	25.98977659521223	-0.09323406685591544	green	0.09323406685591544
OSTN	0.5789	32.703294596549505	-0.07449623070327228	green	0.07449623070327228
TNF	0.5789	21.430572434536387	0.02439087445733338	green	0.02439087445733338
PLIN1	0.5789	26.131516489477068	0.0007752482491898211	green	0.0007752482491898211
AF106564.1	0.5832999999999999	37.16273321632657	-0.4544631187484095	green	0.4544631187484095
KIFC1	0.625	30.76930783369038	0.03788503206764373	green	0.03788503206764373
SULT1B1	0.625	35.42731363835706	-0.027941974651059808	green	0.027941974651059808
AC103702.2	0.625	32.35683668023343	0.022096904134870407	green	0.022096904134870407
CYP19A1	0.65	25.552416920806635	-0.17184413050469938	green	0.17184413050469938
DIO2	0.6522	34.47151805856101	0.24065004503296844	green	0.24065004503296844
HIST1H2BL	0.6522	27.91444084055372	0.0063946364491373146	green	0.0063946364491373146
CNTFR	0.6667000000000001	25.476548180357742	-0.23328108260467068	green	0.23328108260467068
HEYL	0.6667000000000001	23.59228880807678	0.09334636004914444	green	0.09334636004914444
IL1A	0.6667000000000001	20.52114778713886	0.010873752086528111	green	0.010873752086528111
LINC01705	0.6667000000000001	20.65091135128115	-0.005126723370557007	green	0.005126723370557007
AC126175.2	0.7	26.39937494440923	-0.5381318591707919	green	0.5381318591707919
ADRA2C	0.7	25.71999403847771	-0.2221432766135476	green	0.2221432766135476
MAP2	0.7	25.666408489838233	-0.21309112905556457	green	0.21309112905556457
DTX1	0.7	22.864391928149956	-0.14956121677180512	green	0.14956121677180512
FGF16	0.7	24.528934652947882	0.09912763816975782	green	0.09912763816975782
STEAP4	0.7	24.055212477600712	-0.041498203756654285	green	0.041498203756654285
TENM2	0.7	26.53283391227452	-0.026361203737573346	green	0.026361203737573346
TMEFF2	0.7	24.1383114089592	0.014552534048567756	green	0.014552534048567756
AQP1	0.7	29.629579817919836	-0.011618946167026563	green	0.011618946167026563
WDR86-AS1	0.7143	21.494999222002082	-0.6319413654628779	green	0.6319413654628779
INHBB	0.7143	34.17445147092764	-0.22683910884092168	green	0.22683910884092168
