Gene	alignment_similarity_percentage	opt_alignment_cost	l2fc	color	abs_l2fc
UGT1A7	0.3	44.78731233302579	-0.9085138881281826	red	0.9085138881281826
SLC6A13	0.3	46.37305819875131	-0.5407151181277667	red	0.5407151181277667
SPARCL1	0.36840000000000006	40.859118162066096	-0.18344650031850623	red	0.18344650031850623
AC100756.4	0.44439999999999996	37.31510170249962	-0.1945789355169851	red	0.1945789355169851
CYP19A1	0.44439999999999996	26.818318435401395	-0.17184413050469938	red	0.17184413050469938
OSTN	0.5263	37.14411510553606	-0.07449623070327228	green	0.07449623070327228
FER1L6	0.5294	24.05486134544271	-0.42870722141275874	green	0.42870722141275874
MAP2	0.5294	22.12909339103919	-0.21309112905556457	green	0.21309112905556457
DTX1	0.5294	27.082113547468275	-0.14956121677180512	green	0.14956121677180512
CXCL10	0.5294	25.051012400640936	0.1378330169415166	green	0.1378330169415166
SIX3	0.5294	25.686989547059007	0.11516855040714001	green	0.11516855040714001
CAMP	0.5294	25.944256826008562	-0.10500306590679948	green	0.10500306590679948
C7	0.5294	25.838310545985063	0.06792623987332432	green	0.06792623987332432
SLC7A14	0.5294	22.03452478177455	-0.05607722406920083	green	0.05607722406920083
TMEFF2	0.5294	21.615718373763258	0.014552534048567756	green	0.014552534048567756
SLC6A4	0.5652	33.796044980546235	0.20631862414182592	green	0.20631862414182592
EPHA7	0.5652	32.80708380844475	0.04960628009904256	green	0.04960628009904256
AC005674.1	0.5714	32.94794445060362	-0.6915344993937222	green	0.6915344993937222
GATA3	0.5909	30.678730051394314	-0.10877315023210123	green	0.10877315023210123
SLC6A12	0.6	31.73032877143017	-0.5458995356919952	green	0.5458995356919952
KRT14	0.619	38.708805880491155	0.10530928548315983	green	0.10530928548315983
ADAMTS8	0.619	29.942269987482398	0.056960288011750314	green	0.056960288011750314
WDR86-AS1	0.625	24.425013742157223	-0.6319413654628779	green	0.6319413654628779
CCL19	0.625	21.654064423254848	0.6125448628233237	green	0.6125448628233237
TRARG1	0.625	22.582727375181054	-0.15170372947763303	green	0.15170372947763303
MMP8	0.625	20.65716736697	-0.13031966075622367	green	0.13031966075622367
RORB	0.625	20.681896570822147	0.09106530671154749	green	0.09106530671154749
CD24	0.625	21.024210040481776	0.08949709882646668	green	0.08949709882646668
AC103702.2	0.625	20.74171725752617	0.022096904134870407	green	0.022096904134870407
LINC01705	0.625	20.71760828316344	-0.005126723370557007	green	0.005126723370557007
FGF1	0.625	17.49680954372131	0.0004678425827177523	green	0.0004678425827177523
TUBA3E	0.6315999999999999	29.44840149206638	-0.23634713148267616	green	0.23634713148267616
SERPINA1	0.65	27.910656661335413	-0.1418410378082863	green	0.1418410378082863
HIST1H2BL	0.65	25.59673757955767	0.0063946364491373146	green	0.0063946364491373146
ITPKA	0.6667000000000001	26.13067368196028	-0.30501022313440773	green	0.30501022313440773
ACE2	0.6667000000000001	29.366922136092644	-0.1782634614914421	green	0.1782634614914421
SMOC2	0.6667000000000001	26.115049812365896	-0.11392808462691592	green	0.11392808462691592
PNMT	0.6667000000000001	32.87911123702195	-0.10864660772787339	green	0.10864660772787339
SULT1E1	0.6842	31.500935231843176	-0.5764712453556344	green	0.5764712453556344
HIST1H3G	0.6842	22.409621128189226	0.23740262778631924	green	0.23740262778631924
AC004264.1	0.6842	26.112003655107053	0.08086512300209754	green	0.08086512300209754
PDLIM3	0.6842	23.748368126054906	0.020220372123274818	green	0.020220372123274818
MT1H	0.7059000000000001	21.296195537695745	-0.10062559349708691	green	0.10062559349708691
PKMYT1	0.7059000000000001	24.63557130760528	0.08603567283988678	green	0.08603567283988678
PAPPA-AS2	0.7222	25.940749175842456	-0.3310497112105528	green	0.3310497112105528
FPR2	0.7222	23.19514164079196	-0.26065064855388553	green	0.26065064855388553
AC002074.2	0.7222	23.053036807558648	-0.19562080701465331	green	0.19562080701465331
TREM2	0.7222	23.6707847398507	0.16406902800040069	green	0.16406902800040069
C1QL2	0.7222	29.526022613330635	-0.16279260548080746	green	0.16279260548080746
AL392089.1	0.7222	31.14599816236095	-0.15500727334795877	green	0.15500727334795877
ABCG1	0.7222	21.73949171742807	-0.15054196166003608	green	0.15054196166003608
NEIL3	0.7222	21.432112201814345	0.12244085909079222	green	0.12244085909079222
RRM2	0.7222	21.41805815506406	0.10193234343085394	green	0.10193234343085394
VGF	0.7222	22.6317571923134	0.09662428176820062	green	0.09662428176820062
HEYL	0.7222	19.12952349894008	0.09334636004914444	green	0.09334636004914444
HGD	0.7222	20.55457053778151	0.07831260486307164	green	0.07831260486307164
CIT	0.7222	21.40979400034682	0.07172609115374971	green	0.07172609115374971
DLGAP5	0.7222	26.37093002532369	0.068690441697295	green	0.068690441697295
AC137494.1	0.7222	20.844436820353632	0.05442320069631131	green	0.05442320069631131
NGFR	0.7222	22.228227958933527	0.05129747913925048	green	0.05129747913925048
IL7	0.7222	21.957000242050885	-0.03848391173220762	green	0.03848391173220762
ADCYAP1	0.7222	19.516565072343976	0.02905430191484398	green	0.02905430191484398
SMILR	0.7222	21.484942070323306	-0.028650754802912792	green	0.028650754802912792
SULT1B1	0.7222	21.55375543890174	-0.027941974651059808	green	0.027941974651059808
