"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
0	0.501129570561281	1	1	0	"0"	"PPIB"
0	0.501832977575813	0.969	0.877	0	"2"	"PSMD2"
0	0.502050687673353	1	1	0	"6"	"ATP5F1E"
0	0.502382994610151	0.999	0.996	0	"3"	"COX7A2"
0	0.503954333105037	0.995	0.97	0	"0"	"TMED10"
0	0.504547372382277	0.944	0.802	0	"2"	"LARP6"
0	0.504838193735438	0.95	0.827	0	"0"	"LOXL2"
0	0.504972550147847	1	0.999	0	"3"	"COX7C"
0	0.505309561535322	0.947	0.803	0	"2"	"P3H1"
0	0.505796886822211	0.751	0.458	0	"1"	"NR1H3"
0	0.507056077106121	0.997	0.967	0	"0"	"DDOST"
0	0.508263047350827	0.99	0.924	0	"0"	"LAMP1"
0	0.509179523505871	0.964	0.853	0	"2"	"RSU1"
0	0.509322921413102	0.999	0.998	0	"1"	"MMP2"
0	0.510474925252366	0.94	0.772	0	"2"	"NAV1"
0	0.511121705375551	0.929	0.783	0	"2"	"SUMO3"
0	0.511405331666726	0.994	0.963	0	"2"	"TRAPPC1"
0	0.511467805924586	0.985	0.918	0	"0"	"LRPAP1"
0	0.512292263080829	0.884	0.684	0	"1"	"ANGPTL4"
0	0.51287538997146	1	0.999	0	"3"	"UQCRH"
0	0.513167028228244	0.997	0.964	0	"1"	"MT-ND5"
0	0.513295182605129	0.998	0.979	0	"2"	"YWHAB"
0	0.513922430579572	0.979	0.886	0	"0"	"TGFBR2"
0	0.514389931182691	0.976	0.85	0	"0"	"PIGT"
0	0.514848577638388	0.977	0.9	0	"0"	"EIF4EBP1"
0	0.515060939049278	0.931	0.753	0	"2"	"UGP2"
0	0.517111974691011	0.989	0.939	0	"2"	"COPE"
0	0.517359221272282	0.956	0.835	0	"0"	"FKBP7"
0	0.517516136924165	0.999	0.995	0	"3"	"CD151"
0	0.519883742956929	1	0.996	0	"3"	"MT-CYB"
0	0.520960868423068	0.996	0.995	0	"3"	"UQCR10"
0	0.522408388469542	0.94	0.925	0	"1"	"COX14"
0	0.522515681260932	0.974	0.875	0	"2"	"EIF4H"
0	0.522740942192572	0.964	0.936	0	"3"	"TIMM8B"
0	0.523382567702501	1	0.992	0	"0"	"CALD1"
0	0.524218753606915	0.996	0.934	0	"2"	"CTSA"
0	0.525842015809163	0.948	0.858	0	"3"	"POR"
0	0.526355795462947	0.99	0.946	0	"2"	"TRAM1"
0	0.528168868785576	0.985	0.966	0	"3"	"PPA1"
0	0.529356182728372	0.999	0.998	0	"5"	"MGST1"
0	0.531471090901416	0.976	0.891	0	"2"	"TMED3"
0	0.53182620367176	1	0.995	0	"6"	"CD151"
0	0.531897121544455	0.967	0.859	0	"2"	"CHMP2A"
0	0.532133341774693	0.971	0.964	0	"1"	"HEBP2"
0	0.532801846515968	0.968	0.871	0	"2"	"SPTAN1"
0	0.533828724579376	0.998	0.897	0	"0"	"OLFML3"
0	0.534101814223009	0.996	0.957	0	"4"	"FBN1"
0	0.534485344589737	0.996	0.93	0	"2"	"LAMP1"
0	0.535219921071919	0.999	0.988	0	"3"	"MT-ND4L"
0	0.535703633615469	0.953	0.817	0	"2"	"STT3A"
0	0.536354106411772	0.915	0.78	0	"0"	"MPZL1"
0	0.53715890453227	0.851	0.676	0	"0"	"TM2D2"
0	0.537262696778659	0.958	0.743	0	"2"	"HERPUD1"
0	0.538767350556473	0.993	0.986	0	"1"	"ETFB"
0	0.540541153171098	0.973	0.88	0	"2"	"KHDRBS1"
0	0.541013603428061	0.963	0.843	0	"2"	"SNX17"
0	0.541742370971451	1	0.987	0	"0"	"PCOLCE"
0	0.542393989408161	0.978	0.821	0	"2"	"QSOX1"
0	0.542993697513565	0.981	0.914	0	"2"	"TAX1BP3"
0	0.543793835187308	0.686	0.397	0	"0"	"HEG1"
0	0.543825534861326	0.988	0.918	0	"2"	"METTL26"
0	0.544423873990188	0.963	0.822	0	"0"	"SHMT2"
0	0.545036004855435	0.933	0.868	0	"3"	"VEGFB"
0	0.546241362987549	0.909	0.726	0	"0"	"MAZ"
0	0.546264807220751	0.816	0.514	0	"1"	"APOE"
0	0.546530643816551	0.926	0.737	0	"0"	"FYN"
0	0.547371868537375	1	1	0	"3"	"CD63"
0	0.547728091980822	0.831	0.631	0	"0"	"GADD45B"
0	0.548244753385116	0.975	0.87	0	"2"	"ANKRD11"
0	0.549415491655106	0.996	0.975	0	"2"	"PTMS"
0	0.550129793880537	0.928	0.775	0	"2"	"DARS"
0	0.550667897016328	0.981	0.835	0	"0"	"LPAR1"
