orig.ident	nCount_RNA	nFeature_RNA	sample	condition	time	rep	percent.mt	RNA_snn_res.0.5	seurat_clusters	cond.time	time.rep	initial_clusters	fastmnn_clusters	progen_clusters	if_progen_cluster	time.progen_clusters	raw_pseudotime	monocle_pseudotime	pscondition	sample_or_progen_cluster
asc_day0	33853	5322	asc_day0	asc	day0	rep1	0.800519894839453	3	2	asc.day0	day0.rep1	3	2	0	p0	p0	34.7194615151523	0.109007345728811	white	p0
asc_day0	46014	6656	asc_day0	asc	day0	rep1	0.682401008388751	3	2	asc.day0	day0.rep1	3	2	1	p1	p1	37.6441741149619	0.0339515318260667	white	p1
asc_day0	33328	5355	asc_day0	asc	day0	rep1	0.366058569371099	3	2	asc.day0	day0.rep1	3	2	0	p0	p0	32.2509846796507	0.17235495055012	white	p0
asc_day0	25327	4802	asc_day0	asc	day0	rep1	0.758084257906582	3	2	asc.day0	day0.rep1	3	2	0	p0	p0	29.6974584642862	0.237885146039636	white	p0
asc_day0	31012	5750	asc_day0	asc	day0	rep1	1.779956146008	3	4	asc.day0	day0.rep1	3	4	2	p2	p2	24.0427840594528	0.382998956482896	white	p2
asc_day0	35590	6193	asc_day0	asc	day0	rep1	0.387749367799944	3	0	asc.day0	day0.rep1	3	0	2	p2	p2	22.4922708111998	0.422789202479098	white	p2
asc_day0	12294	3518	asc_day0	asc	day0	rep1	1.84642915243208	3	2	asc.day0	day0.rep1	3	2	0	p0	p0	37.5549202698004	0.0362420201266899	white	p0
asc_day0	24662	4890	asc_day0	asc	day0	rep1	0.137863920201119	3	2	asc.day0	day0.rep1	3	2	2	p2	p2	27.9379676303061	0.283038306253531	white	p2
asc_day0	31218	5537	asc_day0	asc	day0	rep1	0.528541226215645	3	2	asc.day0	day0.rep1	3	2	0	p0	p0	27.9379680058713	0.28303829661554	white	p0
asc_day0	67188	7979	asc_day0	asc	day0	rep1	0.681669345716497	8	2	asc.day0	day0.rep1	8	2	5	p5	p5	29.7110027485446	0.237537564099855	white	p5
asc_day0	24637	4808	asc_day0	asc	day0	rep1	0.807728213662378	3	0	asc.day0	day0.rep1	3	0	1	p1	p1	26.2273508511949	0.326937229737581	white	p1
asc_day0	21886	2482	asc_day0	asc	day0	rep1	0.22388741661336	3	0	asc.day0	day0.rep1	3	0	1	p1	p1	25.2311425973372	0.352502552400322	white	p1
asc_day0	25445	4500	asc_day0	asc	day0	rep1	0.396934564747495	3	2	asc.day0	day0.rep1	3	2	0	p0	p0	34.6128063368028	0.1117443979843	white	p0
asc_day0	30348	4802	asc_day0	asc	day0	rep1	0.827072624225649	3	2	asc.day0	day0.rep1	3	2	2	p2	p2	37.6441744905271	0.033951522188076	white	p2
asc_day0	24615	4632	asc_day0	asc	day0	rep1	1.3609587649807	3	2	asc.day0	day0.rep1	3	2	0	p0	p0	37.6441748660924	0.0339515125500852	white	p0
asc_day0	28359	4743	asc_day0	asc	day0	rep1	0.342043090376953	3	0	asc.day0	day0.rep1	3	0	1	p1	p1	37.6441752416576	0.0339515029120946	white	p1
asc_day0	44076	6255	asc_day0	asc	day0	rep1	0.292676286414375	3	2	asc.day0	day0.rep1	3	2	0	p0	p0	37.8922648666694	0.027584870947196	white	p0
asc_day0	15006	3351	asc_day0	asc	day0	rep1	2.53898440623751	3	2	asc.day0	day0.rep1	3	2	NA	t3	day0	27.4695907494237	0.295058088303277	white	day0
asc_day0	30692	4977	asc_day0	asc	day0	rep1	0.325817802684739	3	2	asc.day0	day0.rep1	3	2	2	p2	p2	30.4001752290572	0.219851586528039	white	p2
asc_day0	10217	3223	asc_day0	asc	day0	rep1	1.41920328863659	3	2	asc.day0	day0.rep1	3	2	0	p0	p0	35.8398698239302	0.080254723155162	white	p0
asc_day0	26611	4784	asc_day0	asc	day0	rep1	0.488519785051295	3	2	asc.day0	day0.rep1	3	2	0	p0	p0	37.9415962980601	0.0263188967334362	white	p0
asc_day0	33416	5329	asc_day0	asc	day0	rep1	1.18206847019392	3	2	asc.day0	day0.rep1	3	2	0	p0	p0	37.6441756172228	0.0339514932741038	white	p0
asc_day0	24417	5049	asc_day0	asc	day0	rep1	0.491460867428431	3	0	asc.day0	day0.rep1	3	0	2	p2	p2	23.8585062472947	0.387728009579138	white	p2
asc_day0	29810	4951	asc_day0	asc	day0	rep1	1.02985575310299	3	0	asc.day0	day0.rep1	3	0	1	p1	p1	25.2657105187984	0.351615448662209	white	p1
asc_day0	27228	4458	asc_day0	asc	day0	rep1	0.293815190245336	3	2	asc.day0	day0.rep1	3	2	1	p1	p1	29.696952191097	0.237898138340581	white	p1
asc_day0	37051	5816	asc_day0	asc	day0	rep1	0.739521200507409	3	0	asc.day0	day0.rep1	3	0	1	p1	p1	26.1820999631435	0.328098486482172	white	p1
asc_day0	48183	7213	asc_day0	asc	day0	rep1	0.960919826494822	8	7	asc.day0	day0.rep1	8	7	5	p5	p5	38.9447202961375	0.000576097893655758	white	p5
asc_day0	52126	6855	asc_day0	asc	day0	rep1	0.606223381805625	3	2	asc.day0	day0.rep1	3	2	3	p3	p3	28.8325402292991	0.260081221678149	white	p3
asc_day0	36339	5767	asc_day0	asc	day0	rep1	0.588898979058312	3	2	asc.day0	day0.rep1	3	2	3	p3	p3	28.9825104588589	0.25623259134041	white	p3
asc_day0	20088	4216	asc_day0	asc	day0	rep1	1.65272799681402	3	2	asc.day0	day0.rep1	3	2	1	p1	p1	28.4045856150026	0.271063662103765	white	p1
asc_day0	20845	4369	asc_day0	asc	day0	rep1	1.48236987287119	3	2	asc.day0	day0.rep1	3	2	1	p1	p1	26.2604439948055	0.326087972676063	white	p1
asc_day0	28956	5386	asc_day0	asc	day0	rep1	0.480038679375604	3	0	asc.day0	day0.rep1	3	0	1	p1	p1	37.644175992788	0.0339514836361131	white	p1
asc_day0	21036	4436	asc_day0	asc	day0	rep1	0.66552576535463	3	0	asc.day0	day0.rep1	3	0	1	p1	p1	23.8585066228599	0.387727999941148	white	p1
asc_day0	42433	6090	asc_day0	asc	day0	rep1	0.747060071171023	3	2	asc.day0	day0.rep1	3	2	0	p0	p0	32.7412098439901	0.159774484111299	white	p0
asc_day0	37749	5720	asc_day0	asc	day0	rep1	0.800021192614374	3	2	asc.day0	day0.rep1	3	2	3	p3	p3	31.0378043348615	0.203488347450347	white	p3
asc_day0	37429	5269	asc_day0	asc	day0	rep1	0.523658126051992	3	2	asc.day0	day0.rep1	3	2	1	p1	p1	37.6441763683532	0.0339514739981225	white	p1
