orig.ident	nCount_RNA	nFeature_RNA	sample	condition	time	rep	percent.mt	RNA_snn_res.0.5	seurat_clusters	cond.time	time.rep	initial_clusters	rpca_clusters	harmony_clusters	fastmnn_clusters	raw_pseudotime	monocle_pseudotime	pscondition	velocity_pseudotime
asc_day0	33853	5322	asc_day0	asc	day0	rep1	0.800519894839453	3	2	asc.day0	day0.rep1	3	4	2	2	38.8698917712625	0.291685174019379	white	NA
asc_day0	46014	6656	asc_day0	asc	day0	rep1	0.682401008388751	3	2	asc.day0	day0.rep1	3	4	2	2	43.884850538324	0.200299026939406	white	NA
asc_day0	33328	5355	asc_day0	asc	day0	rep1	0.366058569371099	3	2	asc.day0	day0.rep1	3	4	2	2	41.6004479717284	0.241927035989438	white	NA
asc_day0	25327	4802	asc_day0	asc	day0	rep1	0.758084257906582	3	2	asc.day0	day0.rep1	3	1	2	2	41.9401481837615	0.235736777009872	white	NA
asc_day0	31012	5750	asc_day0	asc	day0	rep1	1.779956146008	3	4	asc.day0	day0.rep1	3	8	1	4	48.8253818150314	0.110269150548033	white	0.429894000291824
asc_day0	35590	6193	asc_day0	asc	day0	rep1	0.387749367799944	3	0	asc.day0	day0.rep1	3	1	2	0	44.9027834381878	0.181749529321304	white	NA
asc_day0	12294	3518	asc_day0	asc	day0	rep1	1.84642915243208	3	2	asc.day0	day0.rep1	3	4	2	2	36.3227884626089	0.338100302917614	white	NA
asc_day0	24662	4890	asc_day0	asc	day0	rep1	0.137863920201119	3	2	asc.day0	day0.rep1	3	7	2	2	50.3372727712727	0.0827183977475461	white	0.3585085272789
asc_day0	31218	5537	asc_day0	asc	day0	rep1	0.528541226215645	3	2	asc.day0	day0.rep1	3	7	2	2	51.1243008051341	0.0683766128996	white	0.349409162998199
asc_day0	67188	7979	asc_day0	asc	day0	rep1	0.681669345716497	8	2	asc.day0	day0.rep1	8	9	8	2	54.8765368541453	6.97686516670792e-07	white	0.0354071259498596
asc_day0	24637	4808	asc_day0	asc	day0	rep1	0.807728213662378	3	0	asc.day0	day0.rep1	3	1	2	0	45.3576659621956	0.173460336294211	white	0.371356517076492
asc_day0	21886	2482	asc_day0	asc	day0	rep1	0.22388741661336	3	0	asc.day0	day0.rep1	3	0	2	0	49.1618736701681	0.104137356530762	white	NA
asc_day0	25445	4500	asc_day0	asc	day0	rep1	0.396934564747495	3	2	asc.day0	day0.rep1	3	4	2	2	38.7108034565908	0.294584194489651	white	NA
asc_day0	30348	4802	asc_day0	asc	day0	rep1	0.827072624225649	3	2	asc.day0	day0.rep1	3	8	2	2	44.8187794559481	0.183280309659257	white	0.364533364772797
