p_val	avg_log2FC	pct.1	pct.2	p_val_adj	sig	condition	sig_cond	gene_name
2.62425423252549e-23	-0.779892500724912	0.175	0.226	9.60503291646655e-19	sig	white	white	AL136454.1
3.57159877258192e-186	0.695235500495072	0.779	0.585	1.30724086675271e-181	sig	beige	beige	RPS10
2.13405899743449e-32	0.682909297407424	0.141	0.079	7.81086933650996e-28	sig	beige	beige	AC011611.3
6.11066456802556e-64	0.646255965478726	0.295	0.17	2.23656433854303e-59	sig	beige	beige	MRPL23
2.06616498139654e-44	0.58530842596981	0.219	0.127	7.56237044840947e-40	sig	beige	beige	SMARCA5-AS1
1.73242673922427e-31	0.566109072238686	0.157	0.092	6.34085510823477e-27	sig	beige	beige	RPS10-NUDT3
4.92198881507204e-31	0.525242741491081	0.175	0.106	1.80149712620452e-26	sig	beige	beige	DNMBP-AS1
2.49552095890668e-61	0.520249151959048	0.435	0.294	9.13385626169435e-57	sig	beige	beige	DYNLRB1
1.14691451776989e-42	0.493789398155545	0.267	0.166	4.19782182648959e-38	sig	beige	beige	AC022966.1
3.91138010325822e-68	0.457003368353506	0.542	0.378	1.43160423159354e-63	sig	beige	beige	FAM89B
3.10898138259273e-50	0.456365384303578	0.35	0.224	1.13791827584276e-45	sig	beige	beige	PCGF2
5.91151243191646e-43	0.447395108101281	0.34	0.228	2.16367266520574e-38	sig	beige	beige	SNRPD3
5.47673056483048e-26	0.433859637342515	0.164	0.102	2.0045381540336e-21	sig	beige	beige	EIF3C
1.3401072690292e-30	0.429661697706407	0.479	0.365	4.90492661537378e-26	sig	beige	beige	AL627171.2
1.09573515927779e-12	0.410243897855149	0.141	0.101	4.01050025647265e-08	sig	beige	beige	RMRP
1.74777227202508e-07	0.408804594462699	0.163	0.131	0.006397021292839	sig	beige	beige	C11orf96
1.03748089688573e-66	0.408635636620284	0.869	0.787	3.79728383069148e-62	sig	beige	beige	MT-ND6
1.11699815737603e-18	0.401144175854857	0.15	0.1	4.088324955812e-14	sig	beige	beige	SAMD4A
3.46995489623852e-17	0.39967821427087	0.144	0.097	1.27003819157226e-12	sig	beige	beige	AL662797.1
1.08494349255301e-19	0.398329144538818	0.135	0.086	3.97100167709326e-15	sig	beige	beige	AC026785.2
2.63490859158024e-25	0.394473791624995	0.223	0.151	9.64402893604283e-21	sig	beige	beige	GATD3B
7.75989548995866e-40	0.394314463089726	0.545	0.418	2.84019934827977e-35	sig	beige	beige	VIM-AS1
4.02759423464738e-110	0.37328146104516	0.998	0.996	1.47413976582329e-105	sig	beige	beige	MT-ATP6
3.62026715478204e-34	0.370525548827369	0.284	0.189	1.32505398132177e-29	sig	beige	beige	KMT2D
5.27143892094263e-23	0.370506699175114	0.203	0.137	1.92939935945421e-18	sig	beige	beige	SH3RF3
4.86071529030871e-111	0.370056004051765	0.984	0.957	1.77907040340589e-106	sig	beige	beige	MT-ATP8
