cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	sig	condition	sig_cond	gene_name	time	adj_adj
b0	6.65265148088795e-153	0.686634891318254	0.772	0.574	2.4349369685198e-148	sig	beige	beige	RPS10	day1	2.19144327166782e-147
b1	8.04631427637546e-132	-0.373266814854134	1	1	2.94503148829618e-127	sig	white	white	MT-CO1	day3	2.65052833946657e-126
b1	4.07495609609305e-109	-0.404256247903089	0.998	0.998	1.49147468073102e-104	sig	white	white	MT-ND4	day3	1.34232721265791e-103
b1	5.22609684308548e-108	-0.370687148854097	1	1	1.91280370553772e-103	sig	white	white	MT-CO3	day3	1.72152333498394e-102
b1	3.76509269597761e-100	-0.423404857931896	0.995	0.994	1.37806157765477e-95	sig	white	white	MT-ND1	day3	1.24025541988929e-94
b0	3.33799784597315e-91	0.289353353671579	0.999	1	1.22174059160463e-86	sig	beige	beige	MT-CO1	day1	1.09956653244417e-85
b0	3.51941705686639e-91	0.357508190920906	0.986	0.959	1.28814183698367e-86	sig	beige	beige	MT-ATP8	day1	1.1593276532853e-85
b0	6.94829190124545e-88	0.356023272300642	0.999	0.997	2.54314431877485e-83	sig	beige	beige	MT-ATP6	day1	2.28882988689736e-82
b1	1.32327028140198e-87	-0.287004046040451	1	1	4.84330155695939e-83	sig	white	white	MT-CO2	day3	4.35897140126345e-82
b1	2.69818362982891e-85	-0.415769245963805	0.977	0.981	9.8756219035368e-81	sig	white	white	MT-ND2	day3	8.88805971318312e-80
b2	2.66031081766366e-81	-0.316852227984346	0.999	0.999	9.73700362373076e-77	sig	white	white	MT-ND4	day3	8.76330326135768e-76
b1	7.81606924141615e-79	-0.426365513287725	0.996	0.994	2.86075950305073e-74	sig	white	white	MT-ND5	day3	2.57468355274565e-73
b2	1.42501994103533e-73	-0.352849804871834	0.996	0.997	5.21571548618342e-69	sig	white	white	MT-ND1	day3	4.69414393756508e-68
b0	1.69819891600282e-72	0.355226779406087	0.982	0.967	6.21557785246192e-68	sig	beige	beige	MT-ND5	day1	5.59402006721573e-67
b1	6.23612399324144e-71	-0.310534218877398	0.999	0.998	2.2824837427663e-66	sig	white	white	MT-ND4L	day3	2.05423536848967e-65
b1	1.42689604587418e-70	-0.312176591729313	1	1	5.22258221750409e-66	sig	white	white	MT-ATP6	day3	4.70032399575368e-65
b2	6.10436158921336e-69	0.383826800904294	0.983	0.967	2.23425738526798e-64	sig	beige	beige	AOC3	day3	2.01083164674118e-63
b1	6.44110162480433e-68	-0.285807702009328	1	1	2.35750760569463e-63	sig	white	white	MT-CYB	day3	2.12175684512517e-62
b0	4.23589869589613e-65	0.307073359951928	0.999	0.999	1.55038128168494e-60	sig	beige	beige	MT-CO3	day1	1.39534315351645e-59
b1	5.08911311135192e-63	-0.301556552334659	1	0.999	1.86266628988592e-58	sig	white	white	MT-ND3	day3	1.67639966089733e-57
b0	3.6543180303107e-57	0.45391168258631	0.538	0.371	1.33751694227402e-52	sig	beige	beige	FAM89B	day1	1.20376524804662e-51
b2	3.24394421543485e-56	0.304005606760672	0.989	0.987	1.18731602229131e-51	sig	beige	beige	HSPG2	day3	1.06858442006218e-50
b2	9.21720317399557e-56	-0.299058722088197	0.998	0.998	3.37358853371412e-51	sig	white	white	MT-ND3	day3	3.03622968034271e-50
b0	2.0571018115141e-55	0.553764671009448	0.416	0.272	7.52919834032275e-51	sig	beige	beige	DYNLRB1	day1	6.77627850629047e-50
b0	1.65806962541925e-54	0.396987035667518	0.868	0.787	6.06870063599699e-50	sig	beige	beige	MT-ND6	day1	5.46183057239729e-49
b2	9.07360663211339e-54	-0.315440448353018	0.986	0.991	3.32103076341982e-49	sig	white	white	MT-ND2	day3	2.98892768707784e-48
b1	1.27300035302923e-52	-0.528230529141781	0.878	0.908	4.65930859212228e-48	sig	white	white	MT-ND6	day3	4.19337773291005e-47
