Cluster	cluster	condition	time	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
b5.beige.day3	b5	beige	day3	GOCC_CLATHRIN_COATED_PIT	Clathrin coated pit	3/4	77/17939	3.03219814851962e-07	4.88183901911659e-05	1.11712563366512e-05	LRP10/EPN1/AP2A1	3
b5.beige.day3	b5	beige	day3	WP_FATTY_ACIDS_AND_LIPOPROTEINS_TRANSPORT_IN_HEPATOCYTES	Fatty acid & lipoprotein transport hepato	3/4	378/17939	3.65506332369976e-05	0.00190678578994978	0.000436335421041139	LRP10/EPN1/AP2A1	3
b2.beige.day3	b2	beige	day3	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	Extracellular matrix organization	7/44	300/17939	7.69081954585642e-06	0.0141664896034675	0.011293361333126	HSPG2/PTPRS/EMILIN1/MMP14/COL18A1/PLEC/CAPN1	7
b4.beige.day3	b4	beige	day3	GOCC_CELL_SUBSTRATE_JUNCTION	Cell substrate junction	5/15	436/17939	2.03517049376859e-05	0.0154979340417174	0.00884005599288077	PDGFRB/FLNA/CSRP1/GSN/SLC4A2	5
b4.beige.day3	b4	beige	day3	GOBP_PLATELET_AGGREGATION	Platelet aggregation	3/15	76/17939	3.20536381421249e-05	0.0154979340417174	0.00884005599288077	EMILIN1/FLNA/CSRP1	3
b4.beige.day3	b4	beige	day3	GOBP_HOMOTYPIC_CELL_CELL_ADHESION	Homotypic cell cell adhesion	3/15	100/17939	7.28443368222813e-05	0.023480157902382	0.0133931342087282	EMILIN1/FLNA/CSRP1	3
b4.beige.day3	b4	beige	day3	GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS	Cellcomponentassemblyinvolvedinmorphognss.	3/15	133/17939	0.000169835876766495	0.028625426213401	0.0163280066791728	GPC1/PDGFRB/CSRP1	3
b4.beige.day3	b4	beige	day3	GOBP_PLATELET_ACTIVATION	Platelet activation	3/15	138/17939	0.000189399886286313	0.028625426213401	0.0163280066791728	EMILIN1/FLNA/CSRP1	3
b4.beige.day3	b4	beige	day3	GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_PROCESS	Regulationofactinfilamentbasedprocess.	4/15	372/17939	0.000207216115298663	0.028625426213401	0.0163280066791728	PDGFRB/FLNA/GSN/SLC4A2	4
b4.beige.day3	b4	beige	day3	GOBP_NON_MEMBRANE_BOUNDED_ORGANELLE_ASSEMBLY	Non membrane bounded organelle assembly	4/15	415/17939	0.00031471563753373	0.0326777243010371	0.0186394465070956	PDGFRB/FLNA/CSRP1/GSN	4
b4.beige.day3	b4	beige	day3	GOBP_REGULATION_OF_RESPONSE_TO_WOUNDING	Regulation of response to wounding	3/15	168/17939	0.000337928896598108	0.0326777243010371	0.0186394465070956	PTPRS/EMILIN1/FLNA	3
b0.beige.day1	b0	beige	day1	REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	Anterior HOX genes in hindbrain develop	5/101	63/17939	2.77805895187458e-05	0.0356336741927865	0.0333377416356936	POLR2J/PCGF2/KMT2D/ZNF335/HOXC4	5
b0.beige.day1	b0	beige	day1	GOMF_SEMAPHORIN_RECEPTOR_ACTIVITY	Semaphorin receptor activity	3/101	12/17939	3.67300769774803e-05	0.0356336741927865	0.0333377416356936	PLXNA1/PLXNB1/PLXNA2	3
b0.beige.day1	b0	beige	day1	GOCC_SEMAPHORIN_RECEPTOR_COMPLEX	Semaphorin receptor complex	3/101	13/17939	4.755383566653e-05	0.0356336741927865	0.0333377416356936	PLXNA1/PLXNB1/PLXNA2	3
b0.beige.day1	b0	beige	day1	GOBP_CONVERGENT_EXTENSION	Convergent extension	3/101	15/17939	7.50365550113488e-05	0.042170543916378	0.0394534307664934	MKKS/DVL1/WNT5B	3
b4.beige.day3	b4	beige	day3	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Epithelial mesenchymal transition	3/15	200/17939	0.000562666807825584	0.0465562267977383	0.0265557751505087	GPC1/PDGFRB/FLNA	3
