"cluster"	"Cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"short_desc"	"time"
"0"	"0"	"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	"50/409"	"200/17939"	8.45578797591647e-38	5.01851016370643e-34	4.12019395163341e-34	"PPIB/FBLN1/COL6A3/FBLN2/FAP/GADD45B/MFAP5/PLAUR/P3H1/COL16A1/HTRA1/EFEMP2/GPX7/IGFBP4/COL3A1/COL1A2/FSTL1/ANPEP/SAT1/SPARC/PLOD3/LOX/BMP1/PTX3/NNMT/TIMP1/QSOX1/SPOCK1/TNC/TGFBI/SERPINE2/CRLF1/COL5A1/DCN/ITGAV/ID2/FBN1/COL1A1/POSTN/TGFB1/TFPI2/ITGA5/FSTL3/COMP/FBLN5/GAS1/ELN/SNAI2/WNT5A/DKK1"	50	"Epithelial mesenchymal transition"	"day1"
"0"	"0"	"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION"	"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION"	"40/409"	"300/17939"	1.45858667753283e-19	4.32835596557866e-16	3.55357775278918e-16	"PPIB/FBLN1/COL6A3/FBLN2/P4HA1/LTBP3/MFAP5/P3H1/COL16A1/MFAP4/HTRA1/EFEMP2/MMP17/COL3A1/COL1A2/COL14A1/COL8A1/SPARC/PLOD3/LOX/BMP1/ADAMTS2/TIMP1/LAMB1/TNC/COL18A1/ADAMTS5/COL5A1/DCN/ITGAV/FBN1/LTBP1/P4HA2/COL1A1/TGFB1/ITGA5/COMP/FBLN5/ADAMTS1/ELN"	40	"Extracellular matrix organization"	"day1"
"0"	"0"	"GOCC_ENDOPLASMIC_RETICULUM_LUMEN"	"GOCC_ENDOPLASMIC_RETICULUM_LUMEN"	"39/409"	"311/17939"	3.74687056978906e-18	7.41255894389936e-15	6.08570662019423e-15	"PPIB/POGLUT1/COL6A3/UGGT2/ARSK/P4HA1/PLAUR/P3H1/H6PD/FUCA2/COL16A1/GPX7/IGFBP4/COL3A1/COL1A2/FSTL1/COL14A1/FKBP7/COL8A1/PLOD3/TIMP1/RCN2/LAMB1/QSOX1/TNC/COL18A1/STC2/POGLUT2/ADAMTS5/COL5A1/FBN1/IGFBP7/LTBP1/P4HA2/COL1A1/FSTL3/PENK/CTSC/WNT5A"	39	"Endoplasmic reticulum lumen"	"day1"
"0"	"0"	"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION"	"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION"	"39/409"	"327/17939"	2.16486237376176e-17	3.21211454706901e-14	2.63714419161663e-14	"AEBP1/FBLN1/FAP/WASHC1/P4HA1/COL16A1/MFAP4/EFEMP2/MMP17/B4GALT1/COL3A1/P3H4/COL1A2/COL14A1/COL8A1/PHLDB1/PLOD3/LOX/BMP1/PTX3/ADAMTS2/LAMB1/QSOX1/COL18A1/TGFBI/BCL3/ADAMTS5/ANTXR1/COL5A1/COL1A1/POSTN/TGFB1/COMP/FBLN5/SH3PXD2B/ADAMTS1/ELN/SULF2/CRISPLD2"	39	"Externalencapsulatingstructurorganization."	"day1"
"0"	"0"	"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT"	"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT"	"28/409"	"166/17939"	1.0106538203197e-16	1.19964608471948e-13	9.84908744054712e-14	"AEBP1/FBLN1/COL6A3/FBLN2/MFAP5/COL16A1/MFAP4/EFEMP2/COL3A1/COL1A2/COL14A1/COL8A1/SPARC/LAMB1/TNC/COL18A1/TGFBI/COL5A1/DCN/FBN1/IGFBP7/LTBP1/COL1A1/POSTN/TFPI2/COMP/FBLN5/ELN"	28	"Extracellularmatrixstructuralconstituent."	"day1"
"0"	"0"	"GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX"	"GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX"	"43/409"	"428/17939"	2.73933327924187e-16	2.70965716871675e-13	2.2246269736159e-13	"AEBP1/FBLN1/COL6A3/FBLN2/LTBP3/MFAP5/P3H1/COL16A1/MFAP4/HTRA1/EFEMP2/COL3A1/COL1A2/COL14A1/COL8A1/SPARC/PLOD3/LOX/ADAMTS2/TIMP1/LAMB1/TNC/COL18A1/TGFBI/SERPINE2/ADAMTS5/COL5A1/DCN/ANGPT1/FBN1/IGFBP7/LTBP1/COL1A1/POSTN/TGFB1/COMP/ANGPTL1/FBLN5/ADAMTS1/CTSC/ELN/NAV2/WNT5A"	43	"Collagen containing extracellular matrix"	"day1"
"0"	"0"	"HALLMARK_HYPOXIA"	"HALLMARK_HYPOXIA"	"27/409"	"200/17939"	1.0458336587592e-13	8.86717537819409e-11	7.27994587428022e-11	"TPBG/GAA/ERRFI1/DDIT4/P4HA1/PLAUR/CCNG2/LOX/CA12/NFIL3/MT2A/TGFBI/SAP30/STC2/FOSL2/DUSP1/RORA/PNRC1/COL5A1/DCN/P4HA2/TMEM45A/AKAP12/TIPARP/MT1E/FOXO3/IRS2"	27	"Hypoxia"	"day1"
"0"	"0"	"REACTOME_ELASTIC_FIBRE_FORMATION"	"REACTOME_ELASTIC_FIBRE_FORMATION"	"14/409"	"44/17939"	5.0744625126267e-13	3.76461687655494e-10	3.09074828565119e-10	"FBLN1/FBLN2/LTBP3/MFAP5/MFAP4/EFEMP2/LOX/ITGAV/FBN1/LTBP1/TGFB1/ITGA5/FBLN5/ELN"	14	"Elastic fibre formation"	"day1"
"0"	"0"	"REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES"	"REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES"	"16/409"	"67/17939"	1.54783220084529e-12	1.02070934577964e-09	8.38001784527817e-10	"PPIB/COL6A3/P4HA1/P3H1/COL16A1/COL3A1/COL1A2/COL14A1/COL8A1/PLOD3/BMP1/ADAMTS2/COL18A1/COL5A1/P4HA2/COL1A1"	16	"Collagenbiosynthesisandmodifyingenzymes."	"day1"
"0"	"0"	"GOBP_COLLAGEN_FIBRIL_ORGANIZATION"	"GOBP_COLLAGEN_FIBRIL_ORGANIZATION"	"15/409"	"66/17939"	1.6845765873581e-11	9.20247447140416e-09	7.55522623653259e-09	"AEBP1/P4HA1/EFEMP2/COL3A1/P3H4/COL1A2/COL14A1/PLOD3/LOX/BMP1/ADAMTS2/COL18A1/COL5A1/COL1A1/COMP"	15	"Collagen fibril organization"	"day1"
