"sample"	"seurat_clusters"	"n_cells"	"cells_per_sample"	"time"	"cells_per_cluster"
"asc_day0"	"3"	6810	0.937370956641432	"day0"	0.999706400469759
"beige_day1_rep2"	"0"	4425	0.857890655292749	"day1"	0.343903007694101
"white_day1_rep2"	"0"	4417	0.856339666537418	"day1"	0.343281262143468
"beige_day3"	"1"	4013	0.362282206373567	"day3"	0.497397124442241
"white_day3"	"1"	3971	0.358490566037736	"day3"	0.492191373326723
"white_day3"	"2"	3758	0.339261532906022	"day3"	0.518989089904709
"beige_day3"	"2"	3470	0.313261713460323	"day3"	0.479215577958845
"beige_day1"	"0"	2031	0.8192819685357	"day1"	0.157845651667055
"white_day1"	"0"	1920	0.774505849132715	"day1"	0.149218932152017
"beige_day3"	"4"	1752	0.158165568294665	"day3"	0.503737780333525
"white_day3"	"4"	1726	0.155818362372484	"day3"	0.496262219666475
"beige_day3"	"5"	1698	0.153290602148596	"day3"	0.531289111389237
"white_day3"	"5"	1480	0.133610183262616	"day3"	0.463078848560701
"beige_day1_rep2"	"6"	419	0.0812330360604886	"day1"	0.330963665086888
"white_day1_rep2"	"6"	391	0.0758045754168282	"day1"	0.308846761453397
"asc_day0"	"8"	363	0.0499655884377151	"day0"	1
"white_day1"	"6"	243	0.0980233965308592	"day1"	0.191943127962085
"white_day1"	"7"	209	0.0843081887858007	"day1"	0.298145506419401
"beige_day1"	"6"	202	0.081484469544171	"day1"	0.15955766192733
"beige_day1"	"7"	198	0.0798709156918112	"day1"	0.282453637660485
"white_day1_rep2"	"7"	161	0.0312136487010469	"day1"	0.229671897289586
"beige_day1_rep2"	"9"	147	0.0284994183792168	"day1"	0.452307692307692
"beige_day1_rep2"	"7"	125	0.0242341993020551	"day1"	0.178316690442225
"white_day1_rep2"	"9"	116	0.0224893369523071	"day1"	0.356923076923077
"beige_day3"	"10"	95	0.00857632933104631	"day3"	0.334507042253521
"asc_day0"	"11"	92	0.0126634549208534	"day0"	1
"white_day3"	"10"	89	0.0080346664259276	"day3"	0.313380281690141
"white_day1_rep2"	"10"	41	0.00794881737107406	"day1"	0.144366197183099
"white_day1"	"1"	38	0.0153287615974183	"day1"	0.00470996529499256
"white_day3"	"0"	37	0.00334025458156541	"day3"	0.00287557317167949
"beige_day3"	"0"	37	0.00334025458156541	"day3"	0.00287557317167949
"white_day1"	"9"	34	0.0137152077450585	"day1"	0.104615384615385
"beige_day1_rep2"	"10"	23	0.00445909267157813	"day1"	0.0809859154929577
"white_day1_rep2"	"1"	22	0.00426521907716169	"day1"	0.00272682201289043
"white_day1"	"10"	21	0.00847115772488907	"day1"	0.073943661971831
"beige_day1"	"9"	19	0.00766438079870916	"day1"	0.0584615384615385
"beige_day1"	"10"	15	0.00605082694634933	"day1"	0.0528169014084507
"beige_day1_rep2"	"1"	14	0.00271423032183017	"day1"	0.00173525037183937
"white_day1"	"5"	11	0.00443727309398951	"day1"	0.00344180225281602
"beige_day1"	"1"	10	0.00403388463089956	"day1"	0.00123946455131383
"white_day3"	"6"	6	0.000541662905118714	"day3"	0.004739336492891
"white_day3"	"9"	6	0.000541662905118714	"day3"	0.0184615384615385
"white_day1_rep2"	"2"	5	0.000969367972082202	"day1"	0.000690512360171247
"beige_day3"	"6"	5	0.000451385754265595	"day3"	0.00394944707740916
"white_day3"	"7"	4	0.000361108603412476	"day3"	0.00570613409415121
"white_day1_rep2"	"5"	4	0.000775494377665762	"day1"	0.00125156445556946
"beige_day3"	"7"	4	0.000361108603412476	"day3"	0.00570613409415121
"white_day1"	"2"	3	0.00121016538926987	"day1"	0.000414307416102748
"beige_day1_rep2"	"2"	3	0.000581620783249321	"day1"	0.000414307416102748
"beige_day3"	"9"	3	0.000270831452559357	"day3"	0.00923076923076923
"beige_day1"	"2"	2	0.000806776926179911	"day1"	0.000276204944068499
"beige_day1_rep2"	"5"	2	0.000387747188832881	"day1"	0.000625782227784731
"white_day1_rep2"	"3"	1	0.00019387359441644	"day1"	0.000146799765120376
"beige_day1"	"3"	1	0.000403388463089956	"day1"	0.000146799765120376
"beige_day1"	"5"	1	0.000403388463089956	"day1"	0.000312891113892365
