cond.time	seurat_clusters	time	condition	n_cells	cells_per_sample	prop.cells_per_cluster	n.cells_per_cluster
asc.day0	3	day0	asc	6810	0.937370956641432	0.999706400469759	6812
beige.day1	0	day1	beige	6456	0.845358124918162	0.501748659361156	12867
white.day1	0	day1	white	6337	0.829776090087731	0.492500194295485	12867
beige.day3	1	day3	beige	4013	0.362282206373567	0.497397124442241	8068
white.day3	1	day3	white	3971	0.358490566037736	0.492191373326723	8068
white.day3	2	day3	white	3758	0.339261532906022	0.518989089904709	7241
beige.day3	2	day3	beige	3470	0.313261713460323	0.479215577958845	7241
beige.day3	4	day3	beige	1752	0.158165568294665	0.503737780333525	3478
white.day3	4	day3	white	1726	0.155818362372484	0.496262219666475	3478
beige.day3	5	day3	beige	1698	0.153290602148596	0.531289111389237	3196
white.day3	5	day3	white	1480	0.133610183262616	0.463078848560701	3196
white.day1	6	day1	white	634	0.0830168914495221	0.500789889415482	1266
beige.day1	6	day1	beige	621	0.0813146523503994	0.490521327014218	1266
white.day1	7	day1	white	370	0.0484483435904151	0.527817403708987	701
asc.day0	8	day0	asc	363	0.0499655884377151	1	363
beige.day1	7	day1	beige	323	0.0422940945397407	0.46077032810271	701
beige.day1	9	day1	beige	166	0.0217362838811051	0.510769230769231	325
white.day1	9	day1	white	150	0.0196412203744926	0.461538461538462	325
beige.day3	10	day3	beige	95	0.00857632933104631	0.334507042253521	284
asc.day0	11	day0	asc	92	0.0126634549208534	1	92
white.day3	10	day3	white	89	0.0080346664259276	0.313380281690141	284
white.day1	10	day1	white	62	0.00811837108812361	0.21830985915493	284
white.day1	1	day1	white	60	0.00785648814979704	0.00743678730788299	8068
beige.day1	10	day1	beige	38	0.00497577582820479	0.133802816901408	284
white.day3	0	day3	white	37	0.00334025458156541	0.00287557317167949	12867
beige.day3	0	day3	beige	37	0.00334025458156541	0.00287557317167949	12867
beige.day1	1	day1	beige	24	0.00314259525991882	0.0029747149231532	8068
white.day1	5	day1	white	15	0.00196412203744926	0.00469336670838548	3196
white.day1	2	day1	white	8	0.00104753175330627	0.001104819776274	7241
white.day3	6	day3	white	6	0.000541662905118714	0.004739336492891	1266
white.day3	9	day3	white	6	0.000541662905118714	0.0184615384615385	325
beige.day1	2	day1	beige	5	0.00065470734581642	0.000690512360171247	7241
beige.day3	6	day3	beige	5	0.000451385754265595	0.00394944707740916	1266
white.day3	7	day3	white	4	0.000361108603412476	0.00570613409415121	701
beige.day3	7	day3	beige	4	0.000361108603412476	0.00570613409415121	701
beige.day1	5	day1	beige	3	0.000392824407489852	0.000938673341677096	3196
beige.day3	9	day3	beige	3	0.000270831452559357	0.00923076923076923	325
white.day1	3	day1	white	1	0.000130941469163284	0.000146799765120376	6812
beige.day1	3	day1	beige	1	0.000130941469163284	0.000146799765120376	6812
