"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
0	3.74237602885105	0.705	0.094	0	"0"	"MTRNR2L12"
0	2.87912866658362	0.768	0.207	0	"0"	"STXBP6"
0	3.20204276372542	0.651	0.132	0	"0"	"ARHGEF19"
0	2.54073398731519	0.674	0.159	0	"0"	"PDE7B"
0	1.1920715696679	0.896	0.401	0	"0"	"POSTN"
0	2.24499202738626	0.977	0.495	0	"0"	"CRISPLD2"
0	4.64611307847469	0.504	0.039	0	"0"	"ALOX15B"
0	1.96982291966177	0.785	0.327	0	"0"	"SCRG1"
0	2.64021835112226	0.612	0.16	0	"0"	"LRRC17"
0	1.81632629261564	0.923	0.477	0	"0"	"GASK1B"
0	0.843222829134171	0.742	0.299	0	"0"	"TNC"
0	2.19431457244207	0.788	0.35	0	"0"	"TCEAL1"
0	3.80106625288054	0.506	0.068	0	"0"	"AL138963.4"
0	3.01966703485434	0.703	0.272	0	"0"	"DKK1"
0	2.05097298622525	0.652	0.229	0	"0"	"HIP1"
0	2.19707069917819	0.629	0.213	0	"0"	"WNT5A"
0	1.66042761808952	0.855	0.439	0	"0"	"ELN"
0	1.28808328180541	0.725	0.31	0	"0"	"TFPI2"
0	1.49455096435748	0.722	0.309	0	"0"	"PID1"
0	3.38269312017166	0.505	0.093	0	"0"	"SORBS2"
0	2.15629995226876	0.684	0.272	0	"0"	"NEDD4"
0	2.23549722827295	0.613	0.21	0	"0"	"CLGN"
0	0.559848427764734	0.828	0.427	0	"0"	"FAP"
0	1.98315519803308	0.858	0.457	0	"0"	"IMPA2"
0	1.42702121489097	0.908	0.508	0	"0"	"FBLN5"
0	1.7930873565744	0.883	0.485	0	"0"	"TMEM64"
0	1.29517512781204	0.946	0.549	0	"0"	"ITGA5"
0	1.50371523299133	0.77	0.375	0	"0"	"ANKRD28"
0	1.46152082132533	0.842	0.448	0	"0"	"ZFHX3"
0	2.03462496211039	0.673	0.284	0	"0"	"FBXO32"
0	1.5362395666699	0.685	0.304	0	"0"	"SMOX"
0	1.91368654200105	0.811	0.432	0	"0"	"CHMP1B"
0	1.77514440069532	0.659	0.28	0	"0"	"PITPNC1"
0	1.97959417521056	0.687	0.309	0	"0"	"HAND2"
0	2.45821266830765	0.548	0.178	0	"0"	"RGS2"
0	1.37512997709751	0.868	0.498	0	"0"	"ANGPTL1"
0	1.66524512201278	0.841	0.472	0	"0"	"SLC25A37"
0	1.23917945948721	0.931	0.565	0	"0"	"HIPK2"
0	0.693788484284437	0.796	0.431	0	"0"	"COL14A1"
0	1.52656426109104	0.784	0.419	0	"0"	"APOL2"
0	1.61742307860058	0.951	0.586	0	"0"	"AOX1"
0	1.60324157838111	0.865	0.5	0	"0"	"FOXO3"
0	1.38375437406993	0.754	0.389	0	"0"	"SESN1"
0	2.13244205633569	0.542	0.178	0	"0"	"AL133415.1"
0	1.3074543979204	0.688	0.324	0	"0"	"FSTL3"
0	1.66134955243972	0.587	0.227	0	"0"	"PRRG1"
0	1.47706213414814	0.832	0.473	0	"0"	"GAS1"
0	1.47157313791694	0.695	0.338	0	"0"	"B3GALNT2"
0	0.707859729347048	0.801	0.446	0	"0"	"LMO3"
0	1.47293429104706	0.904	0.549	0	"0"	"SH3PXD2B"
0	1.19682550028182	0.908	0.553	0	"0"	"CUTC"
0	2.30406941099352	0.488	0.138	0	"0"	"HAS1"
0	1.70012389369846	0.561	0.212	0	"0"	"NAV2"
0	1.43032518960997	0.945	0.598	0	"0"	"C1orf21"
0	2.80065830185616	0.444	0.098	0	"0"	"DIRAS3"
0	0.885232698207718	0.867	0.522	0	"0"	"SERPINE2"
0	1.07112084962667	0.954	0.611	0	"0"	"ZBTB16"
0	1.91130463761889	0.527	0.189	0	"0"	"NPR3"
0	1.55891792728876	0.529	0.192	0	"0"	"GALNT15"
0	0.779657357345069	0.834	0.497	0	"0"	"VASN"
0	1.5443939411566	0.806	0.47	0	"0"	"ITGBL1"
0	2.1907138191503	0.455	0.119	0	"0"	"P4HA3"
0	1.69448205049122	0.626	0.292	0	"0"	"CPM"
0	1.53641529101961	0.524	0.192	0	"0"	"SLC7A8"
0	1.15723085448028	0.746	0.416	0	"0"	"RBMS3"
0	1.21717083006456	0.901	0.572	0	"0"	"ZNF503"
0	1.9029451013464	0.539	0.21	0	"0"	"SULF2"
0	3.38361704621193	0.415	0.086	0	"0"	"NEFL"
0	2.1111456169361	0.526	0.198	0	"0"	"KCNMA1"
0	1.13950905069337	0.886	0.559	0	"0"	"KLF9"
0	1.14095167106896	0.645	0.319	0	"0"	"LTBP1"
0	0.890883757566716	0.802	0.478	0	"0"	"TRNP1"
0	1.112711308402	0.727	0.403	0	"0"	"CD55"
0	1.390441302315	0.579	0.256	0	"0"	"FAM171B"
0	0.978414681949461	0.867	0.544	0	"0"	"EDNRB"
0	1.58056718280037	0.874	0.552	0	"0"	"ADAMTS1"
0	1.37733120444868	0.665	0.349	0	"0"	"OSR2"
0	1.65844332085026	0.663	0.347	0	"0"	"IRS2"
0	1.61652113659197	0.883	0.568	0	"0"	"RASSF4"
0	0.889261920038689	0.666	0.352	0	"0"	"STC2"
0	0.517478064410746	0.811	0.497	0	"0"	"AEBP1"
0	1.10493180581942	0.706	0.393	0	"0"	"ROBO1"
0	0.70066363149945	0.633	0.322	0	"0"	"COL8A1"
0	2.34227278329176	0.415	0.104	0	"0"	"CARMIL1"
0	1.73634763220301	0.48	0.169	0	"0"	"UQCRHL"
0	1.42003476167012	0.585	0.274	0	"0"	"PCGF5"
0	0.586765383475045	0.718	0.408	0	"0"	"PLAUR"
0	2.56532088208585	0.376	0.069	0	"0"	"IFI44L"
0	2.12967253935877	0.836	0.529	0	"0"	"TMX4"
0	1.28892054969977	0.911	0.605	0	"0"	"EMP1"
0	1.27101552284979	0.793	0.487	0	"0"	"AKAP13"
0	1.64178625963486	0.55	0.244	0	"0"	"CHST7"
0	3.00535912263531	0.52	0.216	0	"0"	"SOCS1"
0	1.94885956143924	0.46	0.158	0	"0"	"UBASH3B"
0	1.39928718988422	0.539	0.238	0	"0"	"MIOS"
0	1.21522119327427	0.547	0.247	0	"0"	"DNMBP"
0	1.01259975894828	0.82	0.52	0	"0"	"RNF115"
0	0.952319130130382	0.817	0.518	0	"0"	"ANTXR1"
0	1.45282435215805	0.487	0.19	0	"0"	"SCD5"
0	0.881335510342339	0.754	0.457	0	"0"	"SAP30"
0	1.01610941907614	0.566	0.269	0	"0"	"MEIS3"
0	1.61251156271089	0.8	0.505	0	"0"	"CTSC"
0	0.567510157088408	0.796	0.502	0	"0"	"PTK7"
0	0.890488070638124	0.738	0.444	0	"0"	"FOSL2"
0	0.872329503970001	0.778	0.486	0	"0"	"PON2"
0	1.233111267563	0.67	0.378	0	"0"	"SPTLC2"
0	1.41365033748664	0.567	0.275	0	"0"	"DLG5"
0	1.26929115387212	0.654	0.363	0	"0"	"ALCAM"
0	0.783220701710617	0.793	0.503	0	"0"	"TFPI"
0	0.785132206332235	0.704	0.414	0	"0"	"SMPDL3A"
0	0.708428969584793	0.664	0.377	0	"0"	"PER1"
0	0.946086177100124	0.589	0.302	0	"0"	"SEMA5A"
0	0.727294402990799	0.84	0.553	0	"0"	"BMP1"
0	0.775207671561034	0.845	0.558	0	"0"	"PRRX2"
0	1.84082767225507	0.469	0.183	0	"0"	"SIX2"
0	0.937730811723089	0.606	0.32	0	"0"	"PMS2"
0	1.16191886666577	0.905	0.62	0	"0"	"TMEM45A"
0	0.865424163217483	0.675	0.391	0	"0"	"FAM110B"
0	1.21041907951451	0.545	0.262	0	"0"	"FMNL2"
0	1.18732401661416	0.632	0.35	0	"0"	"DCBLD1"
