p_val	avg_log2FC	pct.1	pct.2	p_val_adj	tss_id	simple_id	feature_name	best_gene_name	gene_names	proximity	sig	condition	sig_cond
3.20734004644278e-135	1.68706388142074	0.505	0.159	2.40925762268642e-130	P:r1@AL358472.1	P:r1@AL358472.1	P:r1@AL358472.1	AL358472.1	AL358472.1	P	sig	beige	beige
1.34499391032995e-41	1.30274541597557	0.272	0.115	1.01031907562255e-36	P:r1@ADDG01077129603.R	P:r1@ADDG01077129603.R	P:r1@..603.R	..603.R	ADDG01077129603.R	P	sig	beige	beige
7.6539826942603e-28	1.26373242851839	0.152	0.054	5.74944218044751e-23	P:r1@FP236383.4	P:r1@FP236383.4	P:r1@FP236383.4	FP236383.4	FP236383.4	P	sig	beige	beige
9.64388436958968e-139	1.25489319904288	0.929	0.764	7.24419662190468e-134	P:r1@FP236383.5	P:r1@FP236383.5	P:r1@FP236383.5	FP236383.5	FP236383.5	P	sig	beige	beige
1.53916998512371e-45	1.24035637909599	0.249	0.09	1.15617831772538e-40	P:r1@MTCO2P12,r1@MTATP8P1,r1@MTATP6P1	P:r1@MTCO2P12,r1@MTATP8P1,r1@MTATP6P1	P:r1@MTCO2P12,r1@MTATP8P1,r1@MTATP6P1	MTCO2P12	MTCO2P12,MTATP8P1,MTATP6P1	P	sig	beige	beige
2.11814348540954e-137	1.21023905403555	0.931	0.775	1.59108584193508e-132	P:r1@FP671120.6	P:r1@FP671120.6	P:r1@FP671120.6	FP671120.6	FP671120.6	P	sig	beige	beige
8.71684029130253e-48	1.13503377100835	0.501	0.284	6.54782892161772e-43	P:r1@ADDG01000634140.R	P:r1@ADDG01000634140.R	P:r1@..140.R	..140.R	ADDG01000634140.R	P	sig	beige	beige
1.55998777267581e-13	1.08382897293884	0.136	0.07	1.17181601520089e-08	P:r1@AL669831.3	P:r1@AL669831.3	P:r1@AL669831.3	AL669831.3	AL669831.3	P	sig	beige	beige
8.14841844907692e-135	1.02899540554948	0.877	0.599	6.12084748639311e-130	P:r1@MTCO1P12	P:r1@MTCO1P12	P:r1@MTCO1P12	MTCO1P12	MTCO1P12	P	sig	beige	beige
6.04937026738151e-24	1.00078143440953	0.166	0.07	4.54410546374897e-19	P:r1@RPL29P11	P:r1@RPL29P11	P:r1@RPL29P11	RPL29P11	RPL29P11	P	sig	beige	beige
1.39778526277343e-52	0.986811251754123	0.391	0.179	1.04997435583752e-47	D:r1@ADDG02148881813.R	D:r1@ADDG02148881813.R	D:r1@..813.R	..813.R	ADDG02148881813.R	D	sig	beige	beige
0	0.964067529055066	0.994	0.959	0	P:r1@AC243919.1	P:r1@AC243919.1	P:r1@AC243919.1	AC243919.1	AC243919.1	P	sig	beige	beige
9.32383261116786e-34	0.945104915410309	0.287	0.138	7.00378334253096e-29	P:r1@H1FX-AS1	P:r1@H1FX-AS1	P:r1@H1FX-AS1	H1FX-AS1	H1FX-AS1	P	sig	beige	beige
1.4887721945052e-34	0.935047953506613	0.309	0.15	1.11832100934647e-29	D:r1@ADDG08069690201.R	D:r1@ADDG08069690201.R	D:r1@..201.R	..201.R	ADDG08069690201.R	D	sig	beige	beige
3.36588985095065e-120	0.923108548210326	0.983	0.929	2.5283554793386e-115	D:r1@ADDG01091387437.B	D:r1@ADDG01091387437.B	D:r1@..437.B	..437.B	ADDG01091387437.B	D	sig	beige	beige
3.36941484704988e-236	0.917079740714768	0.987	0.907	2.53100335065845e-231	D:r1@ADDG06089721148.F	D:r1@ADDG06089721148.F	D:r1@..148.F	..148.F	ADDG06089721148.F	D	sig	beige	beige
1.68386963774555e-21	0.914355250510877	0.165	0.072	1.26487235578533e-16	D:r1@ADDG13109424256.R	D:r1@ADDG13109424256.R	D:r1@..256.R	..256.R	ADDG13109424256.R	D	sig	beige	beige
6.44382400501703e-19	0.907153977264581	0.152	0.07	4.84040727784864e-14	P:r1@SPCS2P4	P:r1@SPCS2P4	P:r1@SPCS2P4	SPCS2P4	SPCS2P4	P	sig	beige	beige
0	0.900199489715707	0.998	0.962	0	P:r1@RPS2P46	P:r1@RPS2P46	P:r1@RPS2P46	RPS2P46	RPS2P46	P	sig	beige	beige
3.66117993733516e-90	0.874325646406951	0.768	0.481	2.75016853352805e-85	P:r1@RPL14P1	P:r1@RPL14P1	P:r1@RPL14P1	RPL14P1	RPL14P1	P	sig	beige	beige
0	0.871655209677133	0.999	0.989	0	D:r1@ADDG22035839025.R	D:r1@ADDG22035839025.R	D:r1@..025.R	..025.R	ADDG22035839025.R	D	sig	beige	beige
1.17391365556979e-49	0.862177854784219	0.439	0.225	8.81808720654361e-45	P:r1@MRPL23	P:r1@MRPL23	P:r1@MRPL23	MRPL23	MRPL23	P	sig	beige	beige
1.8390257002255e-62	0.84412380303506	0.558	0.295	1.38142093523839e-57	P:r1@AC073861.1	P:r1@AC073861.1	P:r1@AC073861.1	AC073861.1	AC073861.1	P	sig	beige	beige
1.50643595290914e-39	0.8325486936534	0.381	0.193	1.13158949474676e-34	P:r1@AL138785.1	P:r1@AL138785.1	P:r1@AL138785.1	AL138785.1	AL138785.1	P	sig	beige	beige
7.91376201131216e-23	0.824417983870142	0.224	0.114	5.94458061003736e-18	P:r2@ADDG02038482405.B	P:r2@ADDG02038482405.B	P:r2@..405.B	..405.B	ADDG02038482405.B	P	sig	beige	beige
1.72939891062688e-16	0.816903604881129	0.143	0.068	1.2990725796956e-11	D:r1@ADDG07128865503.R	D:r1@ADDG07128865503.R	D:r1@..503.R	..503.R	ADDG07128865503.R	D	sig	beige	beige
