cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	tss_id	simple_id	feature_name	best_gene_name	best_feature_name	gene_names	proximity	sig	condition	sig_cond	time	adj_adj
t3	0	0.952287477419908	0.993	0.957	0	P:r1@AC243919.1	P:r1@AC243919.1	r1@AC243919.1	AC243919.1	AC243919.1	AC243919.1	P	sig	beige	beige	day1	0
t3	0	0.862440371453217	1	0.99	0	D:r1@ADDG22035839025.R	D:r1@ADDG22035839025.R	r1@..025.R	..025.R	..025.R	ADDG22035839025.R	D	sig	beige	beige	day1	0
t3	0	0.677507120942994	0.999	0.999	0	P:r1@EEF1A1P5	P:r1@EEF1A1P5	r1@EEF1A1P5	EEF1A1P5	EEF1A1P5	EEF1A1P5	P	sig	beige	beige	day1	0
t3	0	0.665552550108962	0.999	0.998	0	P:r1@RPS2P5	P:r1@RPS2P5	r1@RPS2P5	RPS2P5	RPS2P5	RPS2P5	P	sig	beige	beige	day1	0
t3	0	0.576948966316483	1	0.999	0	P:r1@RPL13P12	P:r1@RPL13P12	r1@RPL13P12	RPL13P12	RPL13P12	RPL13P12	P	sig	beige	beige	day1	0
t3	0	0.464815776027121	1	1	0	P:r1@RPL41P1	P:r1@RPL41P1	r1@RPL41P1	RPL41P1	RPL41P1	RPL41P1	P	sig	beige	beige	day1	0
t3	4.46652525467387e-315	0.873025099053142	0.996	0.965	3.35511977555337e-310	P:r1@RPS2P46	P:r1@RPS2P46	r1@RPS2P46	RPS2P46	RPS2P46	RPS2P46	P	sig	beige	beige	day1	2.68409582044269e-309
t3	7.5269031677032e-212	0.908017914034469	0.986	0.908	5.65398385248362e-207	D:r1@ADDG06089721148.F	D:r1@ADDG06089721148.F	r1@..148.F	..148.F	..148.F	ADDG06089721148.F	D	sig	beige	beige	day1	4.52318708198689e-206
t3	4.17312243082616e-201	0.729004463338481	0.989	0.93	3.13472437636368e-196	P:r1@AC005912.1	P:r1@AC005912.1	r1@AC005912.1	AC005912.1	AC005912.1	AC005912.1	P	sig	beige	beige	day1	2.50777950109095e-195
t3	3.76740226033654e-192	0.627277380201645	0.995	0.974	2.829959555897e-187	P:r1@AL450405.1	P:r1@AL450405.1	r1@AL450405.1	AL450405.1	AL450405.1	AL450405.1	P	sig	beige	beige	day1	2.2639676447176e-186
t3	1.01779382169139e-180	0.581859367249999	0.995	0.976	7.64536185039919e-176	P:r1@PPIAP22	P:r1@PPIAP22	r1@PPIAP22	PPIAP22	PPIAP22	PPIAP22	P	sig	beige	beige	day1	6.11628948031935e-175
t3	1.10717500094794e-180	0.646539771894899	0.993	0.966	8.31676645462062e-176	P:r1@RPL10P16	P:r1@RPL10P16	r1@RPL10P16	RPL10P16	RPL10P16	RPL10P16	P	sig	beige	beige	day1	6.6534131636965e-175
t3	8.63804578742918e-180	0.580460891006895	0.996	0.977	6.48864085414318e-175	P:r1@RPS26P6	P:r1@RPS26P6	r1@RPS26P6	RPS26P6	RPS26P6	RPS26P6	P	sig	beige	beige	day1	5.19091268331454e-174
t3	1.58333063351565e-167	0.665339085164677	0.992	0.953	1.18935047197795e-162	P:r1@RPS3AP26	P:r1@RPS3AP26	r1@RPS3AP26	RPS3AP26	RPS3AP26	RPS3AP26	P	sig	beige	beige	day1	9.51480377582359e-162
t3	1.67900973475989e-161	0.717524948328034	0.984	0.883	1.26122174245959e-156	P:r1@RPL18AP3	P:r1@RPL18AP3	r1@RPL18AP3	RPL18AP3	RPL18AP3	RPL18AP3	P	sig	beige	beige	day1	1.00897739396767e-155
t3	1.24701250587152e-152	0.283662008795464	1	1	9.36718384035508e-148	P:r1@RPS29	P:r1@RPS29	r1@RPS29	RPS29	RPS29	RPS29	P	sig	beige	beige	day1	7.49374707228406e-147
t3	9.8731679676463e-143	0.528985686304202	0.991	0.977	7.41642758225687e-138	P:r1@RPL39P3	P:r1@RPL39P3	r1@RPL39P3	RPL39P3	RPL39P3	RPL39P3	P	sig	beige	beige	day1	5.9331420658055e-137
t3	1.80535359675915e-142	0.595700876935081	0.992	0.944	1.35612746127757e-137	P:r1@RPS28P7	P:r1@RPS28P7	r1@RPS28P7	RPS28P7	RPS28P7	RPS28P7	P	sig	beige	beige	day1	1.08490196902206e-136
t3	3.91759921594442e-137	0.686022717957586	0.967	0.879	2.94278300304097e-132	P:r1@RPSAP58	P:r1@RPSAP58	r1@RPSAP58	RPSAP58	RPSAP58	RPSAP58	P	sig	beige	beige	day1	2.35422640243277e-131
t3	1.90276025595544e-131	0.715455912735858	0.956	0.83	1.42929642146605e-126	P:r1@AC011979.1	P:r1@AC011979.1	r1@AC011979.1	AC011979.1	AC011979.1	AC011979.1	P	sig	beige	beige	day1	1.14343713717284e-125
t3	1.6423988218044e-125	1.20569271092753	0.928	0.776	1.23372072297481e-120	P:r1@FP671120.6	P:r1@FP671120.6	r1@FP671120.6	FP671120.6	FP671120.6	FP671120.6	P	sig	beige	beige	day1	9.86976578379847e-120
t3	4.48955740199547e-125	0.702424229743406	0.953	0.817	3.37242083365694e-120	P:r1@RPL15P3	P:r1@RPL15P3	r1@RPL15P3	RPL15P3	RPL15P3	RPL15P3	P	sig	beige	beige	day1	2.69793666692555e-119
t3	5.27196911482006e-125	1.25467013305543	0.925	0.763	3.96014503997939e-120	P:r1@FP236383.5	P:r1@FP236383.5	r1@FP236383.5	FP236383.5	FP236383.5	FP236383.5	P	sig	beige	beige	day1	3.16811603198351e-119
t3	3.1233858965053e-121	0.788242021344371	0.999	0.998	2.34619378387788e-116	D:r1@ADDG21008260936.B	D:r1@ADDG21008260936.B	r1@..936.B	..936.B	..936.B	ADDG21008260936.B	D	sig	beige	beige	day1	1.87695502710231e-115
t3	1.13555240011363e-120	0.691838767505076	0.957	0.812	8.52992896393359e-116	P:r1@EEF1A1P6	P:r1@EEF1A1P6	r1@EEF1A1P6	EEF1A1P6	EEF1A1P6	EEF1A1P6	P	sig	beige	beige	day1	6.82394317114687e-115
