Cluster	cluster	condition	time	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	short_desc
t0.beige.day3	t0	beige	day3	GOMF_CALCIUM_ION_BINDING	GOMF_CALCIUM_ION_BINDING	17/107	491/13324	3.49520654565366e-07	0.00113489356537374	0.0010047799027558	TTYH3/SNED1/DAG1/CAMKK2/LRP1/LTBP2/ITGA5/ESYT1/TGM2/SELENON/HSPG2/STIM1/AOC3/CANT1/THBS2/TBC1D9B/LDLR	17	Calcium ion binding
t0.beige.day3	t0	beige	day3	GOCC_CELL_SUBSTRATE_JUNCTION	GOCC_CELL_SUBSTRATE_JUNCTION	15/107	413/13324	1.01286119413072e-06	0.00164438014867123	0.00145585469535316	DAG1/LRP1/PIP5K1C/ITGA5/TGM2/MRC2/HSPG2/FLNA/PTK7/SHC1/PDGFRB/SCARF2/FLII/MMP14/ITGB5	15	Cell substrate junction
t0.beige.day3	t0	beige	day3	GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION	GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION	12/107	273/13324	1.88998567003107e-06	0.00204559449019696	0.00181107047889644	DAG1/LRP1/PBXIP1/PHLDB1/COL18A1/ADAMTS15/COLGALT1/LAMC1/MMP14/ADAMTS2/RIC8A/ABL1	12	External encapsulating structure
t0.beige.day3	t0	beige	day3	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	11/107	237/13324	3.08721267761341e-06	0.00250604489105268	0.00221873100593743	DAG1/LTBP2/ITGA5/PTPRS/COL18A1/HSPG2/COLGALT1/LAMC1/MMP14/ITGB5/ADAMTS2	11	Extracellular matrix organization
t0.beige.day3	t0	beige	day3	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	10/107	197/13324	4.02322770073289e-06	0.00261268406885594	0.00231314417909506	LRP1/ITGA5/TGM2/FLNA/THBS2/COLGALT1/PDGFRB/LAMC1/MMP14/ITGB5	10	Epithelial mesenchymal transition
t0.beige.day3	t0	beige	day3	WP_SREBF_AND_MIR33_IN_CHOLESTEROL_AND_LIPID_HOMEOSTASIS	WP_SREBF_AND_MIR33_IN_CHOLESTEROL_AND_LIPID_HOMEOSTASIS	4/107	16/13324	6.64257534181437e-06	0.0031883737431736	0.00282283198826677	FASN/SREBF1/SREBF2/LDLR	4	Srebfandmir33incholesterolandlipidhomstss.
t0.beige.day3	t0	beige	day3	GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION	GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION	6/107	59/13324	7.42981218919263e-06	0.0031883737431736	0.00282283198826677	DAG1/LRP1/PHLDB1/COLGALT1/LAMC1/ABL1	6	Regulationofextracellularmatrixorganizatn.
t0.beige.day3	t0	beige	day3	WP_FATTY_ACIDS_AND_LIPOPROTEINS_TRANSPORT_IN_HEPATOCYTES	WP_FATTY_ACIDS_AND_LIPOPROTEINS_TRANSPORT_IN_HEPATOCYTES	12/107	318/13324	9.05401681666537e-06	0.0031883737431736	0.00282283198826677	OSBPL5/LSS/MICALL1/LRP1/PIP5K1C/MRC2/DHCR24/SNX18/LRP10/LDLR/SCARF2/ABL1	12	Fatty acid & lipoprotein transport hepato
t0.beige.day3	t0	beige	day3	KEGG_FOCAL_ADHESION	KEGG_FOCAL_ADHESION	9/107	173/13324	1.02639005507536e-05	0.0031883737431736	0.00282283198826677	PIP5K1C/ITGA5/AKT2/FLNA/THBS2/SHC1/PDGFRB/LAMC1/ITGB5	9	Focal adhesion
t0.beige.day3	t0	beige	day3	WP_FOCAL_ADHESION	WP_FOCAL_ADHESION	9/107	173/13324	1.02639005507536e-05	0.0031883737431736	0.00282283198826677	PIP5K1C/ITGA5/AKT2/FLNA/THBS2/SHC1/PDGFRB/LAMC1/ITGB5	9	Focal adhesion
t0.beige.day3	t0	beige	day3	REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	5/107	37/13324	1.08013893362826e-05	0.0031883737431736	0.00282283198826677	LRP1/HSPG2/RETSAT/LRP10/LDLR	5	Metabolism of fat soluble vitamins
t0.beige.day3	t0	beige	day3	KEGG_ECM_RECEPTOR_INTERACTION	KEGG_ECM_RECEPTOR_INTERACTION	6/107	69/13324	1.85246931959915e-05	0.00485441877351772	0.00429786772258665	DAG1/ITGA5/HSPG2/THBS2/LAMC1/ITGB5	6	ECM receptor interaction
t0.beige.day3	t0	beige	day3	GOBP_CELLULAR_RESPONSE_TO_LIPID	GOBP_CELLULAR_RESPONSE_TO_LIPID	14/107	463/13324	1.94356156623746e-05	0.00485441877351772	0.00429786772258665	ADCY3/DAG1/PER1/SREBF1/UPF1/ZMIZ1/PTK7/FOXO3/PKN1/TNIP1/ZBTB7A/LDLR/GRAMD1A/ABL1	14	Cell response to lipid
t0.beige.day3	t0	beige	day3	WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS	WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS	5/107	44/13324	2.57365454009766e-05	0.00596904020835507	0.0052846996609073	FASN/LSS/SREBF1/SREBF2/DHCR24	5	Cholesterol metabolism: bloch & kandut.
t0.beige.day3	t0	beige	day3	REACTOME_CHOLESTEROL_BIOSYNTHESIS	REACTOME_CHOLESTEROL_BIOSYNTHESIS	4/107	25/13324	4.36695587886716e-05	0.00886052015644041	0.00784467623465831	LSS/SREBF1/SREBF2/DHCR24	4	Cholesterol biosynthesis
t0.beige.day3	t0	beige	day3	GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY	GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY	5/107	49/13324	4.37734332393733e-05	0.00886052015644041	0.00784467623465831	LRP1/PBXIP1/ADAMTS15/LAMC1/MMP14	5	Extracellular matrix disassembly
t0.beige.day3	t0	beige	day3	GOCC_RECEPTOR_COMPLEX	GOCC_RECEPTOR_COMPLEX	10/107	261/13324	4.63901578871226e-05	0.00886052015644041	0.00784467623465831	EPHB4/PLXNB2/PLXND1/LRP1/KCTD12/ITGA5/FLNA/PDGFRB/LDLR/ITGB5	10	Receptor complex
t0.beige.day3	t0	beige	day3	GOBP_REGULATION_OF_BASEMENT_MEMBRANE_ORGANIZATION	GOBP_REGULATION_OF_BASEMENT_MEMBRANE_ORGANIZATION	3/107	11/13324	7.92824624144022e-05	0.0136699837421435	0.0121027428070588	DAG1/PHLDB1/LAMC1	3	Regulationofbasementmembraneorganization.
t0.beige.day3	t0	beige	day3	GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION	GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION	4/107	29/13324	7.99906655684405e-05	0.0136699837421435	0.0121027428070588	DAG1/PHLDB1/COLGALT1/ABL1	4	Pos.reg.extracellularmatrixorganization.
t0.beige.day3	t0	beige	day3	GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	12/107	404/13324	9.44342238974854e-05	0.0153313962497568	0.0135736771296859	SNED1/DAG1/LTBP2/TGM2/COL18A1/HSPG2/ADAMTS15/THBS2/LAMC1/ANGPTL2/MMP14/ADAMTS2	12	External encapsulating structure
t0.beige.day3	t0	beige	day3	GOBP_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_BETA_SIGNALING_PATHWAY	GOBP_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_BETA_SIGNALING_PATHWAY	3/107	12/13324	0.000105092632489596	0.0162493227473199	0.0143863648786509	LRP1/PDGFRB/ABL1	3	Plateletderivdgrwthfctrrcptrbtsgnlngpthwy.
t0.beige.day3	t0	beige	day3	GOBP_CELLULAR_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND	GOBP_CELLULAR_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND	12/107	413/13324	0.0001162734464003	0.0165028245142924	0.0146108030890157	ADCY3/DAG1/PER1/TGM2/SELENON/ZMIZ1/FLNA/FOXO3/PKN1/ZBTB7A/GRAMD1A/ABL1	12	Cell response to organic cyclic compound
t0.beige.day3	t0	beige	day3	WP_CHOLESTEROL_METABOLISM	WP_CHOLESTEROL_METABOLISM	5/107	60/13324	0.000116897124677772	0.0165028245142924	0.0146108030890157	OSBPL5/LSS/LRP1/DHCR24/LDLR	5	Cholesterol metabolism
t0.beige.day3	t0	beige	day3	GOMF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_ACTIVITY	GOMF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_ACTIVITY	3/107	13/13324	0.000135822866235373	0.0177616452563682	0.0157253021234634	LRP1/LRP10/LDLR	3	Lowdensitylipoproteinparticlreceptractvty.
t0.beige.day3	t0	beige	day3	REACTOME_VISUAL_PHOTOTRANSDUCTION	REACTOME_VISUAL_PHOTOTRANSDUCTION	5/107	62/13324	0.000136754275149124	0.0177616452563682	0.0157253021234634	LRP1/HSPG2/RETSAT/LRP10/LDLR	5	Visual phototransduction
t0.beige.day3	t0	beige	day3	REACTOME_ECM_PROTEOGLYCANS	REACTOME_ECM_PROTEOGLYCANS	5/107	63/13324	0.000147602344979411	0.0184332620826211	0.0163199191959017	DAG1/PTPRS/HSPG2/LAMC1/ITGB5	5	ECM proteoglycans
t0.beige.day3	t0	beige	day3	GOMF_LIPOPROTEIN_PARTICLE_RECEPTOR_ACTIVITY	GOMF_LIPOPROTEIN_PARTICLE_RECEPTOR_ACTIVITY	3/107	14/13324	0.000171856663040792	0.0201177114943774	0.0178112492798679	LRP1/LRP10/LDLR	3	Lipoprotein particle receptor activity
