"Cluster"	"cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"0"	"0"	"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	"16/148"	"200/19796"	2.18834925520457e-12	9.17356007781756e-09	6.92670127410541e-09	"FBLN1/JUN/DCN/MFAP5/LAMA2/CRLF1/SNAI2/SFRP1/LAMC1/MGP/MSX1/PDGFRB/TGFBR3/TPM1/MMP2/IGFBP2"	16
"0"	"0"	"WP_NUCLEAR_RECEPTORS_METAPATHWAY"	"WP_NUCLEAR_RECEPTORS_METAPATHWAY"	"18/148"	"314/19796"	2.38845932914799e-11	5.00621075389419e-08	3.78005115934106e-08	"GSTM3/NQO1/MFGE8/JUN/TGFBR2/PTGR1/PGD/PDK4/GPX3/SNAI2/ANGPTL4/FKBP5/NFE2L2/CES1/TGFBR3/ENC1/SRXN1/HES1"	18
"0"	"0"	"HALLMARK_UV_RESPONSE_DN"	"HALLMARK_UV_RESPONSE_DN"	"13/148"	"144/19796"	6.08273955290436e-11	8.49961473525836e-08	6.41782380195909e-08	"DUSP1/TGFBR2/IGFBP5/SNAI2/TFPI/LPAR1/LAMC1/F3/PDGFRB/TGFBR3/NRP1/AMPH/ABCC1"	13
"0"	"0"	"HALLMARK_XENOBIOTIC_METABOLISM"	"HALLMARK_XENOBIOTIC_METABOLISM"	"13/148"	"200/19796"	3.57457124660976e-09	2.81030635489691e-06	2.12198453424443e-06	"FBLN1/NQO1/AKR1C3/MT2A/PTGR1/PGD/PDK4/EPHX1/HSD11B1/DHRS7/IL1R1/CES1/MAOA"	13
"0"	"0"	"GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX"	"GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX"	"18/148"	"429/19796"	3.64008091066992e-09	2.81030635489691e-06	2.12198453424443e-06	"CTSL/FBLN1/MFGE8/DCN/MFAP5/SERPING1/LAMA2/NID1/ANGPTL1/SFRP1/VIT/ANGPTL4/LAMC1/MGP/F3/LAMB1/COL18A1/MMP2"	18
"0"	"0"	"GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION"	"GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION"	"9/148"	"74/19796"	4.17597446420206e-09	2.81030635489691e-06	2.12198453424443e-06	"LAMA2/CST3/NID1/LAMC1/TGFBR3/ABL1/LAMB1/SOX9/MIR21"	9
"0"	"0"	"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION"	"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION"	"16/148"	"338/19796"	5.21690325944286e-09	2.81030635489691e-06	2.12198453424443e-06	"FBLN1/LAMA2/CST3/NID1/GSN/VIT/LAMC1/TGFBR3/ABL1/LAMB1/COL18A1/SH3PXD2B/RAMP2/MMP2/SOX9/MIR21"	16
"0"	"0"	"GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_PROCESS"	"GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_PROCESS"	"17/148"	"388/19796"	5.36318006659715e-09	2.81030635489691e-06	2.12198453424443e-06	"PIK3R1/GSN/RHOQ/WASF3/LPAR1/SFRP1/PDGFRB/ABL1/PDE4D/TPM1/CORO2B/NRP1/SVIL/SSH2/RHOC/PYCARD/MIR21"	17
"0"	"0"	"WP_PHOTODYNAMIC_THERAPYINDUCED_NFE2L2_NRF2_SURVIVAL_SIGNALING"	"WP_PHOTODYNAMIC_THERAPYINDUCED_NFE2L2_NRF2_SURVIVAL_SIGNALING"	"6/148"	"23/19796"	1.43363875442744e-08	6.67757073173312e-06	5.04204881235474e-06	"NQO1/JUN/EPHX1/NFE2L2/CES1/SRXN1"	6
"0"	"0"	"GOBP_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION"	"GOBP_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION"	"14/148"	"273/19796"	1.82699694288692e-08	7.65877118458199e-06	5.7829261129063e-06	"PIK3R1/GSN/WASF3/LPAR1/SFRP1/ABL1/TPM1/CORO2B/NRP1/SVIL/SSH2/RHOC/PYCARD/MIR21"	14
"0"	"0"	"GOBP_RENAL_SYSTEM_DEVELOPMENT"	"GOBP_RENAL_SYSTEM_DEVELOPMENT"	"15/148"	"331/19796"	2.87972662503408e-08	1.03475083648209e-05	7.81311712862001e-06	"EDNRB/NID1/CRLF1/TMEM59L/SFRP1/OSR2/PDGFRB/NRP1/BMPER/AGTR1/SOX9/PLXND1/SIX2/OSR1/HES1"	15
"0"	"0"	"GOBP_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS"	"GOBP_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS"	"13/148"	"239/19796"	3.01878496168554e-08	1.03475083648209e-05	7.81311712862001e-06	"NQO1/AKR1C3/TGFBR2/PDK4/AKR1C1/GPX3/NFE2L2/LIPA/PDGFRB/SH3PXD2B/AGTR1/PID1/MIR21"	13
"0"	"0"	"GOBP_EPITHELIAL_CELL_PROLIFERATION"	"GOBP_EPITHELIAL_CELL_PROLIFERATION"	"18/148"	"494/19796"	3.20891242229654e-08	1.03475083648209e-05	7.81311712862001e-06	"IGFBP5/EDNRB/SNAI2/SFRP1/LAMC1/OSR2/F3/LIPA/ZFP36/TGFBR3/LAMB1/NRP1/BMPER/AGTR1/SOX9/OSR1/MIR21/HES1"	18
"0"	"0"	"HALLMARK_APOPTOSIS"	"HALLMARK_APOPTOSIS"	"11/148"	"161/19796"	3.57941517294295e-08	1.07177917178406e-05	8.09270783837553e-06	"IFITM3/JUN/DCN/GPX3/GSN/PDGFRB/TGFBR3/EMP1/MMP2/FEZ1/IGFBP6"	11
"0"	"0"	"GOBP_STEM_CELL_DIFFERENTIATION"	"GOBP_STEM_CELL_DIFFERENTIATION"	"13/148"	"249/19796"	4.89180340856623e-08	1.36709599258064e-05	1.0322563403199e-05	"TGFBR2/ZFP36L2/EDNRB/SNAI2/SFRP1/NFE2L2/ZFP36/MSX1/ABL1/NRP1/SOX9/OSR1/HES1"	13
"0"	"0"	"GOBP_MESONEPHROS_DEVELOPMENT"	"GOBP_MESONEPHROS_DEVELOPMENT"	"9/148"	"105/19796"	9.33060614168423e-08	2.30081770270237e-05	1.73728375653526e-05	"CRLF1/TMEM59L/SFRP1/OSR2/BMPER/SOX9/SIX2/OSR1/HES1"	9
"0"	"0"	"GOBP_REGULATION_OF_ACTOMYOSIN_STRUCTURE_ORGANIZATION"	"GOBP_REGULATION_OF_ACTOMYOSIN_STRUCTURE_ORGANIZATION"	"9/148"	"105/19796"	9.33060614168423e-08	2.30081770270237e-05	1.73728375653526e-05	"PIK3R1/LPAR1/SFRP1/ABL1/TPM1/CORO2B/NRP1/RHOC/MIR21"	9
"0"	"0"	"GOBP_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY"	"GOBP_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY"	"9/148"	"107/19796"	1.09927023077775e-07	2.56007822634463e-05	1.93304420113959e-05	"PIK3R1/LPAR1/SFRP1/ABL1/TPM1/CORO2B/NRP1/RHOC/MIR21"	9
"0"	"0"	"GOBP_RESPONSE_TO_BMP"	"GOBP_RESPONSE_TO_BMP"	"11/148"	"181/19796"	1.18849914568923e-07	2.62220443091012e-05	1.97995397844183e-05	"SFRP1/MSX1/HIPK2/TGFBR3/ABL1/HTRA3/TMEM100/BMPER/SOX9/MIR21/HES1"	11
"0"	"0"	"GOBP_MESENCHYMAL_CELL_DIFFERENTIATION"	"GOBP_MESENCHYMAL_CELL_DIFFERENTIATION"	"13/148"	"274/19796"	1.49025220997868e-07	3.12356863211531e-05	2.35852020810836e-05	"TGFBR2/EDNRB/SNAI2/SFRP1/MSX1/TGFBR3/NRP1/TMEM100/SOX9/SIX2/OSR1/MIR21/HES1"	13
"0"	"0"	"GOBP_STRESS_FIBER_ASSEMBLY"	"GOBP_STRESS_FIBER_ASSEMBLY"	"9/148"	"113/19796"	1.76217728495462e-07	3.51764151358561e-05	2.65607373225992e-05	"PIK3R1/LPAR1/SFRP1/ABL1/TPM1/CORO2B/NRP1/RHOC/MIR21"	9
"0"	"0"	"GOBP_ENDOTHELIUM_DEVELOPMENT"	"GOBP_ENDOTHELIUM_DEVELOPMENT"	"10/148"	"150/19796"	1.92485785805646e-07	3.66772915498759e-05	2.7694007555865e-05	"GSTM3/EDNRB/S1PR3/LIPA/SLC40A1/PDE4D/COL18A1/NRP1/TMEM100/MIR21"	10
"0"	"0"	"GOBP_CONNECTIVE_TISSUE_DEVELOPMENT"	"GOBP_CONNECTIVE_TISSUE_DEVELOPMENT"	"13/148"	"290/19796"	2.86031209418042e-07	5.00300572479237e-05	3.77763113058725e-05	"TGFBR2/SNAI2/PKDCC/OSR2/MGP/LIPA/MSX1/PDGFRB/SH3PXD2B/SOX9/SIX2/OSR1/MIR21"	13
