orig.ident	seurat_clusters	n_cells
asc_day0	1	6859
beige_day3	0	3530
white_day3	0	3315
white_day3	2	3303
beige_day3	2	3147
beige_day1	3	2236
white_day1	3	2183
beige_day3	4	1971
white_day3	4	1874
beige_day3	5	1521
white_day3	5	1347
white_day3	6	883
beige_day3	6	537
asc_day0	7	299
beige_day1	8	162
white_day1	8	154
beige_day3	9	99
asc_day0	10	93
white_day3	9	86
asc_day0	11	57
white_day1	0	40
white_day1	7	34
beige_day3	3	34
white_day1	9	33
white_day3	3	31
beige_day1	9	24
beige_day1	7	19
beige_day1	0	11
white_day1	5	8
white_day3	7	6
white_day1	2	5
beige_day3	11	5
beige_day1	11	4
beige_day3	7	3
white_day3	11	2
white_day1	6	2
white_day3	8	1
asc_day0	0	1
beige_day1	2	1
beige_day1	5	1
beige_day1	6	1
beige_day3	8	1
