cond.time	seurat_clusters	time	condition	n_cells	cells_per_sample	prop.cells_per_cluster	n.cells_per_cluster
asc.day0	1	day0	asc	6859	0.938432070050623	1	6859
beige.day3	0	day3	beige	3530	0.325405604719764	0.511816731912426	6897
white.day3	0	day3	white	3315	0.305586283185841	0.48064375815572	6897
white.day3	2	day3	white	3303	0.304480088495575	0.511617100371747	6456
beige.day3	2	day3	beige	3147	0.290099557522124	0.487453531598513	6456
beige.day1	3	day1	beige	2236	0.909312728751525	0.498661909009813	4484
white.day1	3	day1	white	2183	0.887759251728345	0.486842105263158	4484
beige.day3	4	day3	beige	1971	0.181692477876106	0.512613784135241	3845
white.day3	4	day3	white	1874	0.172750737463127	0.487386215864759	3845
beige.day3	5	day3	beige	1521	0.14021017699115	0.528675703858186	2877
white.day3	5	day3	white	1347	0.124170353982301	0.468196037539103	2877
white.day3	6	day3	white	883	0.0813974926253687	0.620520028109628	1423
beige.day3	6	day3	beige	537	0.0495022123893805	0.377371749824315	1423
asc.day0	7	day0	asc	299	0.0409084690108086	0.828254847645429	361
beige.day1	8	day1	beige	162	0.065880439202928	0.509433962264151	318
white.day1	8	day1	white	154	0.0626270841805612	0.484276729559748	318
beige.day3	9	day3	beige	99	0.00912610619469027	0.409090909090909	242
asc.day0	10	day0	asc	93	0.0127240388562047	1	93
white.day3	9	day3	white	86	0.00792772861356932	0.355371900826446	242
asc.day0	11	day0	asc	57	0.00779860446025448	0.838235294117647	68
white.day1	0	day1	white	40	0.0162667751118341	0.00579962302450341	6897
white.day1	7	day1	white	34	0.013826758845059	0.0941828254847645	361
beige.day3	3	day3	beige	34	0.00313421828908555	0.00758251561106155	4484
white.day1	9	day1	white	33	0.0134200894672631	0.136363636363636	242
white.day3	3	day3	white	31	0.00285766961651917	0.00691347011596789	4484
beige.day1	9	day1	beige	24	0.00976006506710045	0.0991735537190083	242
beige.day1	7	day1	beige	19	0.00772671817812119	0.0526315789473684	361
beige.day1	0	day1	beige	11	0.00447336315575437	0.00159489633173844	6897
white.day1	5	day1	white	8	0.00325335502236682	0.00278067431352103	2877
white.day3	7	day3	white	6	0.000553097345132743	0.0166204986149584	361
white.day1	2	day1	white	5	0.00203334688897926	0.000774473358116481	6456
beige.day3	11	day3	beige	5	0.000460914454277286	0.0735294117647059	68
beige.day1	11	day1	beige	4	0.00162667751118341	0.0588235294117647	68
beige.day3	7	day3	beige	3	0.000276548672566372	0.00831024930747922	361
white.day3	11	day3	white	2	0.000184365781710914	0.0294117647058824	68
white.day1	6	day1	white	2	0.000813338755591704	0.00140548137737175	1423
white.day3	8	day3	white	1	9.21828908554572e-05	0.00314465408805031	318
asc.day0	0	day0	asc	1	0.000136817622109728	0.000144990575612585	6897
beige.day1	2	day1	beige	1	0.000406669377795852	0.000154894671623296	6456
beige.day1	5	day1	beige	1	0.000406669377795852	0.000347584289190129	2877
beige.day1	6	day1	beige	1	0.000406669377795852	0.000702740688685875	1423
beige.day3	8	day3	beige	1	9.21828908554572e-05	0.00314465408805031	318
