"simple_id"	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"proximity"
"P:r1@PSMA6"	0	0.500258048641143	0.998	0.958	0	"3"	"PSMA6"	"P"
"P:r1@TMED10"	0	0.502067329463883	0.988	0.948	0	"1"	"TMED10"	"P"
"P:r1@ATP5ME"	0	0.502454992588193	0.998	0.983	0	"4"	"ATP5ME"	"P"
"P:r1@CYBA"	0	0.502918896930492	0.971	0.902	0	"1"	"CYBA"	"P"
"P:r1@ANP32B"	0	0.507250410402598	0.984	0.94	0	"1"	"ANP32B"	"P"
"P:r1@COX6A1,r1@AL021546.1"	0	0.509245610875421	1	0.998	0	"4"	"COX6A1,r1@AL021546.1"	"P"
"P:r1@NDUFB2"	0	0.509702342855956	0.999	0.992	0	"4"	"NDUFB2"	"P"
"P:r1@HSPE1,r1@HSPE1-MOB4"	0	0.51152498011945	0.997	0.978	0	"2"	"HSPE1,r1@HSPE1-MOB4"	"P"
"P:r1@SEPTIN2"	0	0.511721330680741	0.972	0.907	0	"1"	"SEPTIN2"	"P"
"P:r1@PSMB1"	0	0.512445464921651	0.999	0.985	0	"4"	"PSMB1"	"P"
"P:r1@RPN2"	0	0.513105248229393	0.978	0.929	0	"1"	"RPN2"	"P"
"P:r1@PPIAP22"	0	0.515084554140398	0.985	0.886	0	"3"	"PPIAP22"	"P"
"P:r1@ARPC1A,r1@AC004922.1"	0	0.515834865660127	0.964	0.911	0	"1"	"ARPC1A,r1@AC004922.1"	"P"
"P:r1@TMEM256,r1@TMEM256-PLSCR3"	0	0.516043874255985	0.99	0.961	0	"2"	"TMEM256,r1@TMEM256-PLSCR3"	"P"
"P:r1@ECH1"	0	0.516709796642245	0.982	0.94	0	"2"	"ECH1"	"P"
"P:r1@TRAPPC1"	0	0.523017675926693	0.98	0.951	0	"1"	"TRAPPC1"	"P"
"P:r1@ETFB,r1@CLDND2,r1@AC008750.8"	0	0.524833427973891	0.997	0.982	0	"2"	"ETFB,r1@CLDND2,r1@AC008750.8"	"P"
"P:r1@CSNK2B,r1@AL662899.2"	0	0.524918902611657	0.993	0.975	0	"1"	"CSNK2B,r1@AL662899.2"	"P"
"P:r1@COL6A2"	0	0.528853168990239	1	0.998	0	"3"	"COL6A2"	"P"
"P:r1@PTMS"	0	0.531752270358663	0.985	0.962	0	"1"	"PTMS"	"P"
"P:r1@RPS29"	0	0.532751099753554	1	0.999	0	"3"	"RPS29"	"P"
"P:r1@SELENOH,r1@AP001931.1"	0	0.532839977399713	0.965	0.889	0	"1"	"SELENOH,r1@AP001931.1"	"P"
"P:r1@FAAP20"	0	0.53520033197604	0.951	0.867	0	"1"	"FAAP20"	"P"
"P:r1@CDK2AP1"	0	0.535798117991863	0.991	0.969	0	"1"	"CDK2AP1"	"P"
"P:r1@SEC13"	0	0.53637117269445	0.984	0.954	0	"1"	"SEC13"	"P"
"P:r1@CUTA"	0	0.537426478642911	0.991	0.965	0	"1"	"CUTA"	"P"
"P:r1@SEC61G"	0	0.53815311403726	0.996	0.991	0	"1"	"SEC61G"	"P"
"P:r1@ATP5MPL"	0	0.538277565786823	0.999	0.992	0	"4"	"ATP5MPL"	"P"
"P:r1@DUSP1"	0	0.538905959651681	0.972	0.923	0	"0"	"DUSP1"	"P"
"P:r1@NDUFC2,r1@NDUFC2-KCTD14"	0	0.539212227530198	0.998	0.993	0	"2"	"NDUFC2,r1@NDUFC2-KCTD14"	"P"
"P:r1@AURKAIP1"	0	0.539484984668373	0.993	0.963	0	"4"	"AURKAIP1"	"P"
"P:r2@PTMA"	0	0.541749499604983	1	1	0	"4"	"PTMA"	"P"
"P:r1@UBB"	0	0.543693368476093	0.997	0.981	0	"1"	"UBB"	"P"
"P:r1@TXNL4A"	0	0.544739431910333	0.993	0.952	0	"4"	"TXNL4A"	"P"
"P:r1@XBP1"	0	0.545248614525947	0.954	0.824	0	"1"	"XBP1"	"P"
"P:r1@RSL1D1"	0	0.546060706002311	0.984	0.935	0	"4"	"RSL1D1"	"P"
"P:r1@H3F3B"	0	0.546397973012506	0.999	0.995	0	"1"	"H3F3B"	"P"
"P:r1@EID1"	0	0.547057596664321	0.994	0.971	0	"1"	"EID1"	"P"
"P:r1@MZT2B"	0	0.547321579044517	0.997	0.987	0	"1"	"MZT2B"	"P"
"P:r1@IFITM3"	0	0.547721644928096	1	0.996	0	"0"	"IFITM3"	"P"
"P:r1@ALDOA"	0	0.550768450686902	1	1	0	"1"	"ALDOA"	"P"
"P:r1@FIS1"	0	0.554275772340243	0.984	0.936	0	"1"	"FIS1"	"P"
"P:r1@RNF181"	0	0.556295944855674	0.97	0.901	0	"1"	"RNF181"	"P"
"P:r1@PDK4"	0	0.558193404632258	0.95	0.66	0	"2"	"PDK4"	"P"
"P:r1@TMEM263"	0	0.559125751232423	0.923	0.814	0	"1"	"TMEM263"	"P"
"P:r1@NDUFA2"	0	0.559774532873491	0.992	0.959	0	"4"	"NDUFA2"	"P"
"P:r1@MT-ND2,r1@MT-CO1,r1@MT-TI,r1@MT-TM,r1@MT-TW"	0	0.560795385399319	0.997	0.997	0	"4"	"MT-ND2,r1@MT-CO1,r1@MT-TI,r1@MT-TM,r1@MT-TW"	"P"
"P:r1@DDX39B,r1@SNORD84"	0	0.561273646865398	0.935	0.815	0	"1"	"DDX39B,r1@SNORD84"	"P"
"P:r1@SSR2"	0	0.561306098105366	0.998	0.983	0	"1"	"SSR2"	"P"
"P:r1@SERPINF1"	0	0.561946271734136	0.999	0.992	0	"4"	"SERPINF1"	"P"
"P:r1@PPIB"	0	0.56394765461761	1	1	0	"5"	"PPIB"	"P"
"P:r1@PSMA6"	0	0.564582137413554	0.99	0.96	0	"4"	"PSMA6"	"P"
"P:r1@NDUFA4"	0	0.564634566018043	0.999	0.995	0	"4"	"NDUFA4"	"P"
"P:r1@C1R"	0	0.566234207572916	0.998	0.986	0	"0"	"C1R"	"P"
"P:r1@RPL39P3"	0	0.566783599629888	0.984	0.852	0	"3"	"RPL39P3"	"P"
"P:r1@EIF1"	0	0.566866099074911	1	1	0	"5"	"EIF1"	"P"
"P:r1@MGST3"	0	0.56932317112891	0.998	0.993	0	"2"	"MGST3"	"P"
"P:r1@C4orf3"	0	0.571361703996957	0.984	0.956	0	"1"	"C4orf3"	"P"
"P:r1@MDH2"	0	0.571468886090949	0.995	0.972	0	"4"	"MDH2"	"P"
"P:r1@AKR1C3"	0	0.574189347416672	0.993	0.898	0	"2"	"AKR1C3"	"P"
"P:r1@GBE1"	0	0.57457646082654	0.968	0.88	0	"2"	"GBE1"	"P"
"P:r1@TRAM1"	0	0.575736249247519	0.964	0.892	0	"1"	"TRAM1"	"P"
"P:r1@EIF3K"	0	0.576723862006824	0.999	0.992	0	"4"	"EIF3K"	"P"
"P:r1@NDUFB3"	0	0.579638224779662	0.979	0.916	0	"4"	"NDUFB3"	"P"
"P:r1@UBB"	0	0.580483981629587	0.998	0.982	0	"4"	"UBB"	"P"
"P:r1@PRMT1"	0	0.582405120131552	0.967	0.883	0	"1"	"PRMT1"	"P"
"P:r1@DCTN2"	0	0.583566434701451	0.948	0.833	0	"1"	"DCTN2"	"P"
"P:r1@IMPDH2"	0	0.58357794355248	0.999	0.983	0	"3"	"IMPDH2"	"P"
"P:r1@HSPA1B"	0	0.585044892196064	0.873	0.745	0	"2"	"HSPA1B"	"P"
"P:r1@GLRX5"	0	0.58786780507542	0.946	0.882	0	"2"	"GLRX5"	"P"
"P:r1@SEC61A1"	0	0.588128435094172	0.92	0.783	0	"1"	"SEC61A1"	"P"
"P:r1@S100A6"	0	0.588691037724093	1	1	0	"1"	"S100A6"	"P"
"P:r1@HNRNPK"	0	0.588726766159365	0.986	0.941	0	"1"	"HNRNPK"	"P"
"P:r1@CYB5R3"	0	0.589314518369302	0.996	0.987	0	"1"	"CYB5R3"	"P"
"P:r1@COL14A1"	0	0.5926719695808	0.742	0.363	0	"3"	"COL14A1"	"P"
"P:r1@ATP1B3"	0	0.592896465226738	0.973	0.788	0	"3"	"ATP1B3"	"P"
"P:r1@PABPC1"	0	0.593641218460322	1	0.997	0	"3"	"PABPC1"	"P"
"P:r1@LHFPL6"	0	0.594449167028514	0.89	0.693	0	"1"	"LHFPL6"	"P"
"P:r1@HSPB6"	0	0.594597838232846	1	0.998	0	"2"	"HSPB6"	"P"
"P:r1@CLTB"	0	0.5950408554232	0.887	0.758	0	"1"	"CLTB"	"P"
"P:r1@LGALS3"	0	0.595087442788196	0.999	0.997	0	"4"	"LGALS3"	"P"
"P:r1@RALA"	0	0.596469155118127	0.868	0.71	0	"1"	"RALA"	"P"
"P:r1@EMC3"	0	0.596499085319795	0.948	0.902	0	"0"	"EMC3"	"P"
"P:r1@SURF4"	0	0.596623184218055	0.934	0.807	0	"1"	"SURF4"	"P"
