"Cluster"	"cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"0"	"0"	"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	"53/492"	"200/19796"	2.18399324739462e-39	1.38683571209558e-35	1.08349054473377e-35	"COL6A2/ANPEP/COL5A1/PCOLCE/FBLN2/COL1A1/NNMT/CALD1/QSOX1/ECM1/POSTN/IGFBP4/FBLN5/LUM/TGFBI/ITGA5/HTRA1/TGFB1/COL3A1/COL6A3/LAMA2/TFPI2/FAP/FBN1/CRLF1/DCN/FBLN1/ELN/GAS1/SNAI2/MGP/PLAUR/TPM1/COMP/SPOCK1/ABI3BP/COL16A1/NT5E/FSTL3/CXCL12/SFRP4/BMP1/CDH11/CXCL1/ID2/DKK1/ITGB5/DST/PRRX1/WIPF1/FAS/GEM/CXCL6"	53
"0"	"0"	"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION"	"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION"	"48/492"	"338/19796"	8.40480074272481e-23	2.26570841748187e-19	1.77012578062031e-19	"APP/COL5A1/COL1A1/QSOX1/POSTN/FBLN5/LUM/LAMB1/TGFBI/AEBP1/TGFB1/COL3A1/LAMA2/FAP/BCL3/MFAP4/ADAMTS1/COL18A1/COL14A1/CTSK/PDGFRA/FBLN1/ELN/OLFML2B/SH3PXD2B/HAS1/CRISPLD2/GAS6/COMP/ABI3BP/CYP1B1/ABL1/B4GALT1/COL16A1/ANTXR1/SULF2/HMCN1/DPP4/VIT/BMP1/DPT/MYO1E/SMAD3/ADAMTS6/ADAMTS5/SLC2A10/PRICKLE1/MMP17"	48
"0"	"0"	"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT"	"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT"	"35/492"	"166/19796"	1.07041342558199e-22	2.26570841748187e-19	1.77012578062031e-19	"COL6A2/COL5A1/PCOLCE/FBLN2/COL1A1/ECM1/POSTN/FBLN5/LUM/LAMB1/TGFBI/AEBP1/COL3A1/COL6A3/LAMA2/TFPI2/MFAP4/FBN1/COL18A1/COL14A1/DCN/FBLN1/ELN/LTBP1/MGP/COMP/OGN/ABI3BP/COL16A1/HMCN1/LTBP2/MFAP2/DPT/PODN/LTBP4"	35
"0"	"0"	"GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX"	"GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX"	"53/492"	"429/19796"	3.35564201647935e-22	5.32708170116096e-19	4.16187916412294e-19	"COL6A2/COL5A1/CTSB/PCOLCE/FBLN2/COL1A1/ECM1/POSTN/FBLN5/LUM/LAMB1/TGFBI/CTSF/AEBP1/HTRA1/TGFB1/COL3A1/CLU/COL6A3/LAMA2/MFAP4/ADAMTS1/FBN1/ANXA4/COL18A1/COL14A1/DCN/ANGPTL1/FBLN1/ELN/LTBP1/MGP/CTSC/COMP/LTBP3/OGN/ABI3BP/SOD3/COL16A1/RARRES2/CXCL12/HMCN1/VIT/LTBP2/MFAP2/DPT/PLSCR1/DST/SSC5D/ANGPT1/PODN/ADAMTS5/LTBP4"	53
"0"	"0"	"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION"	"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION"	"41/492"	"300/19796"	5.3784234645454e-19	6.83059779997266e-16	5.33652837650579e-16	"COL6A2/APP/COL5A1/CTSB/PCOLCE/FBLN2/COL1A1/P4HA2/FBLN5/LUM/LAMB1/ITGA5/HTRA1/TGFB1/COL3A1/COL6A3/LAMA2/MFAP4/ADAMTS1/FBN1/COL18A1/COL14A1/DCN/CTSK/FBLN1/ELN/LTBP1/SH3PXD2A/COMP/LTBP3/COL16A1/LTBP2/BMP1/MFAP2/ITGA4/ITGB5/DST/ADAMTS5/MMP17/JAM3/LTBP4"	41
"0"	"0"	"REACTOME_ELASTIC_FIBRE_FORMATION"	"REACTOME_ELASTIC_FIBRE_FORMATION"	"14/492"	"44/19796"	1.65936180041326e-12	1.75615790543737e-09	1.37203020444697e-09	"FBLN2/FBLN5/ITGA5/TGFB1/MFAP4/FBN1/FBLN1/ELN/LTBP1/LTBP3/LTBP2/MFAP2/ITGB5/LTBP4"	14
"0"	"0"	"GOBP_CARTILAGE_DEVELOPMENT"	"GOBP_CARTILAGE_DEVELOPMENT"	"27/492"	"208/19796"	2.21877647581154e-12	1.93609703860865e-09	1.51261091470577e-09	"COL1A1/ECM1/TGFBI/TGFB1/COL3A1/ZEB1/TGFBR2/CTSK/SNAI2/MGP/OSR1/OSR2/COMP/LTBP3/OGN/SIX2/FGFR1/SULF2/BMP1/HAND2/CTNNB1/ZBTB16/SMAD3/FOSL2/PRRX1/CHST11/IFT80"	27
"0"	"0"	"REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES"	"REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES"	"13/492"	"37/19796"	2.43917737147547e-12	1.93609703860865e-09	1.51261091470577e-09	"FBLN2/FBLN5/TGFB1/MFAP4/FBN1/FBLN1/ELN/LTBP1/LTBP3/LTBP2/MFAP2/ITGB5/LTBP4"	13
"0"	"0"	"HALLMARK_HYPOXIA"	"HALLMARK_HYPOXIA"	"26/492"	"200/19796"	5.51542438094819e-12	3.89143831322456e-09	3.04025673770864e-09	"COL5A1/P4HA2/NFIL3/TGFBI/PNRC1/MT2A/TMEM45A/CA12/DCN/MT1E/HAS1/CCN5/LXN/FOXO3/PLAUR/GAA/TPBG/SAP30/AKAP12/FOSL2/SLC2A3/CCNG2/PAM/MXI1/RORA/NDRG1"	26
"0"	"0"	"GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA"	"GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA"	"32/492"	"314/19796"	1.51924318098773e-11	9.64719419927211e-09	7.53704538104757e-09	"COL1A1/POSTN/ZFP36L2/FYN/HTRA1/TGFB1/COL3A1/VASN/ZEB1/TGFBR2/FBN1/ZFP36L1/HIPK2/CTSK/LTBP1/RBBP7/FUT8/LTBP3/ABL1/LTBP2/SAP30/ITGB5/PXN/SMAD3/CD109/PENK/MAPK7/ID1/SLC2A10/ACVR1/CHST11/LTBP4"	32
