sample	fastmnn_clusters	time	condition	n_cells
asc_day0	3	day0	asc	4993
white_day3	1	day3	white	3863
beige_day3	1	day3	beige	3659
beige_day3	2	day3	beige	3191
white_day3	2	day3	white	3069
beige_day1	0	day1	beige	1959
white_day1	0	day1	white	1828
asc_day0	0	day0	asc	1810
beige_day3	0	day3	beige	1799
white_day3	0	day3	white	1705
beige_day3	4	day3	beige	1488
white_day3	4	day3	white	1367
beige_day3	5	day3	beige	618
white_day3	5	day3	white	449
asc_day0	6	day0	asc	369
white_day1	3	day1	white	345
white_day3	7	day3	white	317
beige_day1	3	day1	beige	272
white_day1	4	day1	white	158
beige_day1	4	day1	beige	153
white_day1	1	day1	white	78
asc_day0	9	day0	asc	75
white_day3	3	day3	white	74
beige_day3	3	day3	beige	58
asc_day0	8	day0	asc	57
beige_day1	1	day1	beige	38
white_day1	6	day1	white	33
beige_day3	7	day3	beige	27
beige_day1	6	day1	beige	17
white_day1	5	day1	white	12
beige_day1	5	day1	beige	12
beige_day1	8	day1	beige	8
beige_day3	8	day3	beige	8
asc_day0	4	day0	asc	4
white_day1	8	day1	white	3
white_day3	6	day3	white	2
white_day3	8	day3	white	2
white_day1	9	day1	white	2
asc_day0	1	day0	asc	1
