Gene	alignment_similarity_percentage	opt_alignment_cost	l2fc	color	abs_l2fc
P:r2@BRD4	0.3636	35.940214399194296	-0.5419097456073866	red	0.5419097456073866
D:r1@ADDG03162538738.R	0.3636	36.06300958485249	-0.12581435834356755	red	0.12581435834356755
P:r1@PROX1	0.40740000000000004	58.83592947148446	-0.2969241482923344	red	0.2969241482923344
D:r1@ADDG01067427521.R	0.4286	36.10809783364276	-0.03530739851523671	red	0.03530739851523671
P:r1@ENPP5	0.5	37.033316670132486	-0.5164841482170967	red	0.5164841482170967
D:r1@ADDG21027418460.R	0.5	29.30626650292787	-0.20023370397218138	red	0.20023370397218138
P:r3@EPB41L3	0.5	30.835398518979897	-0.16306482785689244	red	0.16306482785689244
P:r1@PPP1R1A	0.5	30.970391136570942	0.14554304266698068	red	0.14554304266698068
P:r1@SAA2,r1@RNA5SP333,r1@SAA2-SAA4	0.5	30.89172420349823	-0.04655067301519113	red	0.04655067301519113
D:r1@ADDG20052612598.F	0.5	29.518487944745385	0.03675244834733611	red	0.03675244834733611
D:r1@ADDG04141658172.F	0.55	33.568694798768306	-0.0704428161601128	green	0.0704428161601128
P:r2@GREB1L	0.5652	33.90373104793488	0.07679529006924131	green	0.07679529006924131
P:r1@CLDN7	0.5652	40.03215182450031	0.020254357033797955	green	0.020254357033797955
P:r1@PCSK2	0.5714	34.83011827058794	-0.3977221870952513	green	0.3977221870952513
P:r1@KCNB1	0.5789	26.799181767675996	-0.3831031668155331	green	0.3831031668155331
P:r1@TSPAN19	0.5789	26.499151120420404	-0.29377672833358204	green	0.29377672833358204
D:r1@ADDG20013220191.F	0.5789	25.15963980131689	-0.28988610326568154	green	0.28988610326568154
P:r1@GLDN	0.5789	29.39616838507293	-0.20137317585616235	green	0.20137317585616235
P:r1@LIME1,r1@AL121845.2	0.5789	25.77996717533453	-0.19856812302263516	green	0.19856812302263516
P:r1@ALDH1L1	0.5789	28.05815971652246	-0.17079022643296726	green	0.17079022643296726
D:r1@ADDG02046521532.B	0.5789	26.172859610199453	-0.1661062308273933	green	0.1661062308273933
P:r1@CYMP	0.5789	37.11326042612441	0.16427361393447024	green	0.16427361393447024
P:r1@CNR1	0.5789	26.876766232330812	-0.0923323619060357	green	0.0923323619060357
P:r1@RETREG1	0.5789	26.885373966232557	-0.05854697543216089	green	0.05854697543216089
P:r2@UNG	0.5789	23.436090980055777	0.05534041725508408	green	0.05534041725508408
P:r1@LGALS12	0.5789	28.354591554505102	-0.03794936209904648	green	0.03794936209904648
P:r1@STON1-GTF2A1L	0.5789	26.011109661124628	0.03572224822843477	green	0.03572224822843477
P:r1@PLIN1	0.5789	29.720246652486892	-0.02255449623949803	green	0.02255449623949803
P:r1@CAMK1G	0.5909	31.138962967479284	-0.050320987679426034	green	0.050320987679426034
P:r2@CLIC3	0.5909	34.74479054775425	0.021393636902653845	green	0.021393636902653845
P:r1@SULT1B1	0.6	28.43486927884657	0.1500385364951285	green	0.1500385364951285
P:r1@GALNT17	0.6	31.480535390526885	-0.09569535524737094	green	0.09569535524737094
P:r1@CYP4B1	0.619	31.247222115002447	-0.5768155234873704	green	0.5768155234873704
P:r1@NEURL1B	0.619	29.494850331700547	-0.3072728311816569	green	0.3072728311816569
P:r1@FGL2	0.619	30.46938866581066	-0.0420726108425471	green	0.0420726108425471
P:r1@CCL5	0.625	33.637762430262775	0.3857122331936475	green	0.3857122331936475
P:r1@CEP55	0.625	35.272065416100105	0.12483790805885854	green	0.12483790805885854
P:r2@SLCO5A1	0.6315999999999999	29.04033794389692	-0.5971739479580862	green	0.5971739479580862
D:r1@ADDG02227888374.F	0.6315999999999999	28.630072444947288	-0.0682890662614038	green	0.0682890662614038
P:r1@RASD2	0.6364	29.959041455388242	-0.11994997012249124	green	0.11994997012249124
D:r1@ADDG02038029941.R	0.6667000000000001	19.454516194923883	-0.6928283233442121	green	0.6928283233442121
P:r1@C8orf87	0.6667000000000001	31.820255837506092	-0.6719990434048329	green	0.6719990434048329
D:r1@ADDG05016886622.F	0.6667000000000001	23.946939936375518	-0.25840129255382094	green	0.25840129255382094
D:r1@ADDG03042064179.F	0.6667000000000001	21.535086760002173	-0.2155904132653863	green	0.2155904132653863
D:r1@ADDG10088545418.R	0.6667000000000001	19.534604250269624	0.16639425907873806	green	0.16639425907873806
P:r3@PSD3	0.6667000000000001	34.3270314652072	0.1504958981131583	green	0.1504958981131583
P:r1@HHIP	0.6667000000000001	30.01125386720767	-0.027506159387555015	green	0.027506159387555015
P:r1@RRAD	0.6667000000000001	27.334966655691115	0.023829817002234445	green	0.023829817002234445
P:r1@ZNF367	0.6667000000000001	35.59819092208732	0.013599811707467638	green	0.013599811707467638
D:r1@ADDG02130195130.R	0.6667000000000001	20.132959543084446	-0.005491109310294101	green	0.005491109310294101
P:r1@AQP7P1	0.6667000000000001	22.791797968165675	0.0008784434027230528	green	0.0008784434027230528
D:r1@ADDG03017222741.R	0.6818000000000001	27.910858739863215	-0.6200584035428951	green	0.6200584035428951
