"simple_id"	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"proximity"
"P:r1@NDUFB3"	0	0.501352672057646	0.963	0.914	0	"2"	"NDUFB3"	"P"
"P:r1@JOSD2"	0	0.502609917110364	0.962	0.852	0	"3"	"JOSD2"	"P"
"P:r1@PSME1"	0	0.504447560427187	0.986	0.913	0	"3"	"PSME1"	"P"
"P:r1@VAPA"	0	0.504571916049395	0.965	0.929	0	"0"	"VAPA"	"P"
"P:r1@APOE"	0	0.505402982384737	0.831	0.54	0	"1"	"APOE"	"P"
"P:r1@YIPF3"	0	0.512091978879347	0.977	0.871	0	"3"	"YIPF3"	"P"
"P:r1@PPA1"	0	0.512175591348992	0.979	0.958	0	"1"	"PPA1"	"P"
"P:r1@CYBA"	0	0.512248594861622	0.978	0.904	0	"3"	"CYBA"	"P"
"P:r1@TXNDC17"	0	0.512337998567629	0.986	0.925	0	"3"	"TXNDC17"	"P"
"P:r1@EIF2S3"	0	0.512500134520842	0.971	0.869	0	"3"	"EIF2S3"	"P"
"P:r1@GPI"	0	0.513131825041565	0.989	0.924	0	"3"	"GPI"	"P"
"P:r1@XBP1"	0	0.513514779747286	0.971	0.826	0	"3"	"XBP1"	"P"
"P:r1@CDC37,r1@MIR1181"	0	0.513670187036665	0.988	0.927	0	"3"	"CDC37,r1@MIR1181"	"P"
"P:r1@ETFB,r1@CLDND2,r1@AC008750.8"	0	0.51380690547676	0.996	0.981	0	"1"	"ETFB,r1@CLDND2,r1@AC008750.8"	"P"
"P:r2@PTMA"	0	0.514068369963546	1	1	0	"2"	"PTMA"	"P"
"P:r1@COX6B1"	0	0.514156434875425	0.998	0.995	0	"2"	"COX6B1"	"P"
"P:r1@EDF1"	0	0.515998071539071	0.999	0.99	0	"3"	"EDF1"	"P"
"P:r1@PRMT1"	0	0.516476962391109	0.979	0.884	0	"3"	"PRMT1"	"P"
"P:r1@PRDX6"	0	0.516878064389918	1	0.998	0	"1"	"PRDX6"	"P"
"P:r1@GBE1"	0	0.517333557032912	0.954	0.88	0	"1"	"GBE1"	"P"
"P:r1@TMED10"	0	0.519765342493238	0.993	0.948	0	"3"	"TMED10"	"P"
"P:r1@RBPMS"	0	0.51977208440365	0.991	0.938	0	"2"	"RBPMS"	"P"
"P:r1@TXNL4A"	0	0.520100602178035	0.988	0.949	0	"2"	"TXNL4A"	"P"
"P:r1@FAAP20"	0	0.520906960369992	0.972	0.866	0	"3"	"FAAP20"	"P"
"P:r1@GPX4"	0	0.521163834231456	1	0.999	0	"2"	"GPX4"	"P"
"P:r1@HEBP2"	0	0.522572150666304	0.98	0.955	0	"1"	"HEBP2"	"P"
"P:r1@COX6C"	0	0.52259677628107	0.999	0.992	0	"2"	"COX6C"	"P"
"P:r1@COPE"	0	0.52423152502206	0.987	0.92	0	"3"	"COPE"	"P"
"P:r1@COA3"	0	0.525081910001208	0.941	0.875	0	"2"	"COA3"	"P"
"P:r1@COX7C"	0	0.525228262238556	1	0.998	0	"2"	"COX7C"	"P"
"P:r1@RSL1D1"	0	0.525953019084318	0.981	0.931	0	"2"	"RSL1D1"	"P"
"P:r1@SERPINF1"	0	0.526509774847707	1	0.99	0	"1"	"SERPINF1"	"P"
"P:r1@CTSA"	0	0.52691913709759	0.953	0.889	0	"0"	"CTSA"	"P"
"P:r1@COPS6"	0	0.526971909579871	0.97	0.862	0	"3"	"COPS6"	"P"
"P:r1@KDELR1"	0	0.527859243930268	0.998	0.989	0	"3"	"KDELR1"	"P"
"P:r1@FABP4"	0	0.528938546568751	0.984	0.538	0	"1"	"FABP4"	"P"
"P:r1@NDUFA2"	0	0.529188483201092	0.987	0.958	0	"2"	"NDUFA2"	"P"
"P:r1@PRDX2"	0	0.532233388957816	0.984	0.96	0	"2"	"PRDX2"	"P"
"P:r1@AK6,r1@TAF9"	0	0.533242325930213	0.964	0.903	0	"2"	"AK6,r1@TAF9"	"P"
"P:r1@EMC3"	0	0.534622595196289	0.951	0.899	0	"1"	"EMC3"	"P"
"P:r1@ATP5F1D"	0	0.535365174611103	0.998	0.991	0	"2"	"ATP5F1D"	"P"
"P:r1@MDH1"	0	0.535697014619635	0.97	0.928	0	"2"	"MDH1"	"P"
