Geneid	gene_name	description	gene_biotype	logFC.s1	P.Value.s1	adj.P.Val.s1	AveExpr.s1	logFC.s2	P.Value.s2	adj.P.Val.s2	AveExpr.s2	logFC.s3	P.Value.s3	adj.P.Val.s3	AveExpr.s3	logFC.s4	P.Value.s4	adj.P.Val.s4	AveExpr.s4	logFC.s5	P.Value.s5	adj.P.Val.s5	AveExpr.s5	logFC.s6	P.Value.s6	adj.P.Val.s6	AveExpr.s6
ENSG00000000003	TSPAN6	tetraspanin 6 	protein_coding	-0.586100279816682	1.5237427069558e-06	2.78264075129715e-05	5.21230784681533	0.361492343693897	0.000916953782883005	0.00578191064830607	5.21230784681533	-0.0256558711729395	0.794147438137326	0.958914975642282	5.21230784681533	-0.0979599676973199	0.322732103701892	0.784808520936634	5.21230784681533	0.037488251929925	0.703508615373859	0.912903027658758	5.21230784681533	0.310735523063117	0.00351142189940207	0.0220705300371869	5.21230784681533
ENSG00000000005	TNMD	tenomodulin 	protein_coding	-1.93840413776446	1.20118279939637e-07	3.68955145236358e-06	1.9611262456589	2.83960002756794	1.87093647908826e-10	1.91994225845529e-08	1.9611262456589	-0.956528745883416	0.00225419986697238	0.0476734236503375	1.9611262456589	-1.37540747074114	3.70273157383258e-05	0.00172358337512862	1.9611262456589	0.406125819384374	0.158021944319775	0.567515278655688	1.9611262456589	1.02461450743671	0.00155021481441066	0.0120943541093179	1.9611262456589
ENSG00000000419	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic 	protein_coding	-0.136532768645475	0.233765832250867	0.361941251288719	5.31428218055027	-0.053798767270752	0.638432372434647	0.747276824434467	5.31428218055027	0.0467515490055178	0.680427613668311	0.92685746515298	5.31428218055027	-0.0283880916025209	0.80212434560021	0.968611689947341	5.31428218055027	-0.0770715633878668	0.498234010628635	0.834533518846658	5.31428218055027	0.249039641901097	0.0356444139387577	0.118733633372907	5.31428218055027
ENSG00000000457	SCYL3	SCY1 like pseudokinase 3 	protein_coding	-0.176662025072924	0.0705151188562727	0.144346997808358	3.62699811428486	0.198321065042553	0.0548479530388865	0.127245841982701	3.62699811428486	0.0415400820831294	0.667620518281948	0.925503670291453	3.62699811428486	0.0641797181687443	0.504729697056995	0.888059012174821	3.62699811428486	-0.135068000310635	0.163780764345814	0.575014519613997	3.62699811428486	0.0076891600891309	0.937987198290359	0.966133295120133	3.62699811428486
ENSG00000000460	C1orf112	chromosome 1 open reading frame 112 	protein_coding	-0.117530312678362	0.411822661203069	0.547937629539812	1.36795852078487	0.176960767446744	0.248709061374241	0.384418858149779	1.36795852078487	0.241110581094614	0.106266147677889	0.520803573259398	1.36795852078487	0.182085767360949	0.213967885885081	0.683856848145988	1.36795852078487	-0.280236890135676	0.0578203467448026	0.353279188957334	1.36795852078487	-0.202389913088269	0.182860756656021	0.355543990307287	1.36795852078487
ENSG00000000938	FGR	FGR proto-oncogene, Src family tyrosine kinase 	protein_coding	-1.1693376475711	2.22739065781475e-07	6.10453758282126e-06	2.95183850260321	-0.433619188042328	0.0232722538746269	0.0676654989888086	2.95183850260321	0.327956878548131	0.072637370548755	0.427887654755729	2.95183850260321	-0.0152678163765258	0.931091997471531	0.98991558931137	2.95183850260321	-0.0790328789494348	0.654072318382295	0.895166778512447	2.95183850260321	1.36930065239126	2.03418213416054e-08	2.40126558987409e-06	2.95183850260321
ENSG00000000971	CFH	complement factor H 	protein_coding	0.275147763589554	0.143456409846055	0.249707615480878	7.25185934726644	-0.45192770305695	0.0170787891735958	0.0539360047673219	7.25185934726644	0.000876176308879825	0.996176113139274	0.999004803397051	7.25185934726644	0.204189426134692	0.270891716169874	0.744282043920894	7.25185934726644	0.232546288053098	0.212822285522649	0.634811444892579	7.25185934726644	-0.260831951029276	0.156836867144527	0.320252194177196	7.25185934726644
ENSG00000001036	FUCA2	alpha-L-fucosidase 2 	protein_coding	0.00416524066933957	0.973249422409953	0.983706856463493	5.7731759378481	-0.0209676378545826	0.865591386527455	0.912717802239274	5.7731759378481	-0.0890092194376901	0.474093594059793	0.869768119501631	5.7731759378481	0.0943383370912128	0.448515741282651	0.864715603444086	5.7731759378481	-0.073763168116439	0.553727360597073	0.858738610659774	5.7731759378481	0.0852364476481577	0.493155413789035	0.67348808532656	5.7731759378481
ENSG00000001084	GCLC	glutamate-cysteine ligase catalytic subunit 	protein_coding	-0.665607769882025	1.51602442600897e-05	0.000174623196161658	5.16383597400756	0.680406941537262	1.20076479368764e-05	0.000174473153168081	5.16383597400756	-0.277644723386612	0.0389139811725105	0.306509120783564	5.16383597400756	0.182161560998985	0.166257533944161	0.609824801089661	5.16383597400756	-0.0630952505390847	0.626990444620739	0.886084110136013	5.16383597400756	0.143779241271472	0.273979635621747	0.463068145139843	5.16383597400756
ENSG00000001167	NFYA	nuclear transcription factor Y subunit alpha 	protein_coding	-0.159981510410702	0.157553438881715	0.268399609473934	4.76724449977895	0.390884973597144	0.00162292778283638	0.00908398396453878	4.76724449977895	-0.0631929000491709	0.572694987457168	0.899829827109607	4.76724449977895	0.0756644531668234	0.498758034668026	0.886984379633216	4.76724449977895	-0.215829737509096	0.0604204720783133	0.362302173375304	4.76724449977895	-0.0275452787950003	0.807345739571477	0.892250204929843	4.76724449977895
