Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
s1.up	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	109/2236	197/13084	1.51519229336836e-34	1.70883386846084e-30	1.48297452039358e-30	CRLF1/IL32/PLAUR/DCN/SNAI2/FAS/CD44/VCAN/TNC/LAMA3/LAMC2/FBLN1/FAP/ITGB5/PLOD1/CD59/MMP2/NID2/LAMA1/MXRA5/TIMP1/SFRP1/TGFB1/TFPI2/PCOLCE/SERPINE1/SFRP4/CXCL12/DKK1/COL1A1/MGP/ENO2/COL12A1/CAP2/VEGFA/LOX/CDH6/DPYSL3/PDGFRB/WNT5A/COL7A1/FN1/ID2/SDC1/WIPF1/PRRX1/QSOX1/RGS4/P3H1/CCN2/TGFBI/FMOD/CALU/LOXL1/COL5A1/MATN3/NT5E/LAMC1/SERPINE2/IL6/THBS1/FGF2/FBN2/GLIPR1/LUM/FBLN5/CDH11/IGFBP4/CCN1/ECM1/SLIT2/IGFBP3/MMP3/VEGFC/DST/GJA1/DAB2/THY1/ABI3BP/MMP14/ITGA5/COL6A3/FBLN2/PTX3/IL15/ITGA2/COL1A2/TNFRSF11B/CTHRC1/HTRA1/FBN1/ANPEP/GREM1/TPM4/COL3A1/CDH2/EFEMP2/FOXC2/BDNF/GAS1/OXTR/SLIT3/THBS2/LAMA2/FLNA/MFAP5/TPM2/TGM2/COL5A2	109
s1.up	GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	156/2236	401/13084	3.99223337799063e-26	2.25122040184891e-22	1.95367294466089e-22	DCN/VCAN/TNC/ADAMTS6/LTBP1/LAMA3/LAMC2/PKM/NTN4/LMAN1/FBLN1/MMP2/NID2/P3H2/GLG1/LAMB1/CCDC80/COCH/LAMA1/MXRA5/SRPX/TIMP1/SRPX2/CRISPLD2/CTSH/SFRP1/PLAT/CCN4/IL7/FGL1/TGFB1/TFPI2/WNT2/PTPRZ1/PCOLCE/SERPINE1/OGN/ASPN/CXCL12/KAZALD1/COL1A1/VTN/CTSC/HPX/WNT5B/MGP/COL12A1/VEGFA/LAMA4/ERBIN/LOX/WNT5A/COL7A1/LOXL3/EFEMP1/FN1/PRG4/NID1/P3H1/CCN2/LTBP2/TGFBI/CLU/A1BG/FMOD/SLPI/COL21A1/FLRT3/MMP24/OMD/FGL2/LRRC17/LOXL1/COL5A1/MATN3/WNT2B/ADAM19/LAMC1/SERPINE2/CCN3/LRRC32/SULF1/THBS1/SEMA7A/FRAS1/FBN2/INHBE/LUM/FBLN5/MFGE8/TGFB1I1/ADAMTS10/CCN1/HMCN1/ECM1/COL8A1/SERPING1/MMP3/DST/ABI3BP/ADAMTS1/MMP16/ADAMTSL3/MMP14/ACAN/OLFML2B/SNED1/COL6A3/FBLN2/PTX3/PF4/BMPER/COL1A2/CTSB/TNFRSF11B/SBSPON/CTHRC1/HTRA1/FBN1/NAV2/GREM1/SERPINF2/LTBP3/TNXB/COL3A1/THBS3/COL22A1/CDH2/LAMB2/EFEMP2/HPSE/NDNF/PODN/CLEC14A/GPC6/CCBE1/FLRT2/ADAMTSL5/THBS2/ANGPTL5/THSD4/COL14A1/COL4A5/PLSCR1/PRELP/RELN/LAMA2/ANXA4/COL13A1/ELANE/MFAP5/L1CAM/TGM2/COL11A2/COL5A2/VIT	156
s1.up	GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	130/2236	317/13084	2.18632334215108e-24	8.21911821759328e-21	7.13278401239323e-21	DCN/VCAN/TNC/LTBP1/LAMA3/LAMC2/PKM/NTN4/LMAN1/FBLN1/MMP2/NID2/P3H2/LAMB1/CCDC80/COCH/LAMA1/MXRA5/SRPX/TIMP1/SRPX2/CTSH/SFRP1/PLAT/IL7/FGL1/TGFB1/WNT2/PTPRZ1/PCOLCE/SERPINE1/OGN/ASPN/CXCL12/KAZALD1/COL1A1/VTN/CTSC/HPX/WNT5B/MGP/COL12A1/LAMA4/ERBIN/LOX/WNT5A/COL7A1/LOXL3/EFEMP1/FN1/PRG4/NID1/P3H1/CCN2/LTBP2/TGFBI/CLU/A1BG/FMOD/SLPI/COL21A1/FGL2/LOXL1/COL5A1/MATN3/WNT2B/ADAM19/LAMC1/SERPINE2/CCN3/SULF1/THBS1/SEMA7A/FRAS1/FBN2/INHBE/LUM/FBLN5/MFGE8/TGFB1I1/ADAMTS10/CCN1/HMCN1/ECM1/COL8A1/SERPING1/DST/ABI3BP/ADAMTS1/ACAN/COL6A3/FBLN2/PF4/COL1A2/CTSB/SBSPON/CTHRC1/HTRA1/FBN1/NAV2/GREM1/SERPINF2/LTBP3/TNXB/COL3A1/THBS3/COL22A1/CDH2/LAMB2/EFEMP2/PODN/CLEC14A/GPC6/THBS2/ANGPTL5/THSD4/COL14A1/COL4A5/PLSCR1/PRELP/LAMA2/ANXA4/COL13A1/ELANE/MFAP5/L1CAM/TGM2/COL11A2/COL5A2/VIT	130
s6.up	GOCC_MITOCHONDRIAL_MATRIX	GOCC_MITOCHONDRIAL_MATRIX	136/1587	463/13084	3.36442754719513e-24	3.44752890761085e-20	3.25109946139487e-20	POLDIP2/COX10/CPS1/ALAS1/MRPS35/CS/HAGH/FECH/IARS2/PRKACA/ACAT1/BCKDHB/OXCT1/DLD/FH/MRPS18A/MCAT/TXN2/GSTZ1/PCK2/IDH3B/MLYCD/DECR1/GCDH/PMPCB/HIBADH/MRPL32/PPIF/GRPEL1/PDHX/COQ5/ATP5F1B/ALDH2/MRPL18/ACOT13/OGG1/PCCB/ACADL/MRPL37/MECR/ATP5PB/MRPS15/ACADM/HMGCL/ACOT2/DLST/ALDH6A1/MRPS14/DNAJC15/MRPS7/ECHS1/TST/IVD/RTN4IP1/NDUFA10/ACSS2/PDHA1/GRSF1/DMGDH/ISCA1/MRPL44/MRPS9/SUCLA2/ALDH1B1/HADH/YARS2/MMAB/SUOX/ETFA/CYP11A1/GCSH/SIRT3/SOD1/TARS2/RARS2/NIPSNAP2/STAR/LACTB2/AK3/MRPL49/NUBPL/ACAD8/ATP5F1A/PDK1/MRPL39/SUPV3L1/MALSU1/NDUFS2/ALDH4A1/BDH1/ACP6/MAIP1/NAXE/SUCLG1/GRPEL2/GFM2/PDSS2/ALDH7A1/RPUSD4/ATP5F1C/VDAC2/PRDX3/IDH3A/TK2/ACSF2/TRUB2/ACAA2/PDHB/CA5B/ETFDH/MRM3/PDP2/MRPS22/PCCA/FAHD1/DHTKD1/MRPS23/MRPS11/IDH2/GLRX5/DDX28/GLUD2/SMDT1/TXNRD2/MRPL40/NAT8L/TRMT2B/ACADSB/PTPN1/PPTC7/HIBCH/HSD17B8/HOGA1/MRPL20/MRPS6/NFS1	136
s1.up	GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	70/2236	131/13084	1.94200623711956e-21	5.4754865855586e-18	4.7517826296678e-18	DCN/VCAN/TNC/LTBP1/LAMA3/LAMC2/FBLN1/NID2/LAMB1/LAMA1/MXRA5/SRPX/SRPX2/TFPI2/PCOLCE/OGN/ASPN/COL1A1/VTN/MGP/COL12A1/LAMA4/COL7A1/EFEMP1/FN1/PRG4/NID1/LTBP2/TGFBI/FMOD/COL21A1/FGL2/COL5A1/MATN3/LAMC1/THBS1/FBN2/LUM/FBLN5/MFGE8/CCN1/HMCN1/TUFT1/ECM1/COL8A1/ABI3BP/ACAN/COL6A3/FBLN2/COL1A2/SBSPON/CTHRC1/FBN1/TNXB/COL3A1/THBS3/COL22A1/LAMB2/EFEMP2/PODN/THBS2/THSD4/COL14A1/COL4A5/PRELP/LAMA2/COL13A1/MFAP5/COL11A2/COL5A2	70
s6.up	HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	76/1587	197/13084	1.17677909064681e-21	6.02922767092895e-18	5.6857010800725e-18	ADIPOR2/RETSAT/CS/MYLK/ME1/MGLL/PGM1/COQ9/DLD/CRAT/SLC25A1/DHRS7/FAH/DECR1/PHYH/DHRS7B/GRPEL1/MTCH2/COQ5/ALDH2/REEP6/ACADL/ELMOD3/ACADM/SDHB/GPAM/DNAJC15/EPHX2/CAT/CDKN2C/RNF11/STAT5A/ECHS1/TST/DNAJB9/ACLY/PEMT/RTN3/UBQLN1/RMDN3/PREB/IDH1/HADH/TOB1/SOD1/SDHC/PLIN2/STOM/QDPR/HSPB8/AIFM1/CPT2/AGPAT3/ACOX1/SUCLG1/PRDX3/GHITM/IDH3A/ACAA2/GPX4/YWHAG/MRAP/PFKFB3/DHCR7/FZD4/LPL/UCP2/CIDEA/TALDO1/ADIPOQ/SLC25A10/DGAT1/NKIRAS1/HIBCH/PIM3/CHCHD10	76
s6.up	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	62/1587	142/13084	3.57374937783416e-21	1.22067366248889e-17	1.15112348380764e-17	ADIPOR2/ELOVL5/MDH1/RETSAT/ACAA1/ME1/IDI1/ALDH3A2/MGLL/TP53INP2/BCKDHB/DLD/FH/CRAT/GSTZ1/IDH3B/MLYCD/DECR1/GCDH/BLVRA/HMGCS1/REEP6/ACADL/DHCR24/ACADM/HMGCL/PRDX6/HSDL2/ACOT2/DLST/ACAT2/UROD/ECHS1/PDHA1/HSD17B7/GLUL/SUCLA2/BPHL/IDH1/RAP1GDS1/HADH/CYP1A1/ALDH9A1/SDHC/NSDHL/ACSL1/CPT2/ACOX1/SUCLG1/HPGD/ALDH1A1/PCBD1/ACAA2/GPD1/PDHB/ETFDH/CIDEA/ACSL5/SLC22A5/HIBCH/SDHD/INMT	62
s6.up	GOBP_ORGANIC_HYDROXY_COMPOUND_METABOLIC_PROCESS	GOBP_ORGANIC_HYDROXY_COMPOUND_METABOLIC_PROCESS	120/1587	416/13084	1.01378160543733e-20	2.59705502772909e-17	2.44908293103019e-17	GDE1/PNPLA4/HSD17B6/CYP46A1/RETSAT/DKK3/MSMO1/AKR7A2/SOAT1/ACAA1/DGAT2/SPHK2/HAGH/FECH/IDI1/MAOB/ALDH3A2/ABCB11/DHRS9/FDFT1/AKR1B1/ALG9/DHRS7/PCK2/PLTP/IDH3B/FAH/OCA2/SQLE/ASAH1/DKKL1/CUBN/PNPO/INPP4B/SC5D/ALDH2/HMGCS1/HMGCR/ACADL/PECR/SPR/DHCR24/DHDDS/NPC2/EPHX2/RDH10/CAT/PDE1B/PCK1/MRS2/CITED1/MPDU1/ACLY/AOC2/HSD17B7/PCBD2/ALDH3B2/KL/ERG28/RDH5/ALDH1B1/LHCGR/RBP4/IDH1/CYP11A1/CYP1A1/CYP1A2/IMPA2/OSBPL1A/PLPP2/SOD1/SRD5A1/SLC16A2/EBP/NSDHL/STAR/TM7SF2/QDPR/BMP6/DHRS4/LDLRAP1/CYB5R1/ABCG1/PDXK/FDPS/WNT4/PMVK/HAND2/RNF180/GPER1/ALDH1A1/HPRT1/PIP4P1/PCBD1/MOGAT2/CYB5R2/IDH3A/LDHD/ACAA2/MVD/GPD1/ACOX2/GPR37/BCL2/ALG14/DHCR7/COQ2/IDH2/PGP/APOBR/DGAT1/PRKN/INSIG1/ASAH2/CACNA1H/SULT1A2/GK/CES1/DHFR/CEBPA	120
s2.up	GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS	GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS	110/1954	299/13084	3.67512041667942e-21	4.00477871805556e-17	3.93044457194346e-17	SLC25A13/COX10/MDH1/NDUFS1/PHKA2/CS/MTFR1/PHKA1/RHOA/PYGM/ADGRF5/TIGAR/COQ9/DLD/FH/MSH2/SORBS1/PHKB/PPARGC1A/ATP5F1B/COX7A2/NNT/GBE1/GPD2/ATP5PB/MFN2/ACADM/NDUFB3/DLST/CAT/CISD1/ATP5F1E/NDUFA1/SLC25A23/COX6B1/COX7C/NDUFA5/COX7B/KL/MRPS36/MRAP2/PPP1R1A/COQ10A/AFG1L/SUCLA2/NDUFB5/NDUFAF1/IDH1/ETFA/UQCRC2/SDHC/VPS54/NIPSNAP2/NDUFB9/SURF1/ATPSCKMT/NDUFC2/ATP5F1A/ATP5PF/UQCRB/NDUFV3/AGL/SUCLG1/NDUFS4/COX6C/FXN/ATP5F1C/GHITM/IDH3A/TMEM135/ATP5PD/NDUFS5/UQCRFS1/PGM2/UGP2/INSR/ETFDH/SLC25A33/CYCS/TEFM/SUCLG2/PPP1R3B/UQCRH/COX5A/SLC25A18/NDUFB1/NDUFA12/LYRM7/ADRB3/NDUFA4/ENPP1/GFPT1/MT-ND6/MT-CO2/MT-CYB/MT-ND2/MT-ND5/MT-CO1/MT-ND3/MT-ND4/MT-CO3/ETFRF1/MT-ND4L/NDUFS3/PPP1CB/PPP1R3G/MT-ATP8/UQCRHL/ATP5PO/CHCHD10	110
s6.up	GOBP_SMALL_MOLECULE_BIOSYNTHETIC_PROCESS	GOBP_SMALL_MOLECULE_BIOSYNTHETIC_PROCESS	130/1587	473/13084	2.37110919184012e-20	4.85935117775715e-17	4.5824805012826e-17	ELOVL5/MDH1/CPS1/NR1H3/CYP46A1/DKK3/MSMO1/SPHK2/ELOVL1/IDI1/PRKACA/ABCB11/DHRS9/MGLL/FDFT1/PGM1/AACS/C1QTNF3/AKR1B1/MGST2/SEPHS1/COQ9/SCD/TECR/SLC25A1/MCAT/PCK2/PLTP/MLYCD/ASAH1/DKKL1/PNPO/SLC25A11/ALDOC/SC5D/COQ5/HMGCS1/HMGCR/RBP1/ACADL/PECR/SPR/DHCR24/MECR/ACADM/HMGCL/DHDDS/COQ6/ELOVL3/RDH10/PCK1/IL1B/PLA2G5/CDO1/RTN4IP1/RGN/ACSS2/ACLY/SELENOS/HSD17B7/PCBD2/BHMT2/ALOX5AP/GLUL/SUCLA2/CASP1/LHCGR/RBP4/CYP1A1/CYP1A2/IMPA2/OSBPL1A/SOD1/SIK1/ABHD1/THNSL2/EBP/NSDHL/STAR/PTGES/HSD17B12/APIP/FADS1/TM7SF2/QDPR/BMP6/PFKFB1/GNE/ABCG1/PDXK/FDPS/WNT4/PMVK/PDSS2/PGAM2/GPER1/ALDH1A1/HPRT1/PCBD1/TK2/COQ7/ACAA2/GPX4/MVD/GPD1/GPT/ACOX2/AGXT/DHCR7/COQ2/ABCD2/LPL/SHMT1/ACOT4/ADIPOQ/ADI1/GLUD2/SLC25A10/KLHL25/PGP/INSIG1/ASAH2/CACNA1H/ADA/PPTC7/PNP/CES1/HSD17B8/DHFR/HOGA1	130
