Cluster	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
s2	Mitochondrial ribosome	Mitochondrial ribosome	82	0.626601277650094	2.39244894277519	4.91660531353536e-10	4.62160899472324e-08	2.48417952683892e-08	4788	tags=72%, list=27%, signal=53%	MRPS33/MRPL50/MRPS18C/MRPS36/MRPL35/MRPS15/MRPS18B/MRPS14/MRPL47/MRPL1/MRPL45/PTCD3/MRPS10/MRPL19/MRPS35/MRPS7/MRPS27/MRPL33/MRPL39/MRPL24/MRPL30/MRPL37/MRPS9/MRPL34/MRPL15/MRPL22/MRPS5/MRPL27/MRPL32/MRPL51/DAP3/MRPL13/MRPS11/MRPL40/MRPL58/MRPS31/MRPS25/MRPS16/MRPL44/MRPL36/MRPS22/MRPS21/MRPS30/MRPL54/MRPL3/MRPL16/MRPL14/MRPL2/MRPL42/MRPS28/MRPL46/MRPS23/MRPL41/MRPS26/MRPL48/MRPS18A/MRPL21/MRPL10/MRPL20
s2	Fatty acid oxidation	Fatty acid oxidation	40	0.723774146645358	2.43843787787129	7.50902957546635e-09	3.52924390046919e-07	1.89701799801255e-07	2294	tags=65%, list=13%, signal=57%	ACSM3/ACAA2/HADHB/ACADM/DECR1/HADHA/ETFA/ETFDH/HADH/SLC25A20/CPT2/ACADL/ACACB/ACSL1/PCCB/ACADVL/CPT1B/ACSF2/PCCA/ECHS1/ECI2/ACADSB/ACAT1/MMUT/ACADS/ACAD10
s6	Mitochondrial ribosome	Mitochondrial ribosome	82	0.616120929913378	2.27649391180976	5.75084324355936e-09	5.4057926489458e-07	3.81371709836042e-07	5268	tags=74%, list=29%, signal=53%	MRPL46/MRPL23/MRPS11/MRPL55/MRPL12/MRPL28/MRPL43/MRPL57/MRPL41/MRPS12/MRPS18A/MRPS22/MRPS28/MRPS2/MRPL4/CHCHD1/MRPS15/MRPS7/MRPL44/MRPS14/MRPL10/MRPL20/MRPL16/MRPS34/MRPL40/MRPL58/MRPL18/MRPS18B/MRPS9/MRPL2/MRPL17/MRPL39/MRPL32/MRPL15/MRPL34/MRPL3/MRPL19/MRPL9/MRPS31/MRPL14/AURKAIP1/MRPL49/GADD45GIP1/MRPS27/MRPS6/MRPL37/PTCD3/MRPL36/MRPL52/MRPS25/MRPS10/MRPS26/MRPL21/MRPS23/MRPS35/MRPL45/MRPL35/MRPS16/MRPS5/MRPL22/MRPL54
s4	Fatty acid oxidation	Fatty acid oxidation	40	0.726701348229866	2.32368473867965	6.9085879851594e-09	6.49407270604983e-07	4.72692862142485e-07	2565	tags=65%, list=14%, signal=56%	ACADS/ACSF2/ACSM3/ECHS1/CPT1B/ACAA2/HADH/ETFB/SLC25A20/ACADVL/ECI1/ETFA/HSD17B10/ETFDH/CPT2/ACAD11/HADHB/CRAT/PCCB/DECR1/ACACB/HADHA/ACADM/ACADL/ACAD10/ACSL1
s6	Fatty acid oxidation	Fatty acid oxidation	40	0.7318952471535	2.36228104983879	3.52537660786274e-08	1.65692700569549e-06	1.16894066471238e-06	1835	tags=62%, list=10%, signal=56%	ACSM3/ACADS/HADH/ACAA2/ECHS1/SLC25A20/ETFA/ECI1/ACAD11/ETFDH/ETFB/ACADM/ACOT11/HADHB/CPT2/ACADVL/DECR1/ACSF2/ACACB/PCCB/CPT1B/HADHA/CRAT/ACSL6/HSD17B10
s5	Mitochondrial ribosome	Mitochondrial ribosome	82	0.633909014572309	2.21442297311585	2.27207983219253e-08	2.13575504226098e-06	1.36324789931552e-06	4461	tags=70%, list=25%, signal=53%	MRPL12/MRPL46/MRPL41/AURKAIP1/MRPL34/MRPS11/MRPL54/MRPL23/MRPS28/MRPS2/MRPS26/MRPS12/MRPS15/MRPL14/MRPS7/MRPS18A/MRPS18B/MRPS34/MRPL4/MRPL10/MRPL58/MRPL24/MRPL55/MRPL36/MRPL16/MRPL11/MRPL37/MRPL27/MRPL28/MRPL2/MRPL15/MRPL43/MRPS16/MRPL40/MRPL20/CHCHD1/MRPS14/MRPL39/MRPL44/MRPL57/MRPL21/MRPS33/MRPL50/MRPL49/MRPL22/MRPS18C/MRPS25/MRPL51/MRPS36/MRPL18/MRPS9/MRPL32/MRPS22/MRPS21/MRPL9/MRPS35/MRPS23
s3	Fatty acid oxidation	Fatty acid oxidation	40	0.770512909062827	2.27854064451129	4.90607276404808e-08	4.6117083982052e-06	3.46007237043391e-06	2191	tags=70%, list=12%, signal=62%	ACSM3/ACACB/ACAA2/ACADM/ETFDH/HADH/SLC25A20/ACAD11/ACADS/ETFA/DECR1/ACSF2/HADHB/CPT1B/CPT2/ACADL/ECHS1/HADHA/ACSL1/ACADVL/PCCB/ACADSB/ETFB/PCCA/ACSL6/AMACR/MMUT/HSD17B10
s2	CV subunits	CV subunits	21	0.815704994692597	2.40342567002805	1.76555416345333e-07	5.53206971215378e-06	2.97356490686877e-06	2706	tags=90%, list=15%, signal=77%	ATP5PF/ATP5MPL/ATP5MD/ATP5MC1/ATP5MC3/ATP5PB/MT-ATP8/ATP5F1B/ATP5PD/ATP5F1A/ATP5F1C/ATP5F1E/ATP5PO/DMAC2L/ATP5MF/ATP5ME/ATP5MG/MT-ATP6/ATP5MC2
s4	Mitochondrial ribosome	Mitochondrial ribosome	82	0.570243171344985	2.02579162383191	4.47698315231246e-07	2.10418208158685e-05	1.53159949947531e-05	6425	tags=74%, list=36%, signal=48%	MRPL23/MRPL46/MRPL28/MRPL12/MRPL41/MRPS11/MRPL55/MRPL43/MRPS18A/MRPS2/MRPS12/MRPS28/MRPL2/CHCHD1/MRPL10/MRPS22/MRPL57/MRPS7/MRPL4/MRPS18B/MRPS15/MRPL44/MRPL20/MRPL15/MRPL18/MRPL58/MRPL54/MRPL36/MRPL40/MRPL39/MRPS31/MRPS9/MRPS34/AURKAIP1/MRPL14/MRPL49/MRPL16/MRPL17/MRPL34/MRPL32/GADD45GIP1/MRPL9/MRPS16/MRPS14/MRPS26/MRPS6/MRPS23/MRPL52/MRPS25/MRPS27/MRPL24/MRPS5/MRPS35/MRPL37/PTCD3/MRPL3/MRPL22/MRPL35/MRPS33/MRPS10/MRPL48
s5	Fatty acid oxidation	Fatty acid oxidation	40	0.713812548868797	2.20542717057599	5.64802544452223e-07	2.65457195892545e-05	1.69440763335667e-05	1643	tags=60%, list=9%, signal=55%	ACADS/ACSM3/CPT1B/ACAA2/ACSF2/ETFB/ECHS1/SLC25A20/HADH/ACADVL/ACACB/DECR1/CPT2/ETFA/ETFDH/HADHB/ECI1/HSD17B10/ACADM/ACAD11/AMACR/PCCB/HADHA/ACADL
