"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
1.81429627465234e-248	0.877866678707645	1	1	6.64050579485502e-244	"0"	"FTH1"
4.21826597959845e-246	2.26391466022291	0.869	0.476	1.54392753119283e-241	"0"	"CFB"
1.10420901473037e-208	0.902784862039352	0.999	0.979	4.04151541481462e-204	"0"	"FBLN2"
1.42792831107547e-208	0.7028966699154	1	0.999	5.22636041136734e-204	"0"	"CTSB"
4.44275244443576e-206	0.934341759783132	0.998	0.984	1.62609182218793e-201	"0"	"C1S"
2.81187880637787e-204	0.774114154102282	1	0.998	1.02917576192236e-199	"0"	"ITM2B"
6.22549101750446e-186	1.57901639342035	0.99	0.926	2.27859196731681e-181	"0"	"CLU"
7.58363332694043e-186	0.780430863397674	1	0.998	2.77568563399347e-181	"0"	"PSAP"
3.65460520893393e-181	1.69388453316417	0.959	0.873	1.33762205252191e-176	"0"	"SOD2"
3.22079547817058e-179	0.814775157002408	0.998	0.984	1.17884335296521e-174	"0"	"CTSD"
4.93181083965475e-175	0.570014327849635	0.999	0.998	1.80509208542204e-170	"0"	"GPX4"
1.48207486846224e-171	1.51708899147984	0.865	0.556	5.42454222605865e-167	"0"	"PTGES"
6.42527645018865e-170	0.775890582246505	0.999	0.997	2.35171543353355e-165	"0"	"CST3"
7.94472909213132e-168	0.500169121209651	1	1	2.90785029501098e-163	"0"	"B2M"
3.76485395659195e-167	0.635138955093312	1	1	1.37797419665222e-162	"0"	"FTL"
4.42869258833792e-167	1.00536161784003	0.993	0.98	1.62094577425756e-162	"0"	"SQSTM1"
6.41542772198505e-166	0.700942426822748	0.998	0.985	2.34811070052375e-161	"0"	"GRN"
5.03396962667596e-154	0.61031492487611	1	0.993	1.84248322305967e-149	"0"	"RAB13"
2.87194752780574e-150	0.893376775012517	0.997	0.988	1.05116151465218e-145	"0"	"ISLR"
9.51723897915881e-149	2.04617703528413	0.765	0.409	3.48340463876192e-144	"0"	"MGP"
3.00996189306294e-145	1.92386054670735	0.735	0.376	1.10167615247997e-140	"0"	"CXCL6"
4.48018548732458e-145	1.2604915167255	0.944	0.772	1.63979269021567e-140	"0"	"CRLF1"
2.12578702678833e-140	1.51593031370884	0.839	0.538	7.78059309674798e-136	"0"	"AKR1C1"
9.72769551765924e-137	0.756903320801131	0.996	0.976	3.56043383641846e-132	"0"	"TKT"
4.2222142734169e-136	0.575176913748747	0.994	0.987	1.54537264621332e-131	"0"	"TMEM59"
1.3365279902791e-135	0.621790657697794	1	1	4.89182609722052e-131	"0"	"MMP2"
1.65428010929346e-132	0.740810834807724	0.997	0.982	6.05483062802498e-128	"0"	"PNRC1"
2.32887798428207e-129	0.507892962765573	1	0.992	8.52392631027079e-125	"0"	"CRTAP"
2.80088366207534e-128	1.75168263792892	0.648	0.302	1.02515142915619e-123	"0"	"RARRES1"
1.65080814465955e-127	0.876832698181604	0.971	0.845	6.04212289026842e-123	"0"	"SERPING1"
1.23487188452328e-126	1.47766492519139	0.88	0.73	4.51975458454367e-122	"0"	"PLPP1"
4.51202939197576e-126	0.624065857657369	1	0.998	1.65144787775705e-121	"0"	"HTRA1"
2.70536372059351e-125	1.78520273605621	0.723	0.419	9.90190175374432e-121	"0"	"AKR1C2"
3.48808685996515e-124	1.14505385320178	0.862	0.577	1.27667467161584e-119	"0"	"COL14A1"
1.54212747978226e-121	0.886958410029364	0.998	0.999	5.64434078875105e-117	"0"	"IGFBP6"
1.82603450811368e-121	0.747826104790897	1	0.997	6.68346890314688e-117	"0"	"DCN"
3.45582515417606e-121	1.45940673210803	0.656	0.306	1.26486656467998e-116	"0"	"CPZ"
5.77666014079006e-120	1.19783660006418	0.839	0.616	2.11431537813057e-115	"0"	"CTSF"
1.99717719278519e-119	0.599959343732146	0.992	0.985	7.30986824331307e-115	"0"	"CTSA"
9.06286856185765e-116	0.986875106391628	0.942	0.886	3.31710052232552e-111	"0"	"NBL1"
1.27967344694529e-115	0.900291020064898	0.928	0.795	4.68373278316447e-111	"0"	"EPHX1"
5.32379561868263e-111	0.770246202152442	1	1	1.94856243439403e-106	"0"	"TIMP1"
6.46776083569994e-110	1.45221409597908	0.81	0.562	2.36726514347453e-105	"0"	"CFD"
1.91471664255564e-109	0.540217600520399	1	0.997	7.00805438341791e-105	"0"	"LY6E"
1.9050963556951e-107	2.52726173936023	0.293	0.066	6.97284317147963e-103	"0"	"SGCA"
3.86371657510814e-107	2.21635318255314	0.42	0.143	1.41415890365533e-102	"0"	"TNFRSF21"
4.85390312730886e-107	1.90283241950383	0.574	0.255	1.77657708362632e-102	"0"	"CXCL1"
6.63254792809369e-107	1.30052029357507	0.846	0.671	2.42757886716157e-102	"0"	"LXN"
1.43370582608678e-106	0.950044489831436	0.956	0.803	5.24750669406022e-102	"0"	"CYP1B1"
1.9060843927398e-106	0.820710816153728	0.995	0.971	6.97645948586693e-102	"0"	"LUM"
1.28260990755064e-105	1.49437787059887	0.658	0.337	4.69448052262609e-101	"0"	"C3"
1.29267718138667e-104	0.879333716725011	0.918	0.801	4.73132775159335e-100	"0"	"LPAR1"
3.85483479363072e-101	1.72443412735005	0.669	0.407	1.41090808281678e-96	"0"	"GPNMB"
9.52781848471108e-101	1.01274070435067	0.874	0.654	3.4872768435891e-96	"0"	"CA12"
3.01737615830246e-95	1.23369085861091	0.98	0.958	1.10438984770028e-90	"0"	"GSN"
6.0001669295269e-95	0.658639239504349	0.968	0.912	2.19612109787614e-90	"0"	"YPEL3"
3.49775574304469e-93	0.550938234168626	0.99	0.971	1.28021357951179e-88	"0"	"ISCU"
3.8994293017857e-93	0.678971006550892	0.99	0.989	1.42723011874658e-88	"0"	"NEAT1"
1.98692826197125e-92	0.904714114359163	0.931	0.831	7.27235613164096e-88	"0"	"SAT1"
8.66440297852422e-92	0.595879186548599	0.993	0.974	3.17125813416965e-87	"0"	"SRPX"
1.7826877479257e-91	0.866035658543909	0.899	0.776	6.52481542618285e-87	"0"	"CYBRD1"
1.03372556553931e-90	0.713371713204349	0.978	0.914	3.78353894243043e-86	"0"	"SNX9"
2.06187120379844e-90	0.957641477121011	0.834	0.597	7.54665479302269e-86	"0"	"AKR1C3"
1.83764198543677e-89	0.593116018261148	0.968	0.95	6.72595343089711e-85	"0"	"SNHG7"
1.98041214851361e-88	1.39927536765319	0.684	0.445	7.24850650477465e-84	"0"	"DPP4"
2.06476268512165e-88	0.62842418331423	0.996	0.983	7.55723790381376e-84	"0"	"SERPINF1"
5.51219872066122e-88	0.941851504325811	0.961	0.907	2.01751985374921e-83	"0"	"PLIN2"
2.17926404887923e-87	3.35094332967031	0.358	0.123	7.97632434530288e-83	"0"	"PRG4"
2.02926659942184e-85	0.795115795944665	0.993	0.982	7.42731868054387e-81	"0"	"CTSL"
2.56054601987437e-82	1.01822458601273	0.775	0.527	9.37185448734219e-78	"0"	"SNED1"
4.26250585739141e-81	1.52996677729771	0.668	0.441	1.56011976886383e-76	"0"	"TNFAIP2"
5.03655493647582e-81	0.750971439715295	0.907	0.823	1.84342947229951e-76	"0"	"LTBP3"
5.07417224522103e-80	0.731012870953291	0.956	0.921	1.85719778347335e-75	"0"	"IL6ST"
6.5836909766474e-80	0.9119268241558	0.895	0.773	2.40969673436272e-75	"0"	"BMERB1"
1.35346988798444e-77	0.697034944548356	0.945	0.892	4.95383513701186e-73	"0"	"BTG1"
3.67425104680912e-76	0.571545661852551	0.971	0.942	1.34481262564261e-71	"0"	"LRPAP1"
7.28314884760969e-76	1.01818135785371	0.881	0.766	2.66570530971362e-71	"0"	"NFKBIA"
1.18436684144705e-75	0.692715724533504	0.98	0.931	4.33490107638034e-71	"0"	"PDGFRA"
1.28821903474096e-74	0.945392368893857	0.892	0.812	4.71501048905537e-70	"0"	"PROCR"
4.10131300837477e-74	0.952439839801872	0.904	0.832	1.50112157419525e-69	"0"	"WTAP"
2.22515479428462e-72	0.695977079198327	0.901	0.824	8.14428906256114e-68	"0"	"SNHG18"
3.7932027862588e-72	1.46908404162164	0.651	0.428	1.38835015179858e-67	"0"	"PLAT"
5.96325096739777e-72	1.90523508953222	0.358	0.133	2.18260948657726e-67	"0"	"IL33"
1.16122810693737e-71	1.48583980373479	0.558	0.31	4.25021099420146e-67	"0"	"SUSD2"
1.68893768065306e-71	0.571162871821458	0.967	0.912	6.18168080495828e-67	"0"	"C1R"
1.00206936935925e-69	1.31241269900058	0.542	0.296	3.66767409879179e-65	"0"	"C1QTNF1"
1.07342938529416e-68	0.675430098326038	0.945	0.886	3.92885889311514e-64	"0"	"TGFBR2"
1.83778321709678e-68	0.945154491806234	0.858	0.748	6.72647035289594e-64	"0"	"PTGIS"
2.89648325522151e-68	1.30578127159921	0.6	0.36	1.06014183624362e-63	"0"	"BDKRB2"
8.48418206927362e-68	0.590403053482153	0.956	0.921	3.10529547917484e-63	"0"	"ARL6IP5"
1.21273019368089e-67	0.820050313110657	0.938	0.889	4.43871378189144e-63	"0"	"MMP14"
3.61825234578916e-67	0.577156790008465	0.959	0.943	1.32431654108229e-62	"0"	"NPC2"
4.47786748229958e-67	1.06762491700438	0.779	0.536	1.63894427719647e-62	"0"	"CCN5"
4.62583789763064e-67	1.19532796829968	0.632	0.398	1.69310292891179e-62	"0"	"CYGB"
6.73034228777367e-67	0.606963995443495	0.996	0.983	2.46337258074804e-62	"0"	"MT2A"
1.09222988265757e-66	0.596266074870258	0.975	0.928	3.99767059351496e-62	"0"	"FGF7"
1.69713641468146e-66	0.634279344093214	0.934	0.883	6.21168899137562e-62	"0"	"LAMP2"
6.97855344369444e-66	1.00576714316384	0.712	0.533	2.5542203459266e-61	"0"	"A4GALT"
1.16162567610127e-65	0.608196336604592	0.973	0.911	4.25166613709827e-61	"0"	"HMGA1"
1.47747443383703e-65	1.2066007870597	0.709	0.506	5.40770417528692e-61	"0"	"CBR3"
9.59218395405163e-64	0.514139372842194	0.994	0.985	3.51083524902244e-59	"0"	"APP"
1.06929978361042e-63	1.02756444356744	0.732	0.554	3.91374413799249e-59	"0"	"PAMR1"
1.17604520432595e-63	1.81289416009244	0.271	0.086	4.30444305235341e-59	"0"	"IGF1"
2.47495764122892e-63	0.774269272643439	0.853	0.75	9.05859246266197e-59	"0"	"SMPD1"
5.63468438887213e-63	0.953945701632552	0.761	0.598	2.06235083317109e-58	"0"	"CREG1"
6.10364138638723e-63	0.531377757587911	0.96	0.932	2.23399378383159e-58	"0"	"HCFC1R1"
8.28646316225124e-63	0.965073671953903	0.717	0.533	3.03292838201558e-58	"0"	"ORAI3"
2.16353569125826e-62	0.51584458669757	0.98	0.962	7.91875698357437e-58	"0"	"CCDC85B"
2.48056554140905e-62	1.44731960868391	0.463	0.236	9.07911793811128e-58	"0"	"PCDH7"
1.36609972806535e-61	0.838954010248682	0.735	0.553	5.00006161469199e-57	"0"	"CMBL"
2.53131716943654e-61	1.24969291739295	0.617	0.401	9.26487397185469e-57	"0"	"TMEM59L"
2.01173888419165e-60	2.28747896439963	0.251	0.08	7.36316549002986e-56	"0"	"ANXA10"
2.96936510477709e-60	1.10913543998999	0.662	0.465	1.08681732199946e-55	"0"	"HIST1H2AC"
3.80193668021964e-60	0.71445619177462	0.858	0.74	1.39154684432719e-55	"0"	"PCYOX1"
7.74077778270548e-60	0.815434145140708	0.777	0.625	2.83320207624803e-55	"0"	"BDH2"
1.72293217950345e-58	1.64558176567237	0.506	0.303	6.30610407020059e-54	"0"	"HLA-DPA1"
2.35862061194456e-57	0.569234477650355	0.969	0.91	8.63278730177827e-53	"0"	"FBLN1"
4.82039782888402e-57	0.694666528576908	0.941	0.902	1.76431380934984e-52	"0"	"AKR1B1"
1.76792450710065e-56	1.9391586095513	0.348	0.153	6.47078048843909e-52	"0"	"SLC39A8"
4.77651202052878e-56	0.726752171881183	0.819	0.702	1.74825116463374e-51	"0"	"FCGRT"
5.20201103477692e-56	1.47732171764373	0.541	0.319	1.9039880588387e-51	"0"	"CXCL2"
7.80421580418929e-56	1.54921360071065	0.304	0.116	2.85642102649132e-51	"0"	"SELENOP"
9.3313492445838e-56	1.35559418156999	0.566	0.35	3.41536713701012e-51	"0"	"TNXB"
