"Cluster"	"cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"S1"	"S1"	"GOCC_VACUOLAR_LUMEN"	"GOCC_VACUOLAR_LUMEN"	"48/1157"	"177/17939"	4.94637754661549e-18	3.25203926372601e-14	2.74827890292919e-14	"EPDR1/CD74/IDUA/PRELP/ADA2/CTSF/SMPD1/ASAH1/LGMN/SCARB2/VAT1/NPC2/CTSL/CTSD/GRN/CTSA/CYB5R3/CTSB/PSAP/NAAA/HEXA/LAMP2/C3/LUM/HEXB/FTL/CREG1/GPC1/IDS/RNASET2/CTSK/SDCBP/GPC6/ARSB/GLB1/PLBD2/PYCARD/FUCA2/NEU1/MAN2B1/MAN2B2/GM2A/IFI30/GAA/PYGB/GGH/MANBA/CPPED1"	48
"S1"	"S1"	"GOCC_LYSOSOMAL_LUMEN"	"GOCC_LYSOSOMAL_LUMEN"	"35/1157"	"97/17939"	7.95995413958148e-18	3.25203926372601e-14	2.74827890292919e-14	"EPDR1/CD74/IDUA/PRELP/CTSF/SMPD1/ASAH1/LGMN/SCARB2/NPC2/CTSL/CTSD/CTSA/CTSB/PSAP/NAAA/HEXA/LAMP2/LUM/HEXB/GPC1/IDS/RNASET2/CTSK/GPC6/ARSB/GLB1/PLBD2/NEU1/MAN2B1/MAN2B2/GM2A/IFI30/GAA/MANBA"	35
"S1"	"S1"	"KEGG_LYSOSOME"	"KEGG_LYSOSOME"	"36/1157"	"120/17939"	2.29499982673378e-15	6.25081452808057e-12	5.28252591697319e-12	"IDUA/CTSF/SMPD1/ASAH1/LGMN/SCARB2/NPC2/CTSL/CTSD/CTSA/CTSB/PSAP/CD68/HEXA/LAMP2/HEXB/LAMP1/SUMF1/IDS/CTSK/ARSB/GLB1/IGF2R/CLTB/NEU1/DNASE2/MAN2B1/TCIRG1/GM2A/GAA/GNPTAB/MANBA/CTSO/MCOLN1/SLC17A5/CLN3"	36
"S1"	"S1"	"GOBP_FATTY_ACID_METABOLIC_PROCESS"	"GOBP_FATTY_ACID_METABOLIC_PROCESS"	"66/1157"	"385/17939"	2.24481423074543e-13	4.31351786752086e-10	3.64532811302319e-10	"TNXB/AKR1C2/CYGB/GGT5/PTGES/CD74/AKR1C1/THNSL2/PTGIS/AKR1C3/CYP1B1/ASAH1/EPHX1/MGST3/CAV1/GPX4/NAAA/AKR1B1/C3/BDH2/DBI/GSTM2/PTGR1/ECH1/ACADVL/PHYH/MSMO1/ACAA1/INSIG1/ELOVL5/CRAT/FADS2/GSTM1/NR1H2/ACOT7/IVD/FASN/PDK2/APPL2/IRS1/ACOX2/ACSL4/ECHDC2/CRYL1/ELOVL6/ALDH3A2/UBR4/MID1IP1/CROT/AUH/FADS1/ERLIN1/LPIN1/CPT1A/GDF15/CES2/HACD4/ABHD5/ABHD12/SCAP/CPT1C/MCEE/SLC27A1/AMACR/ABCD4/HACL1"	66
"S1"	"S1"	"HALLMARK_COAGULATION"	"HALLMARK_COAGULATION"	"36/1157"	"138/17939"	2.63952874037502e-13	4.31351786752086e-10	3.64532811302319e-10	"CFB/DPP4/PLAT/CD9/TFPI2/CFD/F10/CFH/SERPING1/CLU/LGMN/GSN/ISCU/TIMP3/C1S/ANXA1/CTSB/TIMP1/HTRA1/FBN1/LAMP2/C3/LTA4H/S100A13/MMP14/CFI/CTSK/PLAU/ADAM9/FYN/DUSP6/ACOX2/PROS1/CTSO/ANG/PRSS23"	36
"S1"	"S1"	"GOBP_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS"	"GOBP_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS"	"72/1157"	"451/17939"	6.8279638985627e-13	9.29854883585931e-10	7.85814792536339e-10	"DEPTOR/SCARB2/SLC25A5/QSOX1/SQSTM1/TMEM59/CTSA/TIMP3/ATP6V0E1/PSAP/TIMP1/TRIM8/ATP2B4/MAPK3/UCHL1/SNX9/OPTN/IDH1/TRIM22/EHMT2/FEZ1/APP/ADAM9/WDR45/DEPP1/PIP4K2A/PYCARD/TIGAR/NNT/PLK2/CAPN1/PIK3R2/KEAP1/HSPB8/SLC25A4/VPS13C/GPR137B/USP33/SH3D19/SREBF2/MLST8/CDK5RAP3/IRS1/DRAM1/SESN1/ATP6V1E1/TPCN1/APOE/UBR4/TRIM38/SUPT5H/FYCO1/ATM/CPT1A/VPS13D/HTRA2/CDK5/PRKACA/DRAM2/ABHD5/RIPK2/KAT8/ZBTB20/ATG14/RRAGC/CAMKK2/CLN3/PRKD1/KLHL22/RMC1/UBQLN4/FBXW7"	72
"S1"	"S1"	"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	"43/1157"	"199/17939"	1.48841102413284e-12	1.73740092545563e-09	1.46826711553555e-09	"CXCL6/ACKR3/TNFAIP2/GFPT2/SAT1/SOD2/IL6ST/CD44/SQSTM1/CXCL1/PHLDA1/ID2/G0S2/NFKBIA/CSF1/PNRC1/BTG1/SMAD3/PLAU/CDKN1A/FOSL1/CXCL2/PDLIM5/PLK2/MAP2K3/RELB/CXCL3/ICAM1/CCND1/NINJ1/KLF4/ATP2B1/DRAM1/MAP3K8/TNIP1/TNFAIP3/IRF1/EHD1/CFLAR/RIPK2/CLCF1/SERPINB8/NFKB2"	43
"S1"	"S1"	"REACTOME_NEUTROPHIL_DEGRANULATION"	"REACTOME_NEUTROPHIL_DEGRANULATION"	"73/1157"	"473/17939"	2.56627513676168e-12	2.62112926780996e-09	2.21510064436271e-09	"CFD/PRSS3/ADA2/ASAH1/GSN/QSOX1/VAT1/NPC2/CD44/BRI3/CTSD/GRN/CTSA/CYB5R3/CD59/CST3/CTSB/PSAP/FTH1/CD68/MGST1/CXCL1/LAMP2/C3/HEXB/LAMP1/LTA4H/IDH1/ATP6AP2/FTL/CREG1/CD55/ADAM10/CYBA/RNASET2/SERPINB6/PLAU/RAB31/CAT/SDCBP/HSPA1B/ARSB/GLB1/ACAA1/PYCARD/NCSTN/FUCA2/IGF2R/CAPN1/NEU1/SNAP29/MAN2B1/PGM2/TCIRG1/GM2A/GAA/PYGB/GGH/STOM/TMBIM1/HSPA1A/SERPINB1/MANBA/UBR4/NFASC/QPCT/CPPED1/CHI3L1/SIRPA/ALAD/CANT1/TSPAN14/CD58"	73
"S1"	"S1"	"GOCC_ENDOPLASMIC_RETICULUM_LUMEN"	"GOCC_ENDOPLASMIC_RETICULUM_LUMEN"	"55/1157"	"311/17939"	6.5771316607335e-12	5.97130475553927e-09	5.04631388238734e-09	"COL14A1/F10/MELTF/SERPING1/LTBP1/CLU/IGFBP3/MFGE8/LRPAP1/APLP2/QSOX1/CERCAM/NUCB1/CRTAP/CST3/IGFBP4/TIMP1/MAPK3/FBN1/C3/P3H2/COL15A1/DBI/CSF1/PENK/ADAM10/SUMF1/ADAMTS5/RNASET2/COL18A1/TGOLN2/APP/IGFBP7/SUMF2/MBTPS1/LAMB2/ARSB/APOL1/FKBP7/FUCA2/GPX7/COL13A1/TMEM132A/ADAMTS7/APOE/IGFBP5/P4HA3/CES2/EDEM2/DAG1/POGLUT2/POGLUT1/ERAP1/PRSS23/TSPAN14"	55
"S1"	"S1"	"GOCC_VACUOLAR_MEMBRANE"	"GOCC_VACUOLAR_MEMBRANE"	"72/1157"	"476/17939"	9.65888116125069e-12	7.89227179685794e-09	6.6697116229268e-09	"DPP4/HLA-DPA1/DEPTOR/CD74/HLA-DRA/CYBRD1/AP2A1/SCARB2/ATRAID/BRI3/TMEM59/CTSD/GRN/CTSA/ATP6V0E1/PSAP/CD68/MGST1/LAMP2/HLA-DMA/SLC39A8/HLA-F/LAMP1/ATP6AP2/AHNAK/LAMTOR4/GLMP/RILP/SPAG9/CYB561/TEX264/RNF167/NCSTN/MFSD1/NEU1/SNAP29/CHMP2B/TCIRG1/GAA/VPS13C/HLA-DPB1/GPR137B/STOM/PLEKHM2/TMBIM1/MLST8/DRAM1/SYT11/ATP6V1E1/TMEM9B/TPCN1/MANBA/LMBRD1/GABARAPL1/STARD3/CCDC115/STX7/VPS41/DRAM2/NSF/ECE1/ATG14/RRAGC/MCOLN1/SLC17A5/CLN3/PRKD1/KLC2/ABCD4/RMC1/SLC48A1/VPS11"	72
