"Cluster"	"cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"short_desc"
"0"	"0"	"GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX"	"GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX"	"38/341"	"428/17939"	2.44562844683278e-15	1.25558564460395e-11	1.05728379275181e-11	"CLEC3B/OGN/COLEC12/COL14A1/FGL2/ANGPTL2/SERPING1/SOD3/CXCL12/S100A4/FBLN1/CLU/FBLN2/SRPX/CTSL/LUM/DCN/S100A10/LGALS3/ADAMTS1/NID2/EMILIN2/CTSF/EFEMP1/KAZALD1/MXRA5/COL21A1/APOE/MGP/ADAMTS5/CRELD1/PLSCR1/WNT2/P3H2/CTSC/ANG/VIT/SFRP1"	38	"Collagen containing extracellular matrix"
"0"	"0"	"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	"21/341"	"200/17939"	2.47003466037951e-10	6.3405789731942e-07	5.33917492114665e-07	"TGFBR3/GAS1/PMP22/NT5E/CAPG/CXCL12/FBLN1/FBLN2/CD44/LUM/DCN/IGFBP4/CRLF1/PCOLCE2/NID2/SFRP4/MXRA5/MSX1/WIPF1/MGP/SFRP1"	21	"Epithelial mesenchymal transition"
"0"	"0"	"GOMF_SULFUR_COMPOUND_BINDING"	"GOMF_SULFUR_COMPOUND_BINDING"	"23/341"	"271/17939"	2.33833974441725e-09	4.00167874927938e-06	3.36967064221812e-06	"CLEC3B/CCN5/CFH/PTGES/LXN/GSTM1/TGFBR3/GSTM2/GSTM3/SOD3/FGF7/APLP2/TKT/ADAMTS1/PCOLCE2/GSTM4/GPNMB/APOE/ADAMTS5/FBLN7/ANG/FGFRL1/SFRP1"	23	"Sulfur compound binding"
"0"	"0"	"GOMF_HEPARIN_BINDING"	"GOMF_HEPARIN_BINDING"	"17/341"	"173/17939"	3.51742985494828e-08	4.24108111861774e-05	3.57126282044636e-05	"CLEC3B/CCN5/CFH/LXN/TGFBR3/SOD3/FGF7/APLP2/ADAMTS1/PCOLCE2/GPNMB/APOE/ADAMTS5/FBLN7/ANG/FGFRL1/SFRP1"	17	"Heparin binding"
"0"	"0"	"GOMF_GLYCOSAMINOGLYCAN_BINDING"	"GOMF_GLYCOSAMINOGLYCAN_BINDING"	"20/341"	"242/17939"	4.1303867536207e-08	4.24108111861774e-05	3.57126282044636e-05	"CLEC3B/CCN5/CFH/LXN/TGFBR3/SOD3/FGF7/APLP2/CD44/DCN/ADAMTS1/PCOLCE2/GPNMB/APOE/ADAMTS5/FBLN7/ANG/VIT/FGFRL1/SFRP1"	20	"Glycosaminoglycan binding"
"0"	"0"	"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450"	"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450"	"11/341"	"68/17939"	5.8111372306589e-08	4.97239642370047e-05	4.1870772993537e-05	"AKR1C3/ALDH1A3/AKR1C1/ADH1B/GSTM1/EPHX1/GSTM2/GSTM3/AKR1C2/GSTM5/GSTM4"	11	"Metabolismofxenobioticsbycytochromep450."
"0"	"0"	"GOBP_CONNECTIVE_TISSUE_DEVELOPMENT"	"GOBP_CONNECTIVE_TISSUE_DEVELOPMENT"	"21/341"	"285/17939"	1.35246274851654e-07	9.07743270867531e-05	7.64378162805846e-05	"OGN/PDGFD/CD44/CTSK/SOX9/CSF1/NAMPT/EFEMP1/OSR2/MSX1/CRIP1/MGP/OSR1/ERRFI1/RARA/GLI3/SHOX2/ID4/HMGA2/VPS13B/PPARG"	21	"Connective tissue development"
"0"	"0"	"WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION"	"WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION"	"9/341"	"45/17939"	1.41448113886643e-07	9.07743270867531e-05	7.64378162805846e-05	"AKR1C3/AKR1C1/PTGES/S100A10/AKR1C2/PTGFR/SOX9/PTGER2/PPARG"	9	"Prostaglandin synthesis and regulation"
"0"	"0"	"KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS"	"KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS"	"6/341"	"17/17939"	4.68247034558567e-07	0.00026710891949152	0.00022492287379322	"GSTM1/GSTM2/GSTM3/GSTM5/GSTM4/GSTT2B"	6	"Medicus env factor dce to downa adducts"
"0"	"0"	"GOMF_GLUTATHIONE_TRANSFERASE_ACTIVITY"	"GOMF_GLUTATHIONE_TRANSFERASE_ACTIVITY"	"7/341"	"27/17939"	5.39864443375893e-07	0.000277166405229183	0.00023339192304682	"PTGES/GSTM1/GSTM2/GSTM3/GSTM5/GSTM4/GSTT2B"	7	"Glutathione transferase activity"
