"donor_id"	"seurat_clusters"	"n_cells"
"S5"	"0"	8733
"S1"	"1"	8000
"S3"	"2"	7422
"S2"	"4"	7394
"S4"	"5"	6687
"S6"	"3"	5451
"S2"	"6"	4528
"S1"	"3"	1794
"S6"	"1"	621
"S2"	"8"	582
"S5"	"7"	555
"S6"	"7"	527
"S1"	"7"	488
"S2"	"7"	467
"S5"	"1"	422
"S3"	"7"	329
"S6"	"0"	318
"S3"	"5"	290
"S4"	"7"	276
"S5"	"3"	250
"S1"	"0"	160
"S5"	"8"	160
"S4"	"2"	138
"S5"	"2"	122
"S6"	"8"	103
"S6"	"2"	96
"S3"	"3"	78
"S2"	"3"	70
"S3"	"0"	66
"S3"	"1"	51
"S6"	"4"	51
"S6"	"6"	44
"S2"	"1"	35
"S2"	"2"	32
"S5"	"5"	27
"S1"	"2"	26
"S1"	"4"	26
"S5"	"4"	24
"S3"	"6"	23
"S1"	"5"	22
"S3"	"8"	21
"S1"	"6"	19
"S5"	"6"	18
"S4"	"1"	17
"S2"	"0"	16
"S4"	"3"	12
"S2"	"5"	10
"S3"	"4"	10
"S1"	"8"	9
"S4"	"0"	6
"S4"	"4"	6
"S6"	"5"	4
"S4"	"6"	1
"S4"	"8"	1
