"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
0	2.35575695714618	0.515	0.162	0	"S1"	"LIMCH1"
0	1.62868714786496	0.655	0.305	0	"S1"	"RARRES1"
0	1.80990785752666	0.613	0.27	0	"S1"	"SUSD2"
0	4.13042912797052	0.438	0.105	0	"S1"	"PRG4"
0	1.6990115127512	0.635	0.322	0	"S1"	"TNXB"
0	4.82492685693974	0.317	0.016	0	"S1"	"THORLNC"
0	1.1961706427876	0.606	0.312	0	"S1"	"CPZ"
0	1.00691908499028	0.716	0.429	0	"S1"	"MGP"
0	1.29327916304146	0.77	0.49	0	"S1"	"CFB"
0	1.40004003528367	0.703	0.432	0	"S1"	"DPP4"
0	1.79484885609925	0.689	0.42	0	"S1"	"AKR1C2"
0	1.44764430302485	0.613	0.346	0	"S1"	"SRGN"
0	1.74260503126326	0.695	0.428	0	"S1"	"PLAT"
0	1.41884302753076	0.666	0.402	0	"S1"	"TMEM59L"
0	2.69028923035138	0.331	0.07	0	"S1"	"ANXA10"
0	1.84525273708175	0.39	0.129	0	"S1"	"IL33"
0	0.982795809033386	0.607	0.346	0	"S1"	"U2AF1L5"
0	2.81815878582327	0.319	0.059	0	"S1"	"SGCA"
0	1.85846228485277	0.726	0.47	0	"S1"	"PCOLCE2"
0	1.49882782697612	0.593	0.337	0	"S1"	"KAZALD1"
0	1.16202448809923	0.647	0.394	0	"S1"	"CYGB"
0	1.33697906162562	0.619	0.375	0	"S1"	"GGT5"
0	0.636000601775758	0.629	0.387	0	"S1"	"CXCL6"
0	1.42620989440117	0.893	0.652	0	"S1"	"LXN"
0	1.69858257521523	0.458	0.218	0	"S1"	"ACKR3"
0	1.3111342882454	0.493	0.255	0	"S1"	"SVIL"
0	1.33334159789329	0.466	0.234	0	"S1"	"PCDH7"
0	1.33252907537725	0.604	0.372	0	"S1"	"CD9"
0	1.29135899970047	0.974	0.743	0	"S1"	"CRLF1"
0	0.729844824166997	0.598	0.368	0	"S1"	"SFRP4"
0	1.44211624331707	0.541	0.313	0	"S1"	"TFPI2"
0	1.37947733868261	0.456	0.228	0	"S1"	"C2orf88"
0	0.840514662556249	0.81	0.584	0	"S1"	"COL14A1"
0	1.0422325611229	0.793	0.569	0	"S1"	"PTGES"
0	1.0651993483776	0.57	0.348	0	"S1"	"EPDR1"
0	1.63718123666681	0.364	0.146	0	"S1"	"PALM"
0	0.885223540210332	0.632	0.416	0	"S1"	"TFPI"
0	1.63521987565565	0.5	0.287	0	"S1"	"HLA-DPA1"
0	1.16052088513163	0.465	0.254	0	"S1"	"OLFML1"
0	0.888061701458236	0.482	0.272	0	"S1"	"SBSN"
0	1.41727858295347	0.721	0.516	0	"S1"	"ADIRF"
0	0.871442548030968	0.706	0.502	0	"S1"	"DEPTOR"
0	1.10858445497538	0.771	0.568	0	"S1"	"CFD"
0	0.947813111392238	0.728	0.525	0	"S1"	"MEDAG"
0	1.66425656460077	0.527	0.326	0	"S1"	"CD74"
0	1.00446911431921	0.744	0.549	0	"S1"	"AKR1C1"
0	0.959703027032255	0.741	0.547	0	"S1"	"PAMR1"
0	1.27557422709526	0.651	0.458	0	"S1"	"DKK1"
