"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
0	2.11633901514448	0.605	0.254	0	"0"	"SBSN"
0	1.43423424080842	0.626	0.316	0	"0"	"CPZ"
0	1.38677191421733	0.747	0.452	0	"0"	"CLEC3B"
0	1.89160655698521	0.592	0.303	0	"0"	"OGN"
0	1.40375128608788	0.812	0.525	0	"0"	"SNED1"
0	1.70890011424109	0.531	0.251	0	"0"	"LRIG3"
0	1.41736043550348	0.605	0.327	0	"0"	"C3"
0	1.64617707079545	0.929	0.655	0	"0"	"COLEC12"
0	2.36123523721986	0.384	0.12	0	"0"	"DMKN"
0	1.25808640865117	0.653	0.396	0	"0"	"SELENBP1"
0	1.13670737746533	0.841	0.591	0	"0"	"AKR1C3"
0	1.85955751255302	0.524	0.278	0	"0"	"GPX3"
0	1.16987512244381	0.831	0.586	0	"0"	"COL14A1"
0	2.36178387195123	0.338	0.099	0	"0"	"ZIC1"
0	1.37381939003567	0.767	0.529	0	"0"	"ALDH1A3"
0	2.67127668628643	0.3	0.07	0	"0"	"FGL2"
0	1.30777202954454	0.783	0.555	0	"0"	"ID1"
0	1.28062510286904	0.56	0.333	0	"0"	"RARRES1"
0	1.67223698113605	0.5	0.274	0	"0"	"ACKR4"
0	1.21506253053211	0.796	0.571	0	"0"	"EMX2OS"
0	2.54288425204583	0.307	0.083	0	"0"	"GALNT15"
0	1.18755107042637	0.594	0.37	0	"0"	"LRRN4CL"
0	1.00751513040971	0.68	0.457	0	"0"	"TSHZ2"
0	1.04999889833418	0.771	0.549	0	"0"	"AKR1C1"
0	1.96502561598524	0.332	0.111	0	"0"	"SELENOP"
0	3.6205441360478	0.262	0.041	0	"0"	"ADH1B"
0	1.58214158982	0.604	0.383	0	"0"	"CAMK2N1"
0	1.19650589424237	0.761	0.546	0	"0"	"CCN5"
0	1.5100229157815	0.455	0.247	0	"0"	"NPR3"
0	0.938579525396962	0.629	0.422	0	"0"	"TFPI"
0	1.04782249624818	0.606	0.401	0	"0"	"SECTM1"
0	0.916217903548576	0.695	0.492	0	"0"	"LSP1"
0	0.946685904816875	0.652	0.453	0	"0"	"CFH"
0	1.12431892997525	0.463	0.267	0	"0"	"SVIL"
0	0.696288908431541	0.774	0.579	0	"0"	"PTGES"
0	1.18001974962966	0.859	0.665	0	"0"	"LXN"
0	1.14189043103303	0.452	0.263	0	"0"	"OLFML1"
0	1.35246442095674	0.84	0.651	0	"0"	"MASP1"
0	1.21755108034492	0.798	0.611	0	"0"	"AKAP12"
0	1.43633596420526	0.397	0.21	0	"0"	"PCBP3"
0	1.28872579335208	0.468	0.283	0	"0"	"SVEP1"
0	1.30890890042216	0.394	0.21	0	"0"	"FAM118A"
0	1.13545465998089	0.526	0.344	0	"0"	"GABPB1-AS1"
0	1.24651450705432	0.816	0.634	0	"0"	"SPON2"
0	0.855201741915794	0.701	0.521	0	"0"	"GSTM1"
0	1.27193541879606	0.471	0.292	0	"0"	"PDGFD"
0	0.948874377358762	0.664	0.486	0	"0"	"TGFBR3"
0	0.982750674639845	0.666	0.488	0	"0"	"POLR2J3"
0	0.747957419427896	0.709	0.534	0	"0"	"MEDAG"
0	1.09937054758176	0.479	0.305	0	"0"	"PLAAT4"
0	1.59092869394398	0.3	0.131	0	"0"	"PLPP2"
0	1.65984371953306	0.285	0.119	0	"0"	"CPXM1"
0	1.50888282578024	0.323	0.159	0	"0"	"S1PR3"
0	1.20558816523102	0.408	0.244	0	"0"	"CCBE1"
0	0.881227067822103	0.716	0.552	0	"0"	"CMBL"
0	1.06865318004351	0.561	0.398	0	"0"	"GAS1"
0	0.883156235182554	0.799	0.637	0	"0"	"SCARA3"
0	0.834915756532136	0.675	0.514	0	"0"	"ANGPTL2"
0	1.05158451550185	0.921	0.764	0	"0"	"IL1R1"
0	0.870985838777081	0.837	0.68	0	"0"	"FCGRT"
0	0.962195533258652	0.718	0.566	0	"0"	"PLK2"
0	0.83750342916344	0.773	0.626	0	"0"	"MARCKSL1"
0	1.0140106041867	0.93	0.785	0	"0"	"ZFP36L2"
0	1.01112855978297	0.928	0.784	0	"0"	"EPHX1"
0	1.03806087050245	0.9	0.763	0	"0"	"CYB5A"
0	0.791248427468459	0.78	0.643	0	"0"	"ZNF581"
0	0.984145332636419	0.955	0.82	0	"0"	"SERPING1"
0	0.891466538057978	0.868	0.742	0	"0"	"HSPB7"
0	0.813763749156747	0.899	0.777	0	"0"	"PMP22"
0	0.892540813436756	0.674	0.554	0	"0"	"SAV1"
0	0.718376645272945	0.832	0.714	0	"0"	"PYCARD"
0	0.729908053205499	0.88	0.77	0	"0"	"CAMK2D"
0	0.817864129832942	0.804	0.695	0	"0"	"REV3L"
0	0.72999139606229	0.837	0.728	0	"0"	"ADAMTSL1"
0	0.855900397754112	0.798	0.692	0	"0"	"C1GALT1"
0	0.70030513262086	0.867	0.763	0	"0"	"CDC42EP5"
0	0.652057549843579	0.807	0.704	0	"0"	"GSTM2"
0	1.05083265063469	0.954	0.852	0	"0"	"NT5E"
0	0.736413542082695	0.915	0.818	0	"0"	"GSTM3"
0	0.779993968347379	0.912	0.815	0	"0"	"SOD3"
0	0.6537676502606	0.793	0.699	0	"0"	"RSRP1"
0	0.600007533572961	0.893	0.801	0	"0"	"LPAR1"
0	0.616789813194694	0.84	0.753	0	"0"	"FAM20C"
0	0.626285576053155	0.799	0.713	0	"0"	"GLMP"
0	1.309804605179	0.992	0.909	0	"0"	"FGF7"
0	0.670388158643814	0.894	0.812	0	"0"	"SNHG18"
0	0.680759327723289	0.88	0.8	0	"0"	"PROCR"
0	0.706805282934734	0.874	0.795	0	"0"	"ZFP36"
0	0.600272505615658	0.978	0.902	0	"0"	"HMGA1"
0	0.602015826365157	0.894	0.819	0	"0"	"CD68"
0	0.693812305631209	0.955	0.88	0	"0"	"TMEM256"
0	0.577245772209686	0.913	0.842	0	"0"	"LTBR"
0	0.922702340309445	0.947	0.876	0	"0"	"TWIST2"
0	0.760453660045319	0.913	0.843	0	"0"	"CAPG"
