"Cluster"	"cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"short_desc"
"0"	"0"	"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	"42/267"	"200/17939"	2.66556768917041e-36	1.35037659133373e-32	1.08895454754425e-32	"CDH2/MYLK/ACTA2/INHBA/GREM1/RHOB/COL4A1/COL4A2/IL6/FGF2/GADD45B/COL11A1/CCN2/GLIPR1/PVR/PLOD2/FBLN5/TNC/FERMT2/POSTN/SERPINE1/THBS1/PTX3/ITGA5/COL12A1/TAGLN/CCN1/DAB2/TPM1/FLNA/LOX/MYL9/TPM2/SERPINH1/TPM4/CALD1/CAP2/BDNF/SNTB1/ENO2/FSTL3/SFRP1"	42	"Epithelial mesenchymal transition"
"0"	"0"	"GOCC_CELL_SUBSTRATE_JUNCTION"	"GOCC_CELL_SUBSTRATE_JUNCTION"	"50/267"	"436/17939"	5.41566077341818e-30	1.37178687390683e-26	1.10621997166505e-26	"CNN1/CDH2/SYNPO2/LMO7/NEXN/RHOB/NEDD9/FBLIM1/CORO1C/VASP/PDLIM1/MME/CSRP1/FZD2/DLC1/PVR/FLNC/PALLD/KRAS/FHL3/LPP/AJUBA/FHL1/TNC/FERMT2/ACTN4/ACTR3/ITGA5/ACTR2/TGFB1I1/ANXA6/CAP1/ACTN1/PDLIM7/PARVA/MYH9/CNN3/ARPC5/TLN1/DAB2/CNN2/FLNA/HSPB1/CFL1/TPM4/ACTB/PFN1/TNS1/SNTB1/ARHGAP26"	50	"Cell substrate junction"
"0"	"0"	"GOCC_ACTIN_FILAMENT_BUNDLE"	"GOCC_ACTIN_FILAMENT_BUNDLE"	"28/267"	"95/17939"	6.28377384326696e-29	1.06111994299968e-25	8.55695659148038e-26	"MYLK/SYNPO2/ACTA2/MYH10/FBLIM1/PDLIM1/PALLD/FHL3/LPP/RFLNB/PLS3/PDLIM5/MYO1C/FERMT2/ACTN4/ACTN1/PDLIM7/MYH9/SEPTIN11/CNN2/TPM1/FLNA/MYL9/TPM4/CALD1/DAAM1/ROR1/LIMCH1"	28	"Actin filament bundle"
"0"	"0"	"GOMF_ACTIN_BINDING"	"GOMF_ACTIN_BINDING"	"48/267"	"433/17939"	4.06410690779304e-28	5.14719139871988e-25	4.1507365550381e-25	"CNN1/MYLK/LMOD1/SYNPO2/PAWR/MYH10/NEXN/CORO1C/VASP/GBP1/PDLIM1/MICAL2/FLNC/PALLD/FHL3/PLS3/AJUBA/PDLIM5/MYO1C/FERMT2/ACTN4/ACTR3/ACTR2/WDR1/CAP1/ACTN1/PDLIM7/PARVA/MYH9/TAGLN/CNN3/ARPC5/TLN1/CNN2/TPM1/FLNA/TPM2/CFL1/TPM4/CALD1/PFN1/DAAM1/CAP2/TNS1/SNTB1/COBLL1/STK38L/LIMCH1"	48	"Actin binding"
"0"	"0"	"GOCC_ACTOMYOSIN"	"GOCC_ACTOMYOSIN"	"25/267"	"92/17939"	6.06421695883342e-25	6.14426462269002e-22	4.95478442468053e-22	"MYLK/SYNPO2/ACTA2/MYH10/FBLIM1/PDLIM1/PALLD/FHL3/LPP/PDLIM5/MYO1C/FERMT2/ACTN4/ACTN1/PDLIM7/MYH9/SEPTIN11/CNN2/TPM1/MYL9/TPM4/CALD1/DAAM1/ROR1/LIMCH1"	25	"Actomyosin"
"0"	"0"	"GOBP_ACTIN_FILAMENT_ORGANIZATION"	"GOBP_ACTIN_FILAMENT_ORGANIZATION"	"40/267"	"451/17939"	6.73957385452377e-20	5.69044685783624e-17	4.5888221279661e-17	"CNN1/LMOD1/SYNPO2/PAWR/RHOB/NEDD9/CORO1C/VASP/SWAP70/PDLIM1/MICAL2/CCN2/DLC1/MYADM/CDC42EP3/TGFBR1/RHOBTB1/RFLNB/PLS3/MYO1C/FERMT2/ACTR3/ACTR2/WDR1/CAP1/ACTN1/CNN3/ARPC5/CNN2/TPM1/FLNA/TPM2/CFL1/TPM4/CALD1/PFN1/SRF/CAP2/LIMCH1/SFRP1"	40	"Actin filament organization"
"0"	"0"	"HALLMARK_HYPOXIA"	"HALLMARK_HYPOXIA"	"27/267"	"200/17939"	2.47375198610335e-18	1.79028965165708e-15	1.4437039786567e-15	"F3/ADM/IL6/SLC2A1/AK4/PFKP/GYS1/CCN2/SDC2/STC2/PGM1/SERPINE1/CITED2/MYH9/CCN1/PGK1/LOX/CAVIN1/TPI1/KLF7/JMJD6/NDST1/ALDOC/ATF3/SDC3/PDK1/ENO2"	27	"Hypoxia"
"0"	"0"	"GOCC_CONTRACTILE_MUSCLE_FIBER"	"GOCC_CONTRACTILE_MUSCLE_FIBER"	"27/267"	"248/17939"	6.35623401302399e-16	4.02508518874744e-13	3.24586107954554e-13	"LMOD1/SYNPO2/ACTA2/NEXN/CORO1C/SLC2A1/PDLIM1/CSRP1/FLNC/PALLD/PRKD1/FHL3/PDLIM5/FERMT2/ACTN4/ACTN1/PDLIM7/PARVA/TPM1/FLNA/MYL9/CALM2/HSPB1/TPM2/TPM4/CALD1/KRT8"	27	"Contractile muscle fiber"
"0"	"0"	"GOMF_ACTIN_FILAMENT_BINDING"	"GOMF_ACTIN_FILAMENT_BINDING"	"24/267"	"210/17939"	9.42858708737444e-15	5.30724690940432e-12	4.27980660656143e-12	"CNN1/MYH10/NEXN/CORO1C/FLNC/PLS3/AJUBA/MYO1C/FERMT2/ACTN4/ACTR3/ACTR2/WDR1/ACTN1/MYH9/CNN3/ARPC5/TLN1/CNN2/TPM1/FLNA/TPM2/CFL1/TPM4"	24	"Actin filament binding"
"0"	"0"	"GOCC_I_BAND"	"GOCC_I_BAND"	"19/267"	"145/17939"	5.26395435769606e-13	2.66671927760883e-10	2.15046388023352e-10	"SYNPO2/NEXN/SLC2A1/PDLIM1/CSRP1/FLNC/PALLD/PRKD1/FHL3/PDLIM5/FERMT2/ACTN4/ACTN1/PDLIM7/PARVA/FLNA/MYL9/HSPB1/KRT8"	19	"I band"
"0"	"0"	"REACTOME_SMOOTH_MUSCLE_CONTRACTION"	"REACTOME_SMOOTH_MUSCLE_CONTRACTION"	"12/267"	"42/17939"	6.86713135910178e-13	3.16262613320087e-10	2.55036715834201e-10	"MYLK/LMOD1/ACTA2/ANXA6/TLN1/TPM1/MYL9/MYL12A/TPM2/TPM4/CALD1/MYL6"	12	"Smooth muscle contraction"
"0"	"0"	"GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION"	"GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION"	"22/267"	"210/17939"	7.66530050029332e-13	3.23603436120717e-10	2.60956414400337e-10	"CNN1/LMOD1/MYH10/PDLIM1/CSRP1/CCN2/DLC1/FLNC/TGFBR1/PRKD1/FERMT2/WDR1/MYH9/CNN3/CNN2/TPM1/MYL9/PFN1/SRF/KRT8/LIMCH1/SFRP1"	22	"Actomyosin structure"
"0"	"0"	"GOBP_WOUND_HEALING"	"GOBP_WOUND_HEALING"	"30/267"	"423/17939"	1.40933128711169e-12	5.49205561577523e-10	4.42883783423519e-10	"MYLK/F3/IL6/FGF2/CSRP1/DSP/TGFBR1/PAPSS2/AJUBA/FERMT2/SERPINE1/THBS1/GAS6/ITGA5/ACTN1/MYH9/CCN1/TLN1/CNN2/TPM1/FLNA/MYL9/HIF1A/MYL12A/HSPB1/ACTB/SRF/PEAR1/NRG1/HPS5"	30	"Wound healing"
"0"	"0"	"GOBP_CELL_SUBSTRATE_ADHESION"	"GOBP_CELL_SUBSTRATE_ADHESION"	"27/267"	"351/17939"	3.02805282967998e-12	1.09572254536848e-09	8.83599476089324e-10	"GREM1/NEDD9/CORO1C/GBP1/ADAMTS12/CCN2/DLC1/MYADM/COL8A1/AJUBA/FBLN5/FERMT2/POSTN/SERPINE1/THBS1/ACTN4/GAS6/ITGA5/ACTN1/PARVA/CCN1/TLN1/DAB2/FLNA/SRF/LIMCH1/SFRP1"	27	"Cell substrate adhesion"
"0"	"0"	"GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION"	"GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION"	"19/267"	"165/17939"	5.49334678099271e-12	1.8552863195006e-09	1.49611781452861e-09	"SYNPO2/PAWR/NEDD9/SWAP70/PDLIM1/CCN2/DLC1/TGFBR1/RFLNB/PLS3/FERMT2/ACTN1/TPM1/FLNA/CALD1/PFN1/SRF/LIMCH1/SFRP1"	19	"Actin filament bundle organization"
"0"	"0"	"GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM"	"GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM"	"30/267"	"498/17939"	8.30305872296908e-11	2.48648978419904e-08	2.00512536673312e-08	"RDH10/GREM1/ADM/RHOB/COL4A1/VASP/FOXD1/IRX3/FGF2/MICAL2/ADAMTS12/FZD2/DLC1/KIF26B/KRAS/AJUBA/TNC/FERMT2/ITGA5/TGFB1I1/WDR1/CITED2/CCN1/FLNA/HIF1A/ACTB/PFN1/SRF/SULF1/SFRP1"	30	"Morphogenesis of an epithelium"
"0"	"0"	"REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS"	"REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS"	"8/267"	"18/17939"	8.34392545033236e-11	2.48648978419904e-08	2.00512536673312e-08	"FBLIM1/VASP/FLNC/FERMT2/ACTN1/PARVA/FLNA/ACTB"	8	"Cell extracellular matrix interactions"
"0"	"0"	"GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT"	"GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT"	"23/267"	"293/17939"	8.89260921408182e-11	2.50277545991881e-08	2.01825826665798e-08	"KLF2/DDAH1/F3/GREM1/ADM/RHOB/COL4A2/IL6/FGF2/TGFBR1/PRKD1/ADAMTS1/RECK/SERPINE1/THBS1/ITGA5/PGK1/HIF1A/HSPB1/JCAD/ADM2/SULF1/SFRP1"	23	"Regulation of vasculature development"
"0"	"0"	"HALLMARK_MTORC1_SIGNALING"	"HALLMARK_MTORC1_SIGNALING"	"19/267"	"197/17939"	1.24926749801069e-10	3.33094165522219e-08	2.68609814946233e-08	"SLC2A1/AK4/SLC7A5/ATP2A2/PLOD2/PSAT1/PGM1/TXNRD1/ACTR3/ACTR2/MTHFD2/PGK1/SERPINH1/TPI1/SLC1A4/CTH/PSPH/SYTL2/PDK1"	19	"mTORC1 signaling"
"0"	"0"	"GOCC_CELL_LEADING_EDGE"	"GOCC_CELL_LEADING_EDGE"	"27/267"	"425/17939"	2.4018900482401e-10	6.08398749219217e-08	4.90617646169464e-08	"CDH2/MYLK/ACTA2/MYH10/NEDD9/CORO1C/VASP/SWAP70/DLC1/MYADM/PALLD/AJUBA/MYO1C/FERMT2/ACTR3/ITGA5/ACTN1/PDLIM7/PARVA/MYH9/ARPC5/TLN1/TPM1/CFL1/ACTB/JCAD/PEAR1"	27	"Cell leading edge"
"0"	"0"	"GOCC_ACTIN_FILAMENT"	"GOCC_ACTIN_FILAMENT"	"15/267"	"119/17939"	2.73522353864534e-10	6.59840116513204e-08	5.3210037862068e-08	"LMOD1/PAWR/PDLIM1/MICAL2/PALLD/PLS3/PDLIM5/MYO1C/ACTN1/PDLIM7/TPM1/FLNA/TPM2/TPM4/ACTB"	15	"Actin filament"
"0"	"0"	"GOCC_CELL_CORTEX"	"GOCC_CELL_CORTEX"	"23/267"	"313/17939"	3.30254437048043e-10	7.60485899129722e-08	6.13261947456199e-08	"CDH2/MYH10/NEDD9/CORO1C/SLC2A1/DLC1/MYADM/PRKD1/MYO1C/FERMT2/ACTN4/ACTR2/WDR1/CAP1/ACTN1/MYH9/SEPTIN11/FLNA/MYL9/TPM4/ACTB/CALD1/PFN1"	23	"Cell cortex"
"0"	"0"	"GOBP_REGULATION_OF_CELL_SUBSTRATE_ADHESION"	"GOBP_REGULATION_OF_CELL_SUBSTRATE_ADHESION"	"19/267"	"214/17939"	5.1706851733648e-10	1.13889961253331e-07	9.18417810426946e-08	"GREM1/NEDD9/CORO1C/GBP1/DLC1/MYADM/COL8A1/FERMT2/POSTN/SERPINE1/THBS1/ACTN4/ITGA5/CCN1/TLN1/DAB2/FLNA/LIMCH1/SFRP1"	19	"Regulation of cell substrate adhesion"
"0"	"0"	"GOCC_CORTICAL_CYTOSKELETON"	"GOCC_CORTICAL_CYTOSKELETON"	"14/267"	"109/17939"	8.46797408551379e-10	1.78744819655054e-07	1.4414126063982e-07	"CDH2/SLC2A1/DLC1/MYADM/ACTN4/ACTR2/WDR1/CAP1/ACTN1/MYH9/FLNA/TPM4/ACTB/CALD1"	14	"Cortical cytoskeleton"
"0"	"0"	"GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX"	"GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX"	"26/267"	"428/17939"	1.36630516115776e-09	2.76868077857009e-07	2.23268645492769e-07	"CDH2/ACTA2/F3/GREM1/COL4A1/COL4A2/COL11A1/CCN2/SDC2/COL8A1/ADAMTS1/FBLN5/TNC/POSTN/SERPINE1/THBS1/TGFB1I1/ANXA6/COL12A1/CCN1/LOX/SERPINH1/ADAM19/SDC3/SULF1/SFRP1"	26	"Collagen containing extracellular matrix"
"0"	"0"	"GOBP_MUSCLE_CELL_DIFFERENTIATION"	"GOBP_MUSCLE_CELL_DIFFERENTIATION"	"25/267"	"398/17939"	1.45588580266972e-09	2.83673749089415e-07	2.28756793528792e-07	"CDH2/LMOD1/ALPK2/GREM1/ADM/RCAN1/IRX3/CSRP1/FLNC/KRAS/ATP2A2/PRKD1/PDLIM5/ACTN4/WDR1/ACTN1/MYH9/TPM1/LOX/MYL9/SRF/CTH/BDNF/KRT8/NRG1"	25	"Muscle cell differentiation"
