"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
0	1.46684762080874	0.783	0.422	0	"0"	"KLF2"
0	2.10089639949637	0.521	0.172	0	"0"	"CNN1"
0	1.32624397905873	0.694	0.352	0	"0"	"DDAH1"
0	1.4346030411341	0.725	0.409	0	"0"	"CDH2"
0	1.36525606256438	0.688	0.373	0	"0"	"TPD52L1"
0	1.6405629842656	0.656	0.342	0	"0"	"ALDH1B1"
0	1.70495440702629	0.552	0.242	0	"0"	"MYLK"
0	1.26859547977359	0.765	0.46	0	"0"	"CEMIP"
0	1.5950614687482	0.459	0.156	0	"0"	"LMOD1"
0	1.6013624225702	0.806	0.503	0	"0"	"PCSK7"
0	1.22040917009092	0.777	0.478	0	"0"	"C1orf198"
0	1.48212432121666	0.504	0.206	0	"0"	"SYNPO2"
0	1.16064014993997	0.861	0.564	0	"0"	"CRIM1"
0	2.14994196962851	0.792	0.497	0	"0"	"ACTA2"
0	1.30162178249187	0.682	0.391	0	"0"	"PSG5"
0	1.37341394397513	0.606	0.315	0	"0"	"PRPS1"
0	1.05587084768341	0.747	0.458	0	"0"	"CHAC1"
0	0.96304050540696	0.76	0.473	0	"0"	"TUBB2A"
0	1.13719306995122	0.598	0.315	0	"0"	"ALPK2"
0	2.15973432383142	0.459	0.184	0	"0"	"KRT7"
0	1.2817752966773	0.587	0.313	0	"0"	"INHBA"
0	1.54258294188887	0.511	0.241	0	"0"	"F3"
0	1.07244067686076	0.66	0.394	0	"0"	"JADE1"
0	1.15806076660081	0.539	0.275	0	"0"	"PAWR"
0	1.2433133986513	0.762	0.504	0	"0"	"MYH10"
0	1.70744234202074	0.517	0.26	0	"0"	"RDH10"
0	0.891759760309817	0.887	0.631	0	"0"	"LMO7"
0	1.19619644344645	0.836	0.581	0	"0"	"GREM1"
0	1.03386023271564	0.904	0.651	0	"0"	"NEXN"
0	1.13096328773716	0.747	0.494	0	"0"	"LMCD1"
0	1.15493465362916	0.928	0.675	0	"0"	"ADM"
0	1.88151369671454	0.452	0.201	0	"0"	"KRT18"
0	1.04044661095925	0.864	0.614	0	"0"	"RHOB"
0	0.770584582646087	0.821	0.573	0	"0"	"AMOTL2"
0	1.94576838124289	0.345	0.098	0	"0"	"NEDD9"
0	0.746664055335357	0.479	0.234	0	"0"	"COL4A1"
0	0.81428877898716	0.861	0.618	0	"0"	"VGLL3"
0	0.956754441380057	0.565	0.323	0	"0"	"FBLIM1"
0	1.16259235478266	0.918	0.682	0	"0"	"NEK7"
0	0.674728489086333	0.822	0.587	0	"0"	"CORO1C"
0	0.954205986216701	0.847	0.614	0	"0"	"PCK2"
0	0.852485227412347	0.557	0.326	0	"0"	"ERCC2"
0	0.827396743091956	0.58	0.349	0	"0"	"SLC38A1"
0	1.64100491879774	0.362	0.132	0	"0"	"NUAK1"
0	1.12781704561968	0.602	0.373	0	"0"	"RCAN1"
0	0.81150521422174	0.805	0.577	0	"0"	"VASP"
0	0.935276747366663	0.49	0.262	0	"0"	"GBP1"
0	0.789233555848057	0.72	0.492	0	"0"	"SWAP70"
0	1.32398242430094	0.375	0.148	0	"0"	"MRVI1"
0	0.614212218371455	0.603	0.377	0	"0"	"COL4A2"
0	0.908434572324516	0.539	0.314	0	"0"	"NRP2"
0	0.926931503117958	0.5	0.275	0	"0"	"DACT1"
0	0.699934374104504	0.724	0.5	0	"0"	"GNB4"
0	1.27871404778385	0.404	0.181	0	"0"	"PPP1R13L"
0	1.06399029694214	0.469	0.246	0	"0"	"IL6"
0	0.780857748152635	0.687	0.465	0	"0"	"FILIP1L"
0	1.18654372098551	0.54	0.319	0	"0"	"MIR503HG"
0	0.764135977676436	0.575	0.354	0	"0"	"NXN"
0	0.972129236431526	0.468	0.248	0	"0"	"SLC2A1"
0	0.722046996942737	0.665	0.445	0	"0"	"AK4"
0	0.789419473248412	0.724	0.504	0	"0"	"MIR22HG"
0	0.648072800220824	0.689	0.471	0	"0"	"PDLIM1"
0	0.973021876129425	0.471	0.254	0	"0"	"KCNE4"
0	0.81675156367339	0.6	0.383	0	"0"	"FOXD1"
0	0.834026389326726	0.865	0.649	0	"0"	"MSRB3"
0	0.744020757466672	0.648	0.433	0	"0"	"IRX3"
0	0.891100557540104	0.877	0.663	0	"0"	"FGF2"
0	0.688864498040521	0.691	0.478	0	"0"	"ANKRD13A"
0	0.877759375141445	0.804	0.592	0	"0"	"MME"
0	0.889399312194412	0.808	0.596	0	"0"	"PXDC1"
0	0.620488984540281	0.549	0.337	0	"0"	"RAB3B"
0	0.810276800166309	0.738	0.526	0	"0"	"ELL2"
0	0.940846823584174	0.57	0.359	0	"0"	"GRAMD2B"
0	0.780253641232706	0.61	0.399	0	"0"	"MICAL2"
0	0.6959496647671	0.796	0.586	0	"0"	"GADD45B"
0	0.60952475564646	0.791	0.585	0	"0"	"PFKP"
0	0.782414076676843	0.606	0.401	0	"0"	"SGK1"
0	0.966901757768019	0.418	0.214	0	"0"	"HACD1"
0	1.22735570054061	0.91	0.707	0	"0"	"CSRP1"
0	0.951438420287418	0.47	0.267	0	"0"	"WEE1"
0	0.810872432823023	0.508	0.307	0	"0"	"ADAMTS12"
0	0.830887246558941	0.5	0.3	0	"0"	"SERINC2"
0	0.769570594782933	0.66	0.46	0	"0"	"KCTD20"
0	0.761338468579912	0.524	0.324	0	"0"	"GYS1"
0	1.31397882167429	0.399	0.203	0	"0"	"COL11A1"
0	1.58409013700416	0.98	0.784	0	"0"	"CCN2"
0	1.13755447520458	0.365	0.17	0	"0"	"SERAC1"
0	0.635188503157716	0.583	0.389	0	"0"	"B4GALT4"
0	0.557560580442699	0.582	0.389	0	"0"	"FZD2"
0	0.581762019771679	0.57	0.379	0	"0"	"SLC7A5"
0	0.553319256530518	0.906	0.716	0	"0"	"GLIPR1"
0	0.656818491061416	0.861	0.671	0	"0"	"DLC1"
0	0.577629770685672	0.663	0.474	0	"0"	"GSDME"
0	1.31750364093906	0.318	0.129	0	"0"	"TRAF5"
0	0.760028679536463	0.459	0.27	0	"0"	"KIF26B"
0	0.83258476096983	0.413	0.224	0	"0"	"NGF"
0	0.624484124637139	0.701	0.512	0	"0"	"RAP1GDS1"
0	0.792235994578948	0.621	0.433	0	"0"	"DSP"
0	0.862074966324936	0.431	0.243	0	"0"	"PVR"
0	0.59351775595292	0.707	0.519	0	"0"	"AVEN"
0	1.0587108364227	0.95	0.762	0	"0"	"MYADM"
0	0.617428474140418	0.857	0.67	0	"0"	"FLNC"
0	0.63533069883528	0.641	0.455	0	"0"	"ZNF281"
0	1.41323198323764	0.484	0.299	0	"0"	"ANKRD37"
0	1.29747453837856	0.959	0.775	0	"0"	"GLS"
0	0.88441696360361	0.388	0.205	0	"0"	"CARMN"
0	0.636890555302425	0.455	0.272	0	"0"	"MIR210HG"
0	0.688164681970537	0.517	0.334	0	"0"	"CTIF"
0	0.909364446654065	0.407	0.224	0	"0"	"RUSC2"
0	0.540104078448052	0.76	0.578	0	"0"	"SDC2"
0	1.03132643260005	0.95	0.768	0	"0"	"PALLD"
0	0.519589678572204	0.716	0.535	0	"0"	"IMPDH1"
