"donor_id"	"seurat_clusters"	"n_cells"	"cells_per_donor"	"cells_per_cluster"
"S2"	"0"	6204	0.472361809045226	0.285766927683095
"S1"	"1"	4005	0.379836874051593	0.212455572648666
"S3"	"0"	3943	0.475633293124246	0.181621372639337
"S5"	"1"	3849	0.373290660459703	0.204180149594186
"S2"	"1"	3738	0.284604842393787	0.198291867805421
"S4"	"0"	2989	0.418393057110862	0.137678489175495
"S5"	"0"	2930	0.284162544855009	0.134960847535698
"S6"	"0"	2889	0.4004158004158	0.133072316904652
"S1"	"0"	2755	0.261286039453718	0.126900046061723
"S3"	"1"	2607	0.314475271411339	0.138295050660442
"S6"	"1"	2401	0.332778932778933	0.127367248421834
"S4"	"1"	2251	0.315089585666293	0.11941011086945
"S1"	"3"	1861	0.176498482549317	0.320364950938199
"S2"	"2"	1637	0.124638343231308	0.259018987341772
"S5"	"3"	1550	0.150324895742411	0.266827336891031
"S1"	"2"	1345	0.127560698027314	0.212816455696203
"S5"	"2"	1175	0.113955969353118	0.185917721518987
"S4"	"2"	936	0.131019036954087	0.148101265822785
"S3"	"3"	757	0.0913148371531966	0.1303150284042
"S6"	"3"	653	0.0905058905058905	0.112411774832157
"S6"	"2"	637	0.0882882882882883	0.100791139240506
"S4"	"3"	605	0.0846864501679731	0.104148734721983
"S3"	"2"	590	0.0711700844390832	0.0933544303797468
"S2"	"6"	558	0.0424851530379169	0.628378378378378
"S5"	"4"	438	0.0424789060226942	0.209971236816874
"S2"	"4"	430	0.0327394548500076	0.206136145733461
"S2"	"3"	383	0.0291609562966347	0.065932174212429
"S1"	"4"	376	0.035660091047041	0.180249280920422
"S6"	"4"	364	0.0504504504504504	0.174496644295302
"S3"	"4"	257	0.0310012062726176	0.12320230105465
"S4"	"4"	221	0.0309350503919373	0.105944391179291
"S5"	"5"	207	0.0200756473668897	0.212525667351129
"S2"	"5"	184	0.0140094411451195	0.188911704312115
"S1"	"5"	178	0.0168816388467375	0.182751540041068
"S6"	"5"	168	0.0232848232848233	0.172484599589322
"S5"	"6"	162	0.0157113762001746	0.182432432432432
"S4"	"5"	132	0.0184770436730123	0.135523613963039
"S3"	"5"	105	0.0126658624849216	0.107802874743326
"S6"	"6"	103	0.0142758142758143	0.115990990990991
"S3"	"6"	31	0.0037394451145959	0.0349099099099099
"S1"	"6"	24	0.00227617602427921	0.027027027027027
"S4"	"6"	10	0.00139977603583427	0.0112612612612613
